ลำดับที่,รหัสสถานี,ที่ตั้งสถานี,จังหวัด,วันที่ตรวจวัดสภาพอากาศ,ค่าตรวจวัด,ประเภทข้อมูล
87,552201,นครศรีธรรมราช,นครศรีธรรมราช,14/9/2017,88.00,ความชื้นสัมพัทธ์
88,552201,นครศรีธรรมราช,นครศรีธรรมราช,14/9/2017,0.00,ปริมาณฝน
89,552201,นครศรีธรรมราช,นครศรีธรรมราช,14/10/2017,83.00,ความชื้นสัมพัทธ์
90,552201,นครศรีธรรมราช,นครศรีธรรมราช,14/10/2017,0.00,ปริมาณฝน
91,552201,นครศรีธรรมราช,นครศรีธรรมราช,14/12/2017,83.00,ความชื้นสัมพัทธ์
92,552201,นครศรีธรรมราช,นครศรีธรรมราช,14/12/2017,0.00,ปริมาณฝน
93,552201,นครศรีธรรมราช,นครศรีธรรมราช,15/3/2017,81.00,ความชื้นสัมพัทธ์
94,552201,นครศรีธรรมราช,นครศรีธรรมราช,15/3/2017,15.00,ความเร็วลมสุงสุด
95,552201,นครศรีธรรมราช,นครศรีธรรมราช,15/3/2017,0.00,ปริมาณฝน
96,552201,นครศรีธรรมราช,นครศรีธรรมราช,15/6/2017,86.00,ความชื้นสัมพัทธ์
97,552201,นครศรีธรรมราช,นครศรีธรรมราช,15/6/2017,0.00,ปริมาณฝน
98,552201,นครศรีธรรมราช,นครศรีธรรมราช,15/7/2017,85.00,ความชื้นสัมพัทธ์
99,552201,นครศรีธรรมราช,นครศรีธรรมราช,15/7/2017,0.00,ปริมาณฝน
100,552201,นครศรีธรรมราช,นครศรีธรรมราช,1/7/2017,84.00,ความชื้นสัมพัทธ์
101,552201,นครศรีธรรมราช,นครศรีธรรมราช,1/7/2017,0.00,ปริมาณฝน
102,552201,นครศรีธรรมราช,นครศรีธรรมราช,2/3/2017,81.00,ความชื้นสัมพัทธ์
103,552201,นครศรีธรรมราช,นครศรีธรรมราช,2/3/2017,18.00,ความเร็วลมสุงสุด
104,552201,นครศรีธรรมราช,นครศรีธรรมราช,2/3/2017,0.00,ปริมาณฝน
105,552201,นครศรีธรรมราช,นครศรีธรรมราช,2/5/2017,79.00,ความชื้นสัมพัทธ์
106,552201,นครศรีธรรมราช,นครศรีธรรมราช,2/5/2017,12.00,ความเร็วลมสุงสุด
107,552201,นครศรีธรรมราช,นครศรีธรรมราช,2/5/2017,0.00,ปริมาณฝน
108,552201,นครศรีธรรมราช,นครศรีธรรมราช,2/10/2017,90.00,ความชื้นสัมพัทธ์
109,552201,นครศรีธรรมราช,นครศรีธรรมราช,2/10/2017,0.00,ปริมาณฝน
110,552201,นครศรีธรรมราช,นครศรีธรรมราช,3/2/2017,88.00,ความชื้นสัมพัทธ์
111,552201,นครศรีธรรมราช,นครศรีธรรมราช,3/2/2017,10.00,ความเร็วลมสุงสุด
112,552201,นครศรีธรรมราช,นครศรีธรรมราช,3/2/2017,0.00,ปริมาณฝน
113,552201,นครศรีธรรมราช,นครศรีธรรมราช,3/6/2017,80.00,ความชื้นสัมพัทธ์
114,552201,นครศรีธรรมราช,นครศรีธรรมราช,3/6/2017,0.00,ปริมาณฝน
115,552201,นครศรีธรรมราช,นครศรีธรรมราช,3/11/2017,94.00,ความชื้นสัมพัทธ์
116,552201,นครศรีธรรมราช,นครศรีธรรมราช,3/11/2017,0.00,ปริมาณฝน
117,552201,นครศรีธรรมราช,นครศรีธรรมราช,3/12/2017,94.00,ความชื้นสัมพัทธ์
118,552201,นครศรีธรรมราช,นครศรีธรรมราช,3/12/2017,0.00,ปริมาณฝน
119,552201,นครศรีธรรมราช,นครศรีธรรมราช,4/2/2017,89.00,ความชื้นสัมพัทธ์
120,552201,นครศรีธรรมราช,นครศรีธรรมราช,4/2/2017,10.00,ความเร็วลมสุงสุด
121,552201,นครศรีธรรมราช,นครศรีธรรมราช,4/2/2017,0.00,ปริมาณฝน
122,552201,นครศรีธรรมราช,นครศรีธรรมราช,4/3/2017,79.00,ความชื้นสัมพัทธ์
123,552201,นครศรีธรรมราช,นครศรีธรรมราช,4/3/2017,14.00,ความเร็วลมสุงสุด
124,552201,นครศรีธรรมราช,นครศรีธรรมราช,4/3/2017,0.00,ปริมาณฝน
125,552201,นครศรีธรรมราช,นครศรีธรรมราช,4/7/2017,81.00,ความชื้นสัมพัทธ์
126,552201,นครศรีธรรมราช,นครศรีธรรมราช,4/7/2017,0.00,ปริมาณฝน
127,552201,นครศรีธรรมราช,นครศรีธรรมราช,5/1/2017,98.00,ความชื้นสัมพัทธ์
128,552201,นครศรีธรรมราช,นครศรีธรรมราช,5/1/2017,22.00,ความเร็วลมสุงสุด
129,552201,นครศรีธรรมราช,นครศรีธรรมราช,5/1/2017,0.00,ปริมาณฝน
130,552201,นครศรีธรรมราช,นครศรีธรรมราช,5/10/2017,85.00,ความชื้นสัมพัทธ์
131,552201,นครศรีธรรมราช,นครศรีธรรมราช,5/10/2017,0.00,ปริมาณฝน
132,552201,นครศรีธรรมราช,นครศรีธรรมราช,6/4/2017,97.00,ความชื้นสัมพัทธ์
133,552201,นครศรีธรรมราช,นครศรีธรรมราช,6/4/2017,14.00,ความเร็วลมสุงสุด
134,552201,นครศรีธรรมราช,นครศรีธรรมราช,6/4/2017,28.20,ปริมาณฝน
135,552201,นครศรีธรรมราช,นครศรีธรรมราช,6/5/2017,79.00,ความชื้นสัมพัทธ์
136,552201,นครศรีธรรมราช,นครศรีธรรมราช,6/5/2017,11.00,ความเร็วลมสุงสุด
137,552201,นครศรีธรรมราช,นครศรีธรรมราช,6/5/2017,0.00,ปริมาณฝน
138,552201,นครศรีธรรมราช,นครศรีธรรมราช,6/11/2017,88.00,ความชื้นสัมพัทธ์
139,552201,นครศรีธรรมราช,นครศรีธรรมราช,6/11/2017,2.50,ปริมาณฝน
140,552201,นครศรีธรรมราช,นครศรีธรรมราช,7/1/2017,97.00,ความชื้นสัมพัทธ์
141,552201,นครศรีธรรมราช,นครศรีธรรมราช,7/1/2017,14.00,ความเร็วลมสุงสุด
142,552201,นครศรีธรรมราช,นครศรีธรรมราช,7/1/2017,0.00,ปริมาณฝน
143,552201,นครศรีธรรมราช,นครศรีธรรมราช,7/3/2017,82.00,ความชื้นสัมพัทธ์
144,552201,นครศรีธรรมราช,นครศรีธรรมราช,7/3/2017,15.00,ความเร็วลมสุงสุด
145,552201,นครศรีธรรมราช,นครศรีธรรมราช,7/3/2017,0.00,ปริมาณฝน
146,552201,นครศรีธรรมราช,นครศรีธรรมราช,7/5/2017,79.00,ความชื้นสัมพัทธ์
147,552201,นครศรีธรรมราช,นครศรีธรรมราช,7/5/2017,12.00,ความเร็วลมสุงสุด
148,552201,นครศรีธรรมราช,นครศรีธรรมราช,7/5/2017,0.00,ปริมาณฝน
149,552201,นครศรีธรรมราช,นครศรีธรรมราช,7/8/2017,85.00,ความชื้นสัมพัทธ์
150,552201,นครศรีธรรมราช,นครศรีธรรมราช,7/8/2017,0.00,ปริมาณฝน
151,552201,นครศรีธรรมราช,นครศรีธรรมราช,7/9/2017,85.00,ความชื้นสัมพัทธ์
152,552201,นครศรีธรรมราช,นครศรีธรรมราช,7/9/2017,0.00,ปริมาณฝน
153,552201,นครศรีธรรมราช,นครศรีธรรมราช,7/10/2017,86.00,ความชื้นสัมพัทธ์
154,552201,นครศรีธรรมราช,นครศรีธรรมราช,7/10/2017,0.00,ปริมาณฝน
155,552201,นครศรีธรรมราช,นครศรีธรรมราช,8/6/2017,72.00,ความชื้นสัมพัทธ์
156,552201,นครศรีธรรมราช,นครศรีธรรมราช,8/6/2017,0.00,ปริมาณฝน
157,552201,นครศรีธรรมราช,นครศรีธรรมราช,9/2/2017,77.00,ความชื้นสัมพัทธ์
158,552201,นครศรีธรรมราช,นครศรีธรรมราช,9/2/2017,11.00,ความเร็วลมสุงสุด
159,552201,นครศรีธรรมราช,นครศรีธรรมราช,9/2/2017,0.00,ปริมาณฝน
160,552201,นครศรีธรรมราช,นครศรีธรรมราช,9/4/2017,85.00,ความชื้นสัมพัทธ์
161,552201,นครศรีธรรมราช,นครศรีธรรมราช,9/4/2017,14.00,ความเร็วลมสุงสุด
162,552201,นครศรีธรรมราช,นครศรีธรรมราช,9/4/2017,0.00,ปริมาณฝน
163,552201,นครศรีธรรมราช,นครศรีธรรมราช,9/10/2017,82.00,ความชื้นสัมพัทธ์
164,552201,นครศรีธรรมราช,นครศรีธรรมราช,9/10/2017,2.40,ปริมาณฝน
165,552201,นครศรีธรรมราช,นครศรีธรรมราช,10/3/2017,81.00,ความชื้นสัมพัทธ์
166,552201,นครศรีธรรมราช,นครศรีธรรมราช,10/3/2017,15.00,ความเร็วลมสุงสุด
167,552201,นครศรีธรรมราช,นครศรีธรรมราช,10/3/2017,0.00,ปริมาณฝน
168,552201,นครศรีธรรมราช,นครศรีธรรมราช,10/6/2017,72.00,ความชื้นสัมพัทธ์
169,552201,นครศรีธรรมราช,นครศรีธรรมราช,10/6/2017,0.00,ปริมาณฝน
170,552201,นครศรีธรรมราช,นครศรีธรรมราช,10/7/2017,81.00,ความชื้นสัมพัทธ์
171,552201,นครศรีธรรมราช,นครศรีธรรมราช,10/7/2017,0.00,ปริมาณฝน
172,552201,นครศรีธรรมราช,นครศรีธรรมราช,11/3/2017,81.00,ความชื้นสัมพัทธ์
173,552201,นครศรีธรรมราช,นครศรีธรรมราช,11/3/2017,15.00,ความเร็วลมสุงสุด
174,552201,นครศรีธรรมราช,นครศรีธรรมราช,11/3/2017,0.00,ปริมาณฝน
175,552201,นครศรีธรรมราช,นครศรีธรรมราช,11/4/2017,84.00,ความชื้นสัมพัทธ์
176,552201,นครศรีธรรมราช,นครศรีธรรมราช,11/4/2017,12.00,ความเร็วลมสุงสุด
177,552201,นครศรีธรรมราช,นครศรีธรรมราช,11/4/2017,0.00,ปริมาณฝน
178,552201,นครศรีธรรมราช,นครศรีธรรมราช,11/5/2017,91.00,ความชื้นสัมพัทธ์
179,552201,นครศรีธรรมราช,นครศรีธรรมราช,11/5/2017,0.00,ความเร็วลมสุงสุด
180,552201,นครศรีธรรมราช,นครศรีธรรมราช,11/5/2017,18.40,ปริมาณฝน
181,552201,นครศรีธรรมราช,นครศรีธรรมราช,11/6/2017,78.00,ความชื้นสัมพัทธ์
182,552201,นครศรีธรรมราช,นครศรีธรรมราช,11/6/2017,0.00,ปริมาณฝน
183,552201,นครศรีธรรมราช,นครศรีธรรมราช,11/9/2017,87.00,ความชื้นสัมพัทธ์
184,552201,นครศรีธรรมราช,นครศรีธรรมราช,11/9/2017,0.90,ปริมาณฝน
185,552201,นครศรีธรรมราช,นครศรีธรรมราช,11/12/2017,82.00,ความชื้นสัมพัทธ์
186,552201,นครศรีธรรมราช,นครศรีธรรมราช,11/12/2017,0.00,ปริมาณฝน
187,552201,นครศรีธรรมราช,นครศรีธรรมราช,12/1/2017,87.00,ความชื้นสัมพัทธ์
188,552201,นครศรีธรรมราช,นครศรีธรรมราช,12/1/2017,11.00,ความเร็วลมสุงสุด
189,552201,นครศรีธรรมราช,นครศรีธรรมราช,12/1/2017,15.30,ปริมาณฝน
190,552201,นครศรีธรรมราช,นครศรีธรรมราช,12/2/2017,91.00,ความชื้นสัมพัทธ์
191,552201,นครศรีธรรมราช,นครศรีธรรมราช,12/2/2017,17.00,ความเร็วลมสุงสุด
192,552201,นครศรีธรรมราช,นครศรีธรรมราช,12/2/2017,15.60,ปริมาณฝน
193,552201,นครศรีธรรมราช,นครศรีธรรมราช,12/4/2017,81.00,ความชื้นสัมพัทธ์
