POINT_BANG,X,Y,P_RAIN24_2
82,100.499016059,13.7439699805,25.5571460724
83,100.463278732,13.7217532981,25.5571460724
84,100.52542642,13.7266989228,26.4935112
85,100.598853998,13.7797838931,26.4935112
86,100.435247983,13.7235128788,25.5571460724
87,100.529100155,13.7239195509,26.4935112
88,100.522621746,13.7890724785,26.4935112
89,100.451589916,13.7908873626,25.5571460724
90,100.492534843,13.790006204,25.5571460724
91,100.544958214,13.7818865454,26.4935112
92,100.508032368,13.7053301913,26.4935112
93,100.689161824,13.6808165465,32.4831199646
94,100.576834796,13.7686950314,26.4935112
95,100.481059963,13.7833887915,25.5571460724
96,100.437753208,13.5734451418,28.4779205322
97,100.484048614,13.7004388412,25.5571460724
98,100.416504326,13.6964336911,22.9284191132
99,100.393565878,13.6919475895,20.9035644531
100,100.449475682,13.6974544868,22.9284191132
101,100.611847331,13.695262471,32.4831199646
102,100.515160712,13.6939969888,30.6966705322
103,100.459862079,13.733080791,25.5571460724
104,100.445116934,13.7365795311,25.5571460724
105,100.503377964,13.7511174599,26.4935112
106,100.560189609,13.7219170128,26.4935112
107,100.477539303,13.7721640218,25.5571460724
108,100.504814581,13.7781125777,26.4935112
109,100.492479855,13.7743228027,25.5571460724
110,100.754458628,13.7523418891,32.01587677
111,100.512323168,13.772860755,26.4935112
112,100.455598012,13.7596681038,25.5571460724
113,100.428371726,13.7671510721,25.5571460724
114,100.724758346,13.7517055582,32.01587677
115,100.466588454,13.7726659787,25.5571460724
116,100.348442514,13.7581884755,17.6203079224
117,100.519718068,13.7445387648,26.4935112
118,100.512103222,13.7485519185,26.4935112
119,100.499158189,13.7499474665,25.5571460724
120,100.628077493,13.7261563316,30.4930496216
121,100.493059194,13.7369182668,25.5571460724
122,100.513536164,13.7343560975,26.4935112
123,100.412962354,13.6213077751,22.9284191132
124,100.514451544,13.7144691647,26.4935112
125,100.491742507,13.7090301874,25.5571460724
126,100.500844526,13.7143803429,26.4935112
127,100.504445335,13.7406006938,26.4935112
128,100.526141963,13.7085286401,26.4935112
129,100.513553471,13.7533301066,26.4935112
130,100.497081401,13.7539650076,25.5571460724
131,100.506767949,13.751658507,26.4935112
132,100.500224236,13.7534157783,26.4935112
133,100.596319806,13.7191208366,26.4935112
134,100.595281362,13.7070053136,26.4935112
135,100.442999315,13.7140386452,25.5571460724
136,100.473382695,13.7150621001,25.5571460724
137,100.497435806,13.6959963973,22.9284191132
138,100.65581988,13.6868617778,32.4831199646
139,100.467796476,13.6929143136,22.9284191132
140,100.358747568,13.679635857,20.9035644531
141,100.533442629,13.6791546693,30.6966705322
142,100.492041031,13.6749132553,22.9284191132
143,100.468010078,13.6710579613,22.9284191132
144,100.510128893,13.6715444821,30.6966705322
145,100.618442305,13.6677005684,32.4831199646
146,100.484612424,13.7135228111,25.5571460724
147,100.544139651,13.6970352359,30.6966705322
148,100.50462847,13.7235647686,26.4935112
149,100.486129323,13.7226820305,25.5571460724
150,100.541358231,13.7175890517,26.4935112
151,100.462095424,13.7092817056,25.5571460724
152,100.497607731,13.6175571855,22.9284191132
153,100.760118563,13.8988193704,29.4431381226
154,100.613777112,13.7685481626,30.4930496216
