,addrcode,land_area,image_area,area/image,bin,bowl,bucket,misc_short,jar,pottedplant,tire,misc_tall,total,bin_ai,bowl_ai,bucket_ai,misc_short_ai,jar_ai,pottedplant_ai,tire_ai,misc_tall_ai,total_ai
97,102601,78.63,131.55,0.6,666,125,1861,71,78,3176,381,20,6378,399.6,75.0,1116.6,42.6,46.8,1905.6,228.6,12.0,3826.8
98,102701,94.09,100.0,0.94,300,48,1295,14,59,2362,243,7,4328,282.0,45.12,1217.3,13.16,55.46,2220.28,228.42,6.58,4068.32
99,102801,23.05,33.73,0.68,95,28,356,17,16,920,125,6,1563,64.6,19.04,242.08,11.56,10.88,625.6,85.0,4.08,1062.84
100,102802,16.72,18.42,0.91,39,18,169,10,5,420,56,2,719,35.49,16.38,153.79,9.1,4.55,382.2,50.96,1.82,654.29
101,102803,27.64,31.9,0.87,54,16,182,11,11,530,55,4,863,46.98,13.92,158.34,9.57,9.57,461.1,47.85,3.48,750.81
102,102902,59.84,77.98,0.77,261,29,862,16,37,1555,171,4,2935,200.97,22.33,663.74,12.32,28.49,1197.35,131.67,3.08,2259.95
103,103001,99.22,161.89,0.61,372,58,1083,40,63,2830,326,11,4783,226.92,35.38,660.63,24.4,38.43,1726.3,198.86,6.71,2917.63
104,103002,26.3,29.64,0.89,87,13,280,15,14,601,68,1,1079,77.43,11.57,249.2,13.35,12.46,534.89,60.52,0.89,960.31
105,103003,54.48,93.51,0.58,248,35,976,23,57,1825,226,7,3397,143.84,20.3,566.08,13.34,33.06,1058.5,131.08,4.06,1970.26
106,103004,51.6,57.94,0.89,90,12,416,5,13,792,99,2,1429,80.1,10.68,370.24,4.45,11.57,704.88,88.11,1.78,1271.81
107,103005,71.79,112.0,0.64,153,51,528,38,31,1030,209,4,2044,97.92,32.64,337.92,24.32,19.84,659.2,133.76,2.56,1308.16
108,103101,19.43,12.35,1.57,20,8,114,5,4,233,13,2,399,31.4,12.56,178.98,7.85,6.28,365.81,20.41,3.14,626.43
109,103102,15.42,8.82,1.75,16,11,96,5,2,248,44,0,422,28.0,19.25,168.0,8.75,3.5,434.0,77.0,0.0,738.5
110,103103,42.33,40.86,1.04,233,27,516,22,18,1055,148,7,2026,242.32,28.08,536.64,22.88,18.72,1097.2,153.92,7.28,2107.04
111,103201,227.55,182.99,1.24,517,37,1361,29,93,2198,249,8,4492,641.08,45.88,1687.64,35.96,115.32,2725.52,308.76,9.92,5570.08
112,103203,151.65,103.46,1.47,271,18,842,17,47,1081,198,1,2475,398.37,26.46,1237.74,24.99,69.09,1589.07,291.06,1.47,3638.25
113,103301,69.55,44.53,1.56,66,21,226,30,5,555,76,8,987,102.96,32.76,352.56,46.8,7.8,865.8,118.56,12.48,1539.72
114,103302,18.05,22.37,0.81,102,9,167,21,9,476,39,6,829,82.62,7.29,135.27,17.01,7.29,385.56,31.59,4.86,671.49
115,103303,35.34,36.91,0.96,137,13,233,13,17,702,85,2,1202,131.52,12.48,223.68,12.48,16.32,673.92,81.6,1.92,1153.92
116,103401,223.91,252.01,0.89,691,78,2572,64,107,4684,475,19,8690,614.99,69.42,2289.08,56.96,95.23,4168.76,422.75,16.91,7734.1
117,103501,58.42,30.63,1.91,103,21,631,16,24,1080,124,5,2004,196.73,40.11,1205.21,30.56,45.84,2062.8,236.84,9.55,3827.64
118,103502,26.21,18.21,1.44,71,17,268,13,9,509,45,1,933,102.24,24.48,385.92,18.72,12.96,732.96,64.8,1.44,1343.52
119,103503,81.88,63.66,1.29,146,20,1135,20,44,1725,165,6,3261,188.34,25.8,1464.15,25.8,56.76,2225.25,212.85,7.74,4206.69
120,103504,48.61,33.87,1.44,113,23,583,24,25,1029,128,3,1928,162.72,33.12,839.52,34.56,36.0,1481.76,184.32,4.32,2776.32
121,103602,107.93,102.75,1.05,429,44,1567,26,151,2826,182,10,5235,450.45,46.2,1645.35,27.3,158.55,2967.3,191.1,10.5,5496.75
122,103604,99.34,118.07,0.84,428,61,2185,34,187,3792,347,8,7042,359.52,51.24,1835.4,28.56,157.08,3185.28,291.48,6.72,5915.28
123,103605,133.73,81.51,1.64,104,16,276,11,16,555,102,3,1083,170.56,26.24,452.64,18.04,26.24,910.2,167.28,4.92,1776.12
124,103701,23.14,28.02,0.83,24,18,94,9,2,223,34,6,410,19.92,14.94,78.02,7.47,1.66,185.09,28.22,4.98,340.3
125,103702,11.38,19.69,0.58,47,23,142,19,5,368,59,8,671,27.26,13.34,82.36,11.02,2.9,213.44,34.22,4.64,389.18
126,103703,9.07,14.89,0.61,29,25,98,21,5,233,39,0,450,17.69,15.25,59.78,12.81,3.05,142.13,23.79,0.0,274.5
127,103704,22.99,45.38,0.51,63,25,189,19,6,347,80,4,733,32.13,12.75,96.39,9.69,3.06,176.97,40.8,2.04,373.83
128,103801,138.68,200.07,0.69,623,69,2278,65,120,5411,445,23,9034,429.87,47.61,1571.82,44.85,82.8,3733.59,307.05,15.87,6233.46
129,103802,58.87,72.05,0.82,270,15,829,9,71,2246,165,4,3609,221.4,12.3,679.78,7.38,58.22,1841.72,135.3,3.28,2959.38
