addrcode,SMAPE without CD,SMAPE with CD,% improve SMAPE,RMSE without CD,RMSE with CD,% improvve RMSE,MAE without CD,MAE with CD,% improve MAE
104003,97.30,81.50,0.16,0.27,0.24,0.09,0.20,0.19,0.03
104004,99.39,81.73,0.18,0.30,0.28,0.07,0.21,0.22,-0.06
104101,74.25,69.39,0.07,0.21,0.19,0.10,0.15,0.13,0.11
104102,101.95,91.27,0.10,0.33,0.28,0.15,0.27,0.24,0.12
104201,152.24,110.01,0.28,0.18,0.16,0.13,0.14,0.12,0.11
104202,93.74,88.40,0.06,0.11,0.13,-0.11,0.09,0.09,-0.05
104203,150.15,86.77,0.42,0.20,0.14,0.26,0.15,0.10,0.29
104301,72.97,61.04,0.16,0.44,0.43,0.04,0.35,0.31,0.09
104302,105.70,94.82,0.10,0.13,0.14,-0.03,0.10,0.11,-0.08
104401,69.90,68.60,0.02,0.41,0.42,-0.01,0.27,0.27,0.03
104501,107.57,102.16,0.05,1.13,1.27,-0.13,0.87,0.91,-0.05
104502,151.86,156.37,-0.03,0.43,0.37,0.12,0.30,0.27,0.09
104503,93.14,101.05,-0.08,0.29,0.43,-0.47,0.20,0.29,-0.44
104504,69.38,78.02,-0.12,0.45,0.49,-0.07,0.33,0.37,-0.12
104601,107.35,102.70,0.04,0.63,0.45,0.29,0.40,0.33,0.18
104602,115.49,108.10,0.06,0.35,0.23,0.34,0.25,0.18,0.27
104603,98.02,72.36,0.26,0.45,0.33,0.26,0.34,0.25,0.27
104604,118.37,118.14,0.00,0.39,0.37,0.04,0.29,0.28,0.05
104605,135.68,130.21,0.04,0.41,0.41,0.00,0.32,0.32,-0.01
104701,73.78,70.22,0.05,0.16,0.18,-0.14,0.13,0.12,0.05
104801,131.54,116.28,0.12,0.94,0.67,0.28,0.60,0.43,0.29
104802,108.41,94.17,0.13,0.35,0.38,-0.08,0.26,0.28,-0.07
104901,75.56,70.24,0.07,0.17,0.23,-0.33,0.13,0.14,-0.04
104902,83.96,69.01,0.18,0.14,0.23,-0.64,0.12,0.14,-0.20
105001,98.61,81.21,0.18,0.30,0.35,-0.16,0.23,0.27,-0.17
,112.42,106.04,6%,0.44,0.41,-2%,0.31,0.30,-2%
