X,Y,addrcode,TB_EN,N_TB_IDN
99.88472525,8.58896321,800807,Mo Khlan,800807
99.77605354,8.58009546,800204,Thon Hong,800204
99.65180993,8.55782449,800501,Phipun,800501
99.9724623,8.52856342,800120,Pak Phun,800120
99.50047715,8.53269426,800415,Na Khliang,800415
99.88396857,8.56156768,800810,Don Tako,800810
99.14163881,7.57559323,8103,,8103
99.1449164,7.58873095,8103,,8103
99.14391904,7.56129006,8103,,8103
99.07576459,7.52460806,810301,Ko Lanta Yai,810301
99.11952593,7.49644805,810301,Ko Lanta Yai,810301
99.12771054,7.53666611,810301,Ko Lanta Yai,810301
98.747341,8.60414344,810603,Khao To,810603
99.20620357,7.41489033,810301,Ko Lanta Yai,810301
99.80094691,8.50420212,800201,Phrom Lok,800201
99.88457061,8.51008744,800205,Na Riang,800205
99.63362461,8.46582419,800403,La-Ai,800403
100.1813107,8.47360584,801209,Laem Talumphuk,801209
99.86113645,8.46637636,800116,Tha Ngio,800116
99.34733126,8.46566448,801803,Dusit,801803
100.0123076,8.44320043,800107,Pak Nakhon,800107
99.5483873,8.4477411,800410,Sai Ra,800410
99.46374612,8.51774576,800406,Kapiat,800406
99.54911117,8.53125692,800505,Khuan Klang,800505
99.70079634,8.52021018,800504,Yang Khom,800504
100.0323355,8.51013126,800121,Tha Sak,800121
99.41858009,8.49096825,801802,Khlong Se,801802
99.8997571,8.53924921,800203,In Khiri,800203
99.5206528,8.48570709,800404,Na Wae,800404
99.81349863,8.5387131,800202,Ban Ko,800202
99.87077471,8.74996643,800806,Sa Kaeo,800806
99.73750273,8.74993668,802101,Nopphitam,802101
99.82732537,8.66580619,802103,Karo,802103
99.89660012,8.71519652,800803,Tha Khuen,800803
99.61471869,8.63443357,800503,Khao Phra,800503
99.52514459,8.63294437,800502,Kathun,800502
99.92559514,8.6689113,800801,Tha Sala,800801
99.74950494,8.65667639,802104,Na Reng,802104
99.78434957,8.89895024,801403,Chalong,801403
99.74169518,8.93385855,801408,Khao Noi,801408
99.62132049,8.80034025,802102,Krung Ching,802102
99.89092727,8.89301842,801404,Sao Phao,801404
99.90192682,8.8122265,800802,Klai,800802
99.78561761,8.85700859,801407,Theppharat,801407
99.82139324,8.78321412,800811,Taling Chan,800811
99.83093502,8.84173654,801405,Plian,801405
99.9217687,8.61672251,800813,Pho Thong,800813
99.87922467,8.66498946,800809,Thai Buri,800809
99.88926576,8.62801146,800804,Hua Taphan,800804
99.46365659,8.58690847,800409,Huai Prik,800409
99.88499075,8.0091526,800709,Khuan Nong Hong,800709
99.90954511,8.03511909,801901,Ban Khuan Mut,801901
100.191795,7.9695173,801604,Laem,801604
100.1039205,7.9535849,800704,Khreng,800704
99.96016042,7.97349415,800703,Tha Pracha,800703
100.2691183,7.97575087,801605,Khao Phang Krai,801605
100.3223456,7.96735644,801602,Na Saton,801602
99.50650496,7.93253162,801704,Ban Nikhom,801704
99.45537148,7.97276856,801702,Ban Lamnao,801702
99.9329973,8.05849977,801902,Ban Cha-Uat,801902
99.55436263,7.98428274,801703,Wang Hin,801703
100.2260247,8.03972442,801603,Sai Khao,801603
99.77236147,7.95727151,800910,Namtok,800910
99.84860457,8.03760946,801905,Na Mo Bun,801905
100.0198075,7.99577337,800701,Cha-Uat,800701
99.68981756,8.02828941,800908,Kapang,800908
99.81437264,9.27988471,801503,Thong Nian,801503
99.77511228,9.32409315,801503,Thong Nian,801503
99.85618993,9.15565671,801501,Khanom,801501
99.7813073,9.17874541,801502,Khuan Thong,801502
99.78635718,9.02282923,801406,Si Khit,801406
99.86063156,9.07186118,801409,Thung Sai,801409
99.87624019,8.95751831,801402,Thung Prang,801402
99.8778721,9.01030302,801401,Sichon,801401
100.291004,7.93304909,801610,Ram Kaeo,801610
99.87991459,7.98022837,800710,Khao Phra Thong,800710
100.0007475,7.94576097,800702,Tha Samet,800702
99.83664659,7.92616536,800705,Wang Ang,800705
100.2093983,7.91103059,801609,Khuan Chalik,801609
99.93492932,7.90986596,800708,Ko Khan,800708
100.0397142,7.87278519,800707,Khon Hat,800707
100.0109845,7.91024952,800711,Nang Long,800711
99.08855457,7.80693614,810304,Khlong Yang,810304
99.04545581,7.86900582,810802,Ko Si Boya,810802
99.05354169,7.85539988,810304,Khlong Yang,810304
98.96297251,7.83620064,810802,Ko Si Boya,810802
98.98274432,7.84696092,810802,Ko Si Boya,810802
99.06943845,7.8484852,810304,Khlong Yang,810304
99.0183454,7.83293788,8103,,8103
98.98821217,7.82956677,810802,Ko Si Boya,810802
99.12578563,7.86623332,810405,Huai Nam Khao,810405
99.07229426,7.94130974,810803,Khlong Khanan,810803
99.06911119,7.89890888,8108,,8108
98.98433678,7.89921122,810802,Ko Si Boya,810802
99.05166562,7.88640527,810802,Ko Si Boya,810802
99.20356333,7.7942119,810403,Khlong Phon,810403
99.04418057,7.87832444,810818,,810818
99.01975968,7.86157646,810802,Ko Si Boya,810802
99.1164544,7.70580818,810303,Ko Klang,810303
99.12599501,7.73753108,810303,Ko Klang,810303
99.08651527,7.64591919,810302,Ko Lanta Noi,810302
98.76845234,7.68077968,810116,Ao Nang,810116
99.14480374,7.63006151,810302,Ko Lanta Noi,810302
99.0496244,7.60281659,810305,Sala Dan,810305
98.86391262,7.6148766,810116,Ao Nang,810116
99.14941016,7.61292652,810302,Ko Lanta Noi,810302
98.77272983,7.81845136,810116,Ao Nang,810116
99.06290144,7.75140531,810303,Ko Klang,810303
99.24080797,7.71055618,810404,Sai Khao,810404
98.79552135,7.81778705,810116,Ao Nang,810116
98.99525439,7.80147556,810802,Ko Si Boya,810802
98.99050682,7.80785186,810802,Ko Si Boya,810802
99.12640262,7.74595455,810303,Ko Klang,810303
98.78259814,7.74125456,810116,Ao Nang,810116
98.68503084,8.12928632,810106,Khao Thong,810106
98.9914739,8.08126193,810801,Nuea Khlong,810801
98.66997054,8.12434484,810106,Khao Thong,810106
98.87224915,8.06364063,810115,Sai Thai,810115
98.70738336,8.11312683,810106,Khao Thong,810106
98.67834844,8.12046524,810106,Khao Thong,810106
98.68803189,8.10690137,810106,Khao Thong,810106
98.90644809,8.08949025,810101,,810101
99.21255535,8.05669618,810406,Phru Din Na,810406
98.73506509,8.17598779,810106,Khao Thong,810106
98.71677984,8.14428149,810106,Khao Thong,810106
99.08673848,8.08954257,810805,Khok Yang,810805
99.30230735,8.09252651,810701,Lam Thap,810701
99.35813691,8.1001778,810702,Din Udom,810702
99.28965558,8.0499886,810703,Thung Sai Thong,810703
98.78523776,8.08817592,810117,Nong Thale,810117
98.676206,8.04896845,810106,Khao Thong,810106
99.37269535,8.01145193,810704,Din Daeng,810704
99.26307533,7.93002505,810402,Khlong Thom Nuea,810402
99.03046742,7.95976805,810803,Khlong Khanan,810803
99.17189676,7.93309899,810401,Khlong Thom Tai,810401
98.97123234,7.9669975,810806,Taling Chan,810806
98.80688553,7.95450701,8101,,8101
98.80928878,7.97207885,8101,,8101
98.68168647,8.10382929,810106,Khao Thong,810106
98.7066947,8.10639171,810106,Khao Thong,810106
98.83205824,8.05226077,810116,Ao Nang,810116
98.68961723,8.10110118,810106,Khao Thong,810106
98.6773655,8.07864964,810106,Khao Thong,810106
98.91834306,8.012737,810118,Khlong Prasong,810118
98.97619659,8.03557493,810804,Khlong Khamao,810804
99.06162981,8.01495846,810807,Pakasai,810807
99.13133095,8.25702342,810204,Phru Tiao,810204
99.24947367,8.27514123,810203,Sin Pun,810203
98.69420711,8.29676217,810511,??????????,810511
98.69838211,8.30232606,810510,???????,810510
