AD_LEVEL,TA_ID,TAMBON_T,TAMBON_E,AM_ID,AMPHOE_T,AMPHOE_E,CH_ID,CHANGWAT_T,CHANGWAT_E,LAT,LONG
4,840401,อ่างทอง,Ang Thong,8404,เกาะสมุย,Ko Samui,84,สุราษฎร์ธานี,Surat Thani,9.800,99.713
4,860116,หาดทรายรี,Hat Sai Ri,8601,เมืองชุมพร,Mueang Chumphon,86,ชุมพร,Chumphon,10.426,99.316
4,840401,อ่างทอง,Ang Thong,8404,เกาะสมุย,Ko Samui,84,สุราษฎร์ธานี,Surat Thani,9.603,99.715
4,910106,เกาะสาหร่าย,Ko Sarai,9101,เมืองสตูล,Mueang Satun,91,สตูล,Satun,6.499,99.318
4,910106,เกาะสาหร่าย,Ko Sarai,9101,เมืองสตูล,Mueang Satun,91,สตูล,Satun,6.652,99.692
4,200901,สัตหีบ,Sattahip,2009,สัตหีบ,Sattahip,20,ชลบุรี,Chon Buri,12.646,100.897
4,810505,อ่าวลึกน้อย,Ao Luek Noi,8105,อ่าวลึก,Ao Luek,81,กระบี่,Krabi,8.211,98.687
4,850502,กำพวน,Kamphuan,8505,สุขสำราญ,Suk Samran,85,ระนอง,Ranong,9.500,98.368
4,840301,ดอนสัก,Don Sak,8403,ดอนสัก,Don Sak,84,สุราษฎร์ธานี,Surat Thani,9.315,99.660
4,860706,ด่านสวี,Dan Sawi,8607,สวี,Sawi,86,ชุมพร,Chumphon,10.257,99.227
4,840401,อ่างทอง,Ang Thong,8404,เกาะสมุย,Ko Samui,84,สุราษฎร์ธานี,Surat Thani,9.672,99.681
4,910106,เกาะสาหร่าย,Ko Sarai,9101,เมืองสตูล,Mueang Satun,91,สตูล,Satun,6.514,99.262
4,860706,ด่านสวี,Dan Sawi,8607,สวี,Sawi,86,ชุมพร,Chumphon,10.200,99.249
4,840401,อ่างทอง,Ang Thong,8404,เกาะสมุย,Ko Samui,84,สุราษฎร์ธานี,Surat Thani,9.542,99.673
4,810505,อ่าวลึกน้อย,Ao Luek Noi,8105,อ่าวลึก,Ao Luek,81,กระบี่,Krabi,8.208,98.691
4,860801,ปากตะโก,Pak Tako,8608,ทุ่งตะโก,Thung Tako,86,ชุมพร,Chumphon,10.151,99.204
4,810505,อ่าวลึกน้อย,Ao Luek Noi,8105,อ่าวลึก,Ao Luek,81,กระบี่,Krabi,8.302,98.698
4,850109,เกาะพยาม,Ko Phayam,8501,เมืองระนอง,Mueang Ranong,85,ระนอง,Ranong,9.877,98.442
4,810505,อ่าวลึกน้อย,Ao Luek Noi,8105,อ่าวลึก,Ao Luek,81,กระบี่,Krabi,8.204,98.690
4,840401,อ่างทอง,Ang Thong,8404,เกาะสมุย,Ko Samui,84,สุราษฎร์ธานี,Surat Thani,9.671,99.678
4,850105,ปากน้ำ,Pak Nam,8501,เมืองระนอง,Mueang Ranong,85,ระนอง,Ranong,9.914,98.526
4,830301,เทพกระษัตรี,Thep Krasattri,8303,ถลาง,Thalang,83,ภูเก็ต,Phuket,8.116,98.425
4,850109,เกาะพยาม,Ko Phayam,8501,เมืองระนอง,Mueang Ranong,85,ระนอง,Ranong,9.779,98.477
4,840401,อ่างทอง,Ang Thong,8404,เกาะสมุย,Ko Samui,84,สุราษฎร์ธานี,Surat Thani,9.771,99.671
4,850105,ปากน้ำ,Pak Nam,8501,เมืองระนอง,Mueang Ranong,85,ระนอง,Ranong,9.926,98.514
4,810106,เขาทอง,Khao Thong,8101,เมืองกระบี่,Mueang Krabi,81,กระบี่,Krabi,8.144,98.717
4,200905,แสมสาร,Samae San,2009,สัตหีบ,Sattahip,20,ชลบุรี,Chon Buri,12.549,100.971
4,810502,แหลมสัก,Laem Sak,8105,อ่าวลึก,Ao Luek,81,กระบี่,Krabi,8.292,98.616
4,840401,อ่างทอง,Ang Thong,8404,เกาะสมุย,Ko Samui,84,สุราษฎร์ธานี,Surat Thani,9.673,99.669
4,810105,เขาคราม,Khao Khram,8101,เมืองกระบี่,Mueang Krabi,81,กระบี่,Krabi,8.210,98.729
4,830103,เกาะแก้ว,Ko Kaeo,8301,เมืองภูเก็ต,Mueang Phuket,83,ภูเก็ต,Phuket,7.965,98.451
4,220602,เกาะเปริด,Ko Proet,2206,แหลมสิงห์,Laem Sing,22,จันทบุรี,Chanthaburi,12.424,102.109
4,910106,เกาะสาหร่าย,Ko Sarai,9101,เมืองสตูล,Mueang Satun,91,สตูล,Satun,6.548,99.705
4,860306,ปากคลอง,Pak Khlong,8603,ปะทิว,Pathio,86,ชุมพร,Chumphon,10.823,99.492
4,860801,ปากตะโก,Pak Tako,8608,ทุ่งตะโก,Thung Tako,86,ชุมพร,Chumphon,10.155,99.218
4,910106,เกาะสาหร่าย,Ko Sarai,9101,เมืองสตูล,Mueang Satun,91,สตูล,Satun,6.488,99.334
4,200408,นาเกลือ,Na Kluea,2004,บางละมุง,Bang Lamung,20,ชลบุรี,Chon Buri,12.928,100.805
4,230601,เกาะหมาก,Ko Mak,2306,เกาะกูด,Ko Kut,23,ตราด,Trat,11.823,102.385
4,840401,อ่างทอง,Ang Thong,8404,เกาะสมุย,Ko Samui,84,สุราษฎร์ธานี,Surat Thani,9.482,99.696
4,840401,อ่างทอง,Ang Thong,8404,เกาะสมุย,Ko Samui,84,สุราษฎร์ธานี,Surat Thani,9.676,99.677
4,840401,อ่างทอง,Ang Thong,8404,เกาะสมุย,Ko Samui,84,สุราษฎร์ธานี,Surat Thani,9.776,99.672
4,210305,กร่ำ,Kram,2103,แกลง,Klaeng,21,ระยอง,Rayong,12.584,101.510
4,860706,ด่านสวี,Dan Sawi,8607,สวี,Sawi,86,ชุมพร,Chumphon,10.272,99.233
4,840401,อ่างทอง,Ang Thong,8404,เกาะสมุย,Ko Samui,84,สุราษฎร์ธานี,Surat Thani,9.556,99.685
4,810505,อ่าวลึกน้อย,Ao Luek Noi,8105,อ่าวลึก,Ao Luek,81,กระบี่,Krabi,8.238,98.708
4,810106,เขาทอง,Khao Thong,8101,เมืองกระบี่,Mueang Krabi,81,กระบี่,Krabi,8.176,98.735
4,921003,ตะเสะ,Tase,9210,หาดสำราญ,Hat Samran,92,ตรัง,Trang,7.075,99.394
4,910106,เกาะสาหร่าย,Ko Sarai,9101,เมืองสตูล,Mueang Satun,91,สตูล,Satun,6.643,99.694
4,810106,เขาทอง,Khao Thong,8101,เมืองกระบี่,Mueang Krabi,81,กระบี่,Krabi,8.104,98.682
4,860801,ปากตะโก,Pak Tako,8608,ทุ่งตะโก,Thung Tako,86,ชุมพร,Chumphon,10.071,99.185
4,850305,บางหิน,Bang Hin,8503,กะเปอร์,Papoe,85,ระนอง,Ranong,9.595,98.469
4,910106,เกาะสาหร่าย,Ko Sarai,9101,เมืองสตูล,Mueang Satun,91,สตูล,Satun,6.653,99.833
4,860116,หาดทรายรี,Hat Sai Ri,8601,เมืองชุมพร,Mueang Chumphon,86,ชุมพร,Chumphon,10.319,99.300
4,200905,แสมสาร,Samae San,2009,สัตหีบ,Sattahip,20,ชลบุรี,Chon Buri,12.603,100.917
4,860116,หาดทรายรี,Hat Sai Ri,8601,เมืองชุมพร,Mueang Chumphon,86,ชุมพร,Chumphon,10.363,99.310
4,860706,ด่านสวี,Dan Sawi,8607,สวี,Sawi,86,ชุมพร,Chumphon,10.249,99.224
4,910106,เกาะสาหร่าย,Ko Sarai,9101,เมืองสตูล,Mueang Satun,91,สตูล,Satun,6.611,99.700
4,830107,ราไวย์,Rawai,8301,เมืองภูเก็ต,Mueang Phuket,83,ภูเก็ต,Phuket,7.767,98.300
4,840401,อ่างทอง,Ang Thong,8404,เกาะสมุย,Ko Samui,84,สุราษฎร์ธานี,Surat Thani,9.510,99.705
4,910106,เกาะสาหร่าย,Ko Sarai,9101,เมืองสตูล,Mueang Satun,91,สตูล,Satun,6.686,99.905
4,910106,เกาะสาหร่าย,Ko Sarai,9101,เมืองสตูล,Mueang Satun,91,สตูล,Satun,6.505,99.177
4,810106,เขาทอง,Khao Thong,8101,เมืองกระบี่,Mueang Krabi,81,กระบี่,Krabi,8.129,98.685
4,210305,กร่ำ,Kram,2103,แกลง,Klaeng,21,ระยอง,Rayong,12.557,101.569
4,830107,ราไวย์,Rawai,8301,เมืองภูเก็ต,Mueang Phuket,83,ภูเก็ต,Phuket,7.736,98.296
4,810302,เกาะลันตาน้อย,Ko Lanta Noi,8103,เกาะลันตา,Ko Lanta,81,กระบี่,Krabi,7.576,99.142
4,840301,ดอนสัก,Don Sak,8403,ดอนสัก,Don Sak,84,สุราษฎร์ธานี,Surat Thani,9.331,99.703
4,200901,สัตหีบ,Sattahip,2009,สัตหีบ,Sattahip,20,ชลบุรี,Chon Buri,12.727,100.798
4,810505,อ่าวลึกน้อย,Ao Luek Noi,8105,อ่าวลึก,Ao Luek,81,กระบี่,Krabi,8.246,98.704
4,840401,อ่างทอง,Ang Thong,8404,เกาะสมุย,Ko Samui,84,สุราษฎร์ธานี,Surat Thani,9.594,99.721
4,820603,เกาะพระทอง,Ko Phra Thong,8206,คุระบุรี,Khura Buri,82,พังงา,Phang-nga,9.396,97.895
4,860116,หาดทรายรี,Hat Sai Ri,8601,เมืองชุมพร,Mueang Chumphon,86,ชุมพร,Chumphon,10.390,99.293
4,850502,กำพวน,Kamphuan,8505,สุขสำราญ,Suk Samran,85,ระนอง,Ranong,9.457,98.328
4,200408,นาเกลือ,Na Kluea,2004,บางละมุง,Bang Lamung,20,ชลบุรี,Chon Buri,12.942,100.793
4,200901,สัตหีบ,Sattahip,2009,สัตหีบ,Sattahip,20,ชลบุรี,Chon Buri,12.612,100.876
4,200901,สัตหีบ,Sattahip,2009,สัตหีบ,Sattahip,20,ชลบุรี,Chon Buri,12.624,100.901
4,810116,อ่าวนาง,Ao Nang,8101,เมืองกระบี่,Mueang Krabi,81,กระบี่,Krabi,7.616,98.863
4,840401,อ่างทอง,Ang Thong,8404,เกาะสมุย,Ko Samui,84,สุราษฎร์ธานี,Surat Thani,9.641,99.675
4,921003,ตะเสะ,Tase,9210,หาดสำราญ,Hat Samran,92,ตรัง,Trang,7.133,99.583
4,840501,เกาะพะงัน,Ko Pha-Ngan,8405,เกาะพะงัน,Ko Pha-ngan,84,สุราษฎร์ธานี,Surat Thani,9.802,99.979
4,230601,เกาะหมาก,Ko Mak,2306,เกาะกูด,Ko Kut,23,ตราด,Trat,11.835,102.460
4,220205,บางชัน,Bang Chan,2202,ขลุง,Khlung,22,จันทบุรี,Chanthaburi,12.288,102.251
4,810106,เขาทอง,Khao Thong,8101,เมืองกระบี่,Mueang Krabi,81,กระบี่,Krabi,8.113,98.707
4,920213,เกาะลิบง,Ko Libong,9202,กันตัง,Kantang,92,ตรัง,Trang,7.314,99.408
4,860106,นาชะอัง,Na Cha-Ang,8601,เมืองชุมพร,Mueang Chumphon,86,ชุมพร,Chumphon,10.557,99.379
4,810302,เกาะลันตาน้อย,Ko Lanta Noi,8103,เกาะลันตา,Ko Lanta,81,กระบี่,Krabi,7.561,99.144
4,910106,เกาะสาหร่าย,Ko Sarai,9101,เมืองสตูล,Mueang Satun,91,สตูล,Satun,6.709,99.671
4,910106,เกาะสาหร่าย,Ko Sarai,9101,เมืองสตูล,Mueang Satun,91,สตูล,Satun,6.619,99.689
4,810106,เขาทอง,Khao Thong,8101,เมืองกระบี่,Mueang Krabi,81,กระบี่,Krabi,8.124,98.669
4,810106,เขาทอง,Khao Thong,8101,เมืองกระบี่,Mueang Krabi,81,กระบี่,Krabi,8.107,98.688
4,220602,เกาะเปริด,Ko Proet,2206,แหลมสิงห์,Laem Sing,22,จันทบุรี,Chanthaburi,12.396,102.133
4,910106,เกาะสาหร่าย,Ko Sarai,9101,เมืองสตูล,Mueang Satun,91,สตูล,Satun,6.665,99.691
4,921003,ตะเสะ,Tase,9210,หาดสำราญ,Hat Samran,92,ตรัง,Trang,6.975,99.475
4,860116,หาดทรายรี,Hat Sai Ri,8601,เมืองชุมพร,Mueang Chumphon,86,ชุมพร,Chumphon,10.496,99.421
4,850105,ปากน้ำ,Pak Nam,8501,เมืองระนอง,Mueang Ranong,85,ระนอง,Ranong,9.920,98.535
4,910106,เกาะสาหร่าย,Ko Sarai,9101,เมืองสตูล,Mueang Satun,91,สตูล,Satun,6.729,99.660
4,230601,เกาะหมาก,Ko Mak,2306,เกาะกูด,Ko Kut,23,ตราด,Trat,11.808,102.455
4,840301,ดอนสัก,Don Sak,8403,ดอนสัก,Don Sak,84,สุราษฎร์ธานี,Surat Thani,9.352,99.683
4,830105,รัษฎา,,8301,เมืองภูเก็ต,Mueang Phuket,83,ภูเก็ต,Phuket,7.834,98.423
4,210305,กร่ำ,Kram,2103,แกลง,Klaeng,21,ระยอง,Rayong,12.599,101.691
4,920501,บ่อหิน,Bo Hin,9205,สิเกา,Sikao,92,ตรัง,Trang,7.559,99.288
4,920213,เกาะลิบง,Ko Libong,9202,กันตัง,Kantang,92,ตรัง,Trang,7.380,99.248
4,910106,เกาะสาหร่าย,Ko Sarai,9101,เมืองสตูล,Mueang Satun,91,สตูล,Satun,6.732,99.706
4,100106,แขวง เสาชิงช้า,Sao Chingcha,1001,เขต พระนคร,Phra Nakhon,10,กรุงเทพมหานคร,Bangkok,13.753,100.500
4,830107,ราไวย์,Rawai,8301,เมืองภูเก็ต,Mueang Phuket,83,ภูเก็ต,Phuket,7.747,98.301
4,820603,เกาะพระทอง,Ko Phra Thong,8206,คุระบุรี,Khura Buri,82,พังงา,Phang-nga,8.519,97.647
4,100105,แขวง ศาลเจ้าพ่อเสือ,San Chaopho Suea,1001,เขต พระนคร,Phra Nakhon,10,กรุงเทพมหานคร,Bangkok,13.754,100.497
4,220607,บางกะไชย,Bang Kachai,2206,แหลมสิงห์,Laem Sing,22,จันทบุรี,Chanthaburi,12.463,102.023
4,200905,แสมสาร,Samae San,2009,สัตหีบ,Sattahip,20,ชลบุรี,Chon Buri,12.572,100.932
4,230601,เกาะหมาก,Ko Mak,2306,เกาะกูด,Ko Kut,23,ตราด,Trat,11.799,102.451
4,810105,เขาคราม,Khao Khram,8101,เมืองกระบี่,Mueang Krabi,81,กระบี่,Krabi,8.217,98.725
4,200901,สัตหีบ,Sattahip,2009,สัตหีบ,Sattahip,20,ชลบุรี,Chon Buri,12.617,100.881
4,860116,หาดทรายรี,Hat Sai Ri,8601,เมืองชุมพร,Mueang Chumphon,86,ชุมพร,Chumphon,10.376,99.322
4,820603,เกาะพระทอง,Ko Phra Thong,8206,คุระบุรี,Khura Buri,82,พังงา,Phang-nga,8.569,97.636
4,920501,บ่อหิน,Bo Hin,9205,สิเกา,Sikao,92,ตรัง,Trang,7.547,99.279
4,850109,เกาะพยาม,Ko Phayam,8501,เมืองระนอง,Mueang Ranong,85,ระนอง,Ranong,9.717,98.423
4,840501,เกาะพะงัน,Ko Pha-Ngan,8405,เกาะพะงัน,Ko Pha-ngan,84,สุราษฎร์ธานี,Surat Thani,9.709,99.973
4,820203,พรุใน,Phru Nai,8202,เกาะยาว,Ko Yao,82,พังงา,Phang-nga,7.892,98.581
4,100108,แขวง ตลาดยอด,Talat Yot,1001,เขต พระนคร,Phra Nakhon,10,กรุงเทพมหานคร,Bangkok,13.760,100.498
4,210305,กร่ำ,Kram,2103,แกลง,Klaeng,21,ระยอง,Rayong,12.569,101.700
4,920414,เกาะค้างคาว,,9204,ปะเหลียน,Palian,92,ตรัง,Trang,7.152,99.651
