,addrcode,Week,Year,DF_1,DF_0,DF_wm1,DF_wm2,DF_wm3,DF_wm4,DF_wm5,DF_wm6,DFma_1,DFma_0,DFma_wm1,DFma_wm2,DFma_wm3,DFma_wm4,DFma_wm5,DFma_wm6,RF_wm6,LST_wm4,bin,bowl,bucket,misc_short,jar,pottedplant,tire,misc_tall,total,DF_AVG,DF_SD,AVG_1SD,AVG_2SD,OB1,OB2,DF_AVGs,DF_SDs,AVG_1SDs,AVG_2SDs,OB1s,OB2s
2819,810401,41,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.264808875,3.742493683,0.298,0.083,9.029,0.107,0.25,3.085,1.31,0.0,14.163,0.6703009166896378,3.0350732720963847,3.7053741887860223,6.740447460882407,0,0,0.6697718220398643,1.812308406365422,2.4820802284052865,4.2943886347707085,0,0
2820,810401,42,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.103051526,3.9708545180000003,0.298,0.083,9.029,0.107,0.25,3.085,1.31,0.0,14.163,0.6703009166896378,3.0350732720963847,3.7053741887860223,6.740447460882407,0,0,0.6697718220398643,1.812308406365422,2.4820802284052865,4.2943886347707085,0,0
2821,810401,42,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.103051526,3.9708545180000003,0.298,0.083,9.029,0.107,0.25,3.085,1.31,0.0,14.163,0.6703009166896378,3.0350732720963847,3.7053741887860223,6.740447460882407,0,0,0.6697718220398643,1.812308406365422,2.4820802284052865,4.2943886347707085,0,0
2822,810401,43,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.792749316,4.025764442,0.298,0.083,9.029,0.107,0.25,3.085,1.31,0.0,14.163,0.6703009166896378,3.0350732720963847,3.7053741887860223,6.740447460882407,0,0,0.6697718220398643,1.812308406365422,2.4820802284052865,4.2943886347707085,0,0
2823,810401,43,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.792749316,4.025764442,0.298,0.083,9.029,0.107,0.25,3.085,1.31,0.0,14.163,0.6703009166896378,3.0350732720963847,3.7053741887860223,6.740447460882407,0,0,0.6697718220398643,1.812308406365422,2.4820802284052865,4.2943886347707085,0,0
2824,810401,44,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.056410558,3.924972635,0.298,0.083,9.029,0.107,0.25,3.085,1.31,0.0,14.163,0.6703009166896378,3.0350732720963847,3.7053741887860223,6.740447460882407,0,0,0.6697718220398643,1.812308406365422,2.4820802284052865,4.2943886347707085,0,0
2825,810401,44,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27182777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.056410558,3.924972635,0.298,0.083,9.029,0.107,0.25,3.085,1.31,0.0,14.163,0.6703009166896378,3.0350732720963847,3.7053741887860223,6.740447460882407,0,0,0.6697718220398643,1.812308406365422,2.4820802284052865,4.2943886347707085,0,0
2826,810401,45,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9140060390000001,0.27182777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.830088695,0.298,0.083,9.029,0.107,0.25,3.085,1.31,0.0,14.163,0.6703009166896378,3.0350732720963847,3.7053741887860223,6.740447460882407,0,0,0.6697718220398643,1.812308406365422,2.4820802284052865,4.2943886347707085,0,0
2827,810401,45,2016,1.08731108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9140060390000001,0.9140060390000001,0.27182777,0.0,0.0,0.0,0.0,0.0,0.0,3.830088695,0.298,0.083,9.029,0.107,0.25,3.085,1.31,0.0,14.163,0.6703009166896378,3.0350732720963847,3.7053741887860223,6.740447460882407,0,0,0.6697718220398643,1.812308406365422,2.4820802284052865,4.2943886347707085,0,0
2828,810401,46,2016,2.568713075,1.08731108,0.0,0.0,0.0,0.0,0.0,0.0,0.9140060390000001,0.9140060390000001,0.9140060390000001,0.27182777,0.0,0.0,0.0,0.0,0.419474443,3.811316508,0.298,0.083,9.029,0.107,0.25,3.085,1.31,0.0,14.163,0.6703009166896378,3.0350732720963847,3.7053741887860223,6.740447460882407,0,0,0.6697718220398643,1.812308406365422,2.4820802284052865,4.2943886347707085,0,0
2829,810401,46,2016,0.0,2.568713075,1.08731108,0.0,0.0,0.0,0.0,0.0,0.642178269,0.9140060390000001,0.9140060390000001,0.9140060390000001,0.27182777,0.0,0.0,0.0,0.419474443,3.811316508,0.298,0.083,9.029,0.107,0.25,3.085,1.31,0.0,14.163,0.6703009166896378,3.0350732720963847,3.7053741887860223,6.740447460882407,0,0,0.6697718220398643,1.812308406365422,2.4820802284052865,4.2943886347707085,0,0
2830,810401,47,2016,0.0,0.0,2.568713075,1.08731108,0.0,0.0,0.0,0.0,0.0,0.642178269,0.9140060390000001,0.9140060390000001,0.9140060390000001,0.27182777,0.0,0.0,0.488479534,3.842620536,0.298,0.083,9.029,0.107,0.25,3.085,1.31,0.0,14.163,0.6703009166896378,3.0350732720963847,3.7053741887860223,6.740447460882407,0,0,0.6697718220398643,1.812308406365422,2.4820802284052865,4.2943886347707085,0,0
