,addrcode,Week,Year,rainfall,predicted,actual
157,8004,44,2017,1359.2,0.3065224919854421,0.0
158,8004,45,2017,639.07,0.4099553449364285,0.151952591
159,8004,46,2017,1195.5,0.35066366987355174,0.151952591
160,8005,7,2017,3.58,1.11083731579614,0.343855306
161,8005,8,2017,39.67,0.6467515638237142,0.343855306
162,8005,9,2017,0.07,0.49547877554732833,0.0
163,8005,10,2017,32.12,0.5678541005427749,0.343855306
164,8005,11,2017,32.1,0.3811391447939585,1.031565917
165,8005,12,2017,303.81,0.3601717635395669,1.031565917
166,8005,13,2017,241.64,0.3231563976396046,0.687710611
167,8005,14,2017,106.49,0.37012441743508506,3.0946977510000004
168,8005,15,2017,74.37,0.5798064031449836,1.031565917
169,8005,16,2017,2.13,0.6875489992825047,1.031565917
170,8005,17,2017,401.27,0.6521654021391883,0.343855306
171,8005,18,2017,319.31,1.2734875072771805,0.343855306
172,8005,19,2017,157.17,1.2091395824556033,0.343855306
173,8005,20,2017,170.33,0.9513320374515952,1.031565917
174,8005,21,2017,254.8,0.8676611163151271,0.687710611
175,8005,22,2017,195.43,0.7232852204852968,0.687710611
176,8005,23,2017,143.78,0.4778613432153853,1.031565917
177,8005,24,2017,107.77,0.6203819788010039,1.375421223
178,8005,25,2017,40.51,0.6176436678114493,0.0
179,8005,26,2017,74.22,0.6073910213489361,0.343855306
180,8005,27,2017,66.73,0.7343046553623799,0.687710611
181,8005,28,2017,144.71,0.8994574805385154,0.687710611
182,8005,29,2017,130.49,0.6054641348058902,1.7192765280000002
183,8005,30,2017,32.49,0.5090896898525814,0.343855306
184,8005,31,2017,226.83,0.6340051214241179,1.375421223
185,8005,32,2017,216.16,0.5980723061816655,0.343855306
186,8005,33,2017,274.74,0.8104873052863113,0.0
187,8005,34,2017,204.64,0.7235289286195321,1.7192765280000002
188,8005,35,2017,101.99,0.8189693233074695,0.0
189,8005,36,2017,239.19,0.7622057390542316,0.0
190,8005,37,2017,204.64,0.4821173313973197,0.343855306
191,8005,38,2017,113.32,0.7783289516827111,0.0
192,8005,39,2017,89.46,0.622150977550843,0.343855306
193,8005,40,2017,223.68,0.3031753424044832,1.031565917
194,8005,41,2017,595.73,0.45059073247545367,0.687710611
195,8005,42,2017,205.93,0.37552627533251015,0.343855306
196,8005,43,2017,321.62,0.2768181319735682,0.0
197,8005,44,2017,742.06,0.5544690125145615,0.343855306
198,8005,45,2017,331.84,0.6024788596846402,0.687710611
199,8005,46,2017,587.83,0.49319040247738555,0.0
200,8006,7,2017,0.0,0.46752785044596284,0.472600959
201,8006,8,2017,196.46,0.38723247136398237,0.472600959
202,8006,9,2017,0.0,0.37974568812168086,0.472600959
203,8006,10,2017,61.29,0.373605345380763,0.0
204,8006,11,2017,57.8,0.40921876299824556,0.708901439
205,8006,12,2017,260.85,0.41389925247787085,0.23630048
206,8006,13,2017,147.92,0.43937889089618076,0.0
207,8006,14,2017,98.51,0.32538198193805756,0.472600959
208,8006,15,2017,100.95,0.4269370928803175,0.472600959
209,8006,16,2017,0.01,0.403413930698974,0.23630048
210,8006,17,2017,467.63,0.25790556754868393,0.23630048
211,8006,18,2017,468.95,0.3300370650860123,0.472600959
212,8006,19,2017,240.62,0.41630512634676864,0.0
213,8006,20,2017,318.12,0.32075725817496176,0.0
214,8006,21,2017,434.93,0.3160157025683173,0.708901439
215,8006,22,2017,362.18,0.4043592006399936,0.23630048
