,Day,Year,addrcode,temperature
10065,17,2018,810407,26.17
10066,17,2018,810103,27.06
10067,17,2018,810206,27.06
10068,17,2018,810808,26.29
10069,17,2018,810507,23.67
10070,17,2018,810503,23.65
10071,17,2018,810205,25.31
10072,17,2018,810604,24.58
10073,17,2018,802303,27.74
10074,17,2018,800904,27.77
10075,17,2018,800607,27.93
10076,17,2018,801611,27.01
10077,17,2018,801608,27.39
10078,17,2018,800606,27.33
10079,17,2018,800913,28.17
10080,17,2018,800601,28.47
10081,17,2018,800903,29.25
10082,17,2018,801305,27.62
10083,17,2018,801306,28.41
10084,17,2018,800902,27.77
10085,17,2018,800605,28.03
10086,17,2018,800612,27.16
10087,17,2018,801906,24.39
10088,17,2018,800613,27.27
10089,17,2018,801606,28.19
10090,17,2018,800706,26.74
10091,17,2018,800907,27.99
10092,17,2018,801601,28.38
10093,17,2018,802001,
10094,17,2018,800112,
10095,17,2018,800115,
10096,17,2018,800122,
10097,17,2018,800101,
10098,17,2018,800113,
10099,17,2018,800205,
10100,17,2018,800203,
10101,17,2018,802103,
10102,17,2018,801403,
10103,17,2018,801404,
10104,17,2018,800813,
10105,17,2018,800804,
10106,17,2018,801610,
10107,17,2018,800708,
10110,209,2018,801205,28.01
10111,209,2018,802302,
10112,209,2018,801211,29.31
10113,209,2018,800102,28.17
10114,209,2018,802203,
10115,209,2018,800103,28.17
10116,209,2018,800118,34.75
10117,209,2018,800401,29.23
10118,209,2018,800108,31.95
10119,209,2018,800114,34.21
10120,209,2018,802002,34.21
10121,209,2018,800415,
10122,209,2018,800810,30.73
10123,209,2018,800107,26.71
10124,209,2018,800809,31.69
10125,209,2018,800709,
10126,209,2018,801901,
10127,209,2018,800703,29.69
10128,209,2018,801401,
10129,209,2018,810802,26.33
10130,209,2018,810101,25.53
10131,209,2018,800610,28.69
10132,209,2018,800901,32.01
10133,209,2018,800604,28.85
10134,209,2018,801607,31.73
10135,145,2016,801304,34.06
10136,145,2016,800603,25.71
10137,145,2016,801904,31.72
10138,145,2016,800905,30.18
10139,145,2016,800909,30.49
10140,145,2016,801701,28.54
10141,145,2016,801903,32.71
10142,145,2016,800611,32.77
10143,145,2016,801204,33.03
10144,145,2016,801101,27.14
10145,145,2016,801302,26.21
10146,145,2016,802003,32.83
10147,145,2016,801215,34.21
10148,145,2016,801206,34.53
10149,145,2016,801207,33.87
10150,145,2016,801217,32.61
10151,145,2016,802001,33.77
10152,145,2016,800305,30.69
10153,145,2016,801105,28.35
10154,145,2016,801212,35.49
10155,145,2016,801003,29.44
10156,145,2016,800302,27.86
10157,145,2016,801208,34.55
10158,145,2016,800911,27.97
10159,145,2016,801107,28.9
10160,145,2016,801213,32.89
10161,145,2016,800912,28.71
10162,145,2016,801218,28.95
10163,145,2016,802301,32.93
10164,145,2016,801301,29.81
10165,145,2016,800906,29.44
10166,145,2016,801216,32.33
10167,145,2016,801001,29.13
10168,145,2016,801303,31.85
10169,145,2016,802304,34.53
10170,145,2016,801203,34.35
10171,145,2016,801104,28.28
10172,145,2016,801214,31.78
10173,145,2016,800407,30.81
10174,145,2016,800112,31.49
10175,145,2016,800304,27.73
10176,145,2016,800106,35.45
10177,145,2016,800405,30.67
10178,145,2016,800115,35.51
10179,145,2016,801801,29.81
10180,145,2016,800303,31.81
10181,145,2016,801106,28.33
10182,145,2016,801103,30.21
10183,145,2016,800122,33.45
10184,145,2016,802202,30.34
10185,145,2016,801210,35.89
10186,145,2016,801002,28.35
10187,145,2016,802004,33.03
10188,145,2016,802201,28.65
10189,145,2016,801102,28.12
10190,145,2016,800301,28.55
10191,145,2016,800101,35.81
10192,145,2016,800119,32.77
10193,145,2016,800416,31.86
10194,145,2016,800113,34.37
10195,145,2016,801202,34.38
10196,145,2016,810602,29.93
10197,145,2016,810601,27.59
10198,145,2016,800807,32.52
10199,145,2016,800204,29.26
10200,145,2016,800501,27.26
10201,145,2016,800120,32.58
10202,145,2016,810301,26.25
10203,145,2016,810603,27.98
10204,145,2016,800201,29.8
10205,145,2016,800205,31.49
10206,145,2016,800403,26.65
10207,145,2016,801209,26.81
10208,145,2016,800116,31.22
10209,145,2016,801803,27.25
10210,145,2016,800410,31.91
10211,145,2016,800406,29.85
10212,145,2016,800505,29.8
10213,145,2016,800504,28.68
10214,145,2016,800121,33.43
10215,145,2016,801802,28.39
10216,145,2016,800203,33.47
10217,145,2016,800404,29.97
10218,145,2016,800202,32.75
10219,145,2016,800806,30.51
10220,145,2016,802101,29.78
10221,145,2016,802103,31.28
10222,145,2016,800803,31.04
10223,145,2016,800503,28.17
10224,145,2016,800502,27.76
10225,145,2016,800801,30.55
10226,145,2016,802104,29.28
10227,145,2016,801403,28.47
10228,145,2016,801408,26.17
10229,145,2016,802102,27.16
10230,145,2016,801404,30.03
10231,145,2016,800802,28.51
10232,145,2016,801407,27.46
10233,145,2016,800811,28.22
10234,145,2016,801405,28.48
10235,145,2016,800813,31.75
10236,145,2016,800804,33.07
10237,145,2016,800409,28.92
10238,145,2016,801604,32.32
10239,145,2016,800704,31.4
10240,145,2016,801605,31.77
10241,145,2016,801602,32.19
10242,145,2016,801704,30.29
10243,145,2016,801702,29.53
10244,145,2016,801902,32.77
10245,145,2016,801703,29.68
10246,145,2016,801603,31.35
10247,145,2016,800910,30.34
10248,145,2016,801905,31.04
10249,145,2016,800701,33.46
10250,145,2016,800908,29.27
10251,145,2016,801503,25.28
10252,145,2016,801501,26.93
10253,145,2016,801502,27.43
10254,145,2016,801406,28.97
10255,145,2016,801409,27.34
10256,145,2016,801402,30.51
10257,145,2016,801610,33.31
10258,145,2016,800710,31.62
10259,145,2016,800702,30.91
10260,145,2016,800705,30.98
10261,145,2016,801609,32.2
10262,145,2016,800708,31.95
10263,145,2016,800707,30.72
10264,145,2016,800711,32.13
10265,145,2016,810304,28.41
10266,145,2016,810405,28.98
10267,145,2016,810803,29.95
10268,145,2016,810403,29.64
10269,145,2016,810302,27.61
10270,145,2016,810305,28.17
10271,145,2016,810303,27.45
10272,145,2016,810404,28.44
10273,145,2016,810106,29.21
10274,145,2016,810801,31.95
10275,145,2016,810115,29.42
10276,145,2016,810406,30.18
10277,145,2016,810805,30.59
10278,145,2016,810701,29.79
10279,145,2016,810702,29.31
10280,145,2016,810703,29.62
10281,145,2016,810117,30.12
10282,145,2016,810704,29.57
10283,145,2016,810402,29.16
10284,145,2016,810401,29.76
10285,145,2016,810806,29.57
10286,145,2016,810116,30.09
10287,145,2016,810118,30.76
10288,145,2016,810804,31.25
10289,145,2016,810807,29.82
10290,145,2016,810204,27.91
10291,145,2016,810203,27.87
10292,145,2016,810201,28.15
10293,145,2016,810111,28.83
10294,145,2016,810506,25.45
10295,145,2016,810508,25.21
10296,145,2016,810509,19.51
10297,145,2016,810501,24.63
10298,145,2016,810202,26.65
10299,145,2016,810502,23.43
10300,145,2016,810505,28.51
10301,145,2016,810504,29.0
10302,145,2016,810105,30.42
10303,145,2016,810407,29.31
10304,145,2016,810103,26.84
10305,145,2016,810206,27.97
10306,145,2016,810808,28.96
10307,145,2016,810507,27.8
10308,145,2016,810503,30.45
