,addrcode,Week,Year,DF_1,DF_0,DF_wm1,DF_wm2,DF_wm3,DF_wm4,DF_wm5,DF_wm6,DFma_1,DFma_0,DFma_wm1,DFma_wm2,DFma_wm3,DFma_wm4,DFma_wm5,DFma_wm6,RF_wm6,LST_wm4,bin_pop9s,bowl_pop9s,bucket_pop9s,misc_short_pop9s,jar_pop9s,pottedplant_pop9s,tire_pop9s,misc_tall_pop9s,total_pop9s,WeekYear
2671,1019,48,2016,0.125459495,0.125459495,0.376378486,0.5018379820000001,0.25091899100000004,0.5018379820000001,0.125459495,0.25091899100000004,0.188189243,0.219554117,0.282283865,0.313648739,0.40774336,0.345013612,0.282283865,0.313648739,0.93626876,4.264681914,0.036346846,0.004728045,0.144057623,0.003841537,0.00738757,0.27304460199999997,0.043143411,0.0005910059999999999,0.513140641,482016
2672,1019,49,2016,0.25091899100000004,0.125459495,0.125459495,0.376378486,0.5018379820000001,0.25091899100000004,0.5018379820000001,0.125459495,0.282283865,0.188189243,0.219554117,0.282283865,0.313648739,0.40774336,0.345013612,0.282283865,0.585431141,4.2456337280000005,0.036346846,0.004728045,0.144057623,0.003841537,0.00738757,0.27304460199999997,0.043143411,0.0005910059999999999,0.513140641,492016
2673,1019,50,2016,0.25091899100000004,0.25091899100000004,0.125459495,0.125459495,0.376378486,0.5018379820000001,0.25091899100000004,0.5018379820000001,0.297796481,0.282283865,0.188189243,0.219554117,0.282283865,0.313648739,0.40774336,0.345013612,0.013684621999999999,4.102588087,0.036346846,0.004728045,0.144057623,0.003841537,0.00738757,0.27304460199999997,0.043143411,0.0005910059999999999,0.513140641,502016
2674,1019,51,2016,0.5018379820000001,0.25091899100000004,0.25091899100000004,0.125459495,0.125459495,0.376378486,0.5018379820000001,0.25091899100000004,0.28194422399999997,0.297796481,0.282283865,0.188189243,0.219554117,0.282283865,0.313648739,0.40774336,0.158651388,3.9998639419999997,0.036346846,0.004728045,0.144057623,0.003841537,0.00738757,0.27304460199999997,0.043143411,0.0005910059999999999,0.513140641,512016
2682,1020,15,2014,0.187509961,0.0,0.281264942,0.281264942,0.468774904,0.187509961,0.187509961,0.187509961,0.117193726,0.187509961,0.187509961,0.257826197,0.304703687,0.281264942,0.257826197,0.266091967,0.004887365,4.406997657,0.03033869,0.003476308,0.098600744,0.004003022,0.005161791,0.236072935,0.023807445,0.000842741,0.402303676,152014
2683,1020,16,2014,0.281264942,0.187509961,0.0,0.281264942,0.281264942,0.468774904,0.187509961,0.187509961,0.117193726,0.117193726,0.187509961,0.187509961,0.257826197,0.304703687,0.281264942,0.257826197,0.032833068,4.34343284,0.03033869,0.003476308,0.098600744,0.004003022,0.005161791,0.236072935,0.023807445,0.000842741,0.402303676,162014
2684,1020,17,2014,0.0,0.281264942,0.187509961,0.0,0.281264942,0.281264942,0.468774904,0.187509961,0.093754981,0.117193726,0.117193726,0.187509961,0.187509961,0.257826197,0.304703687,0.281264942,0.0,4.396857048999999,0.03033869,0.003476308,0.098600744,0.004003022,0.005161791,0.236072935,0.023807445,0.000842741,0.402303676,172014
2685,1020,18,2014,0.0,0.0,0.281264942,0.187509961,0.0,0.281264942,0.281264942,0.468774904,0.04687749,0.093754981,0.117193726,0.117193726,0.187509961,0.187509961,0.257826197,0.304703687,0.36855745,4.582279235,0.03033869,0.003476308,0.098600744,0.004003022,0.005161791,0.236072935,0.023807445,0.000842741,0.402303676,182014
2686,1020,19,2014,0.093754981,0.0,0.0,0.281264942,0.187509961,0.0,0.281264942,0.281264942,0.04687749,0.04687749,0.093754981,0.117193726,0.117193726,0.187509961,0.187509961,0.257826197,1.242894523,4.68600256,0.03033869,0.003476308,0.098600744,0.004003022,0.005161791,0.236072935,0.023807445,0.000842741,0.402303676,192014
2687,1020,20,2014,0.093754981,0.093754981,0.0,0.0,0.281264942,0.187509961,0.0,0.281264942,0.04687749,0.04687749,0.04687749,0.093754981,0.117193726,0.117193726,0.187509961,0.187509961,0.0,4.5076596669999995,0.03033869,0.003476308,0.098600744,0.004003022,0.005161791,0.236072935,0.023807445,0.000842741,0.402303676,202014
2688,1020,21,2014,0.0,0.093754981,0.093754981,0.0,0.0,0.281264942,0.187509961,0.0,0.023438745,0.04687749,0.04687749,0.04687749,0.093754981,0.117193726,0.117193726,0.187509961,0.513173329,4.208352289,0.03033869,0.003476308,0.098600744,0.004003022,0.005161791,0.236072935,0.023807445,0.000842741,0.402303676,212014
