OLD_TB_IDN,TB_EN,addrcode,X,Y
810205,Na Khao,810205,98.96582188,8.343428257
810604,Khiri Wong,810604,98.83086847,8.450503424
802303,Suan Luang,802303,100.0505846,8.124305487
800610,Suea Hueng,800610,100.2220574,8.157284376
800904,Khuan Krot,800904,99.6322271,8.149180586
800901,Pak Phraek,800901,99.68851892,8.168281893
800607,Thong Lamchiak,800607,100.1169938,8.146788728
800604,Ban Klang,800604,100.1971683,8.155749936
801611,Ko Phet,801611,100.2913674,8.111672344
801608,Tha Som,801608,100.2472147,8.142290511
800606,Sai Mak,800606,100.1629479,8.202695454
800913,Khao Khao,800913,99.50025712,8.172975787
800601,Chian Yai,800601,100.1169325,8.198682369
800903,Nong Hong,800903,99.63052771,8.188331154
801305,Khuan Phang,801305,99.97747284,8.159441148
801306,Khuan Chum,801306,99.91920164,8.18264107
800902,Chamai,800902,99.67263358,8.14759861
800605,Ban Noen,800605,100.1931241,8.184493275
800612,Khao Phrabat,800612,100.1905284,8.083680489
801607,Bang Nop,801607,100.2465722,8.106543726
801906,Sam Tambon,801906,99.84273519,8.067836881
800613,Mae Chao Yu Hua,800613,100.0941362,8.074776861
801606,Ban Ram,801606,100.2437863,8.08245875
800706,Ban Tun,800706,99.99976071,8.070028038
800907,Khao Ro,800907,99.59362938,8.047484771
801601,Hua Sai,801601,100.2863308,8.036764916
