,addrcode,bin,bowl,bucket,misc_short,jar,pottedplant,tire,misc_tall,total
62,801101,0.568,0.034,6.242,0.089,0.089,1.56,0.315,0.0,8.897
63,801204,0.087,0.029,0.895,0.029,0.289,1.27,0.548,0.0,3.146
64,802003,0.762,0.007,1.456,0.052,0.239,2.083,0.68,0.007,5.287
65,801206,0.02,0.039,0.608,0.0,0.118,1.47,0.627,0.0,2.882
66,801215,0.132,0.0,1.546,0.0,0.625,1.645,0.559,0.0,4.507
67,801217,0.172,0.057,2.232,0.029,0.973,2.919,0.63,0.0,7.012
68,801207,0.053,0.0,1.307,0.08,0.56,1.547,0.453,0.0,4.001
69,801216,0.318,0.106,6.192,0.042,0.679,2.417,0.551,0.0,10.305
70,800906,0.403,0.01,1.17,0.02,0.04,1.18,0.171,0.0,2.995
71,801303,0.767,0.036,1.318,0.027,0.271,2.338,0.569,0.0,5.325
72,801001,1.064,0.0,1.332,0.027,0.072,1.163,0.429,0.0,4.087
73,801203,0.0,0.0,0.714,0.0,0.29,1.428,0.379,0.0,2.812
74,802304,0.183,0.034,2.763,0.034,0.481,3.325,1.41,0.0,8.231
75,801211,0.079,0.04,1.187,0.04,0.712,1.979,0.633,0.0,4.67
76,801104,0.182,0.024,6.802,0.049,0.134,1.7,0.304,0.0,9.195
77,801107,0.246,0.038,6.288,0.057,0.18,1.544,0.199,0.0,8.551
78,800911,0.859,0.074,6.104,0.057,0.09,2.962,1.244,0.0,11.389
79,801213,0.0,0.0,1.635,0.096,0.769,5.0,1.154,0.0,8.654
80,802302,0.053,0.089,1.761,0.071,0.302,1.743,0.872,0.0,4.891
81,801218,0.265,0.102,6.135,0.102,0.489,2.609,0.469,0.0,10.171
82,800912,2.445,0.064,3.112,0.064,0.159,2.81,1.207,0.0,9.86
83,801301,0.073,0.008,0.228,0.0,0.0,0.182,0.178,0.0,0.668
84,802301,0.0,0.0,0.033,0.0,0.0,0.147,0.016,0.0,0.196
85,800913,0.368,0.021,4.878,0.064,0.085,1.308,0.283,0.0,7.006
86,800606,0.046,0.023,0.688,0.0,0.367,2.042,0.574,0.0,3.74
87,800903,1.082,0.019,1.584,0.029,0.029,1.236,0.56,0.0,4.539
88,800601,1.815,0.0,1.54,0.027,0.275,3.134,0.605,0.027,7.424
89,801306,0.334,0.024,1.239,0.012,0.131,1.418,0.453,0.0,3.609
90,801305,0.031,0.008,0.427,0.008,0.093,1.621,0.341,0.016,2.544
91,800605,0.073,0.036,1.089,0.036,0.29,1.959,0.798,0.0,4.282
92,800902,2.428,0.068,3.906,0.098,0.083,4.637,1.493,0.0,12.713
93,800610,0.182,0.0,2.298,0.073,0.766,3.392,0.693,0.0,7.403
