,addrcode,bin,bowl,bucket,misc_short,jar,pottedplant,tire,misc_tall,total
110,102504,17.217,5.022,66.356,4.304,6.456,167.862,17.217,1.076,285.509
111,101103,5.083,0.184,27.679,0.857,1.47,22.045,24.985,0.061,82.364
112,100201,20.027,3.186,36.413,1.821,2.731,88.757,10.924,0.455,164.315
113,101901,20.797,4.333,158.579,5.199,6.066,331.889,32.062,0.867,559.792
114,101905,8.534,1.094,21.444,0.766,0.875,41.794,5.689,0.0,80.197
115,101102,0.934,0.133,5.804,0.0,0.267,3.936,2.201,0.0,13.276
116,102006,11.811,0.656,32.808,0.656,2.625,110.236,5.906,0.0,164.698
117,104801,8.678,0.216,23.933,0.431,1.725,31.156,7.223,0.054,73.415
118,100701,29.565,6.087,113.913,9.565,7.826,278.261,54.783,1.739,501.739
119,104003,15.649,1.701,60.489,1.089,6.124,84.439,11.567,0.476,181.534
120,100802,12.195,7.317,124.39,14.634,2.439,400.0,65.854,0.0,626.829
121,100103,60.914,30.457,142.132,15.228,10.152,472.081,25.381,0.0,756.345
122,103401,30.861,3.484,114.868,2.858,4.779,209.191,21.214,0.849,388.102
123,101501,10.043,4.304,96.126,1.435,1.435,169.297,21.521,10.043,314.204
124,101303,62.331,27.1,86.721,21.68,2.71,254.743,32.52,8.13,495.935
125,102107,7.773,1.204,38.187,0.942,2.584,51.85,8.54,0.263,111.342
126,102802,23.325,10.766,101.077,5.981,2.99,251.196,33.493,1.196,430.024
127,101507,18.839,14.318,102.487,9.797,9.043,177.091,22.607,0.754,354.936
128,101803,22.631,6.601,90.995,2.829,6.129,175.389,17.445,0.0,322.018
129,101301,21.645,10.823,110.39,8.658,4.329,183.983,32.468,4.329,376.623
130,102801,41.215,12.148,154.447,7.375,6.941,399.132,54.23,2.603,678.091
131,100803,24.03,18.484,216.266,3.697,9.242,502.773,62.847,0.0,837.338
132,100105,79.137,79.137,438.849,79.137,14.388,1122.302,100.719,14.388,1928.058
133,100804,26.738,32.086,181.818,26.738,5.348,417.112,45.455,2.674,737.968
134,100106,34.965,20.979,118.881,62.937,0.0,377.622,6.993,0.0,622.378
135,103903,39.281,7.308,109.013,6.395,4.568,196.102,24.665,1.218,388.551
136,103303,38.766,3.679,65.931,3.679,4.81,198.642,24.052,0.566,340.125
137,102201,21.107,4.498,123.01,3.46,7.439,184.775,21.28,1.211,366.782
138,101505,17.934,8.608,77.475,5.739,8.608,244.62,15.065,0.0,378.049
139,103101,10.293,4.117,58.672,2.573,2.059,119.918,6.691,1.029,205.353
140,103504,23.246,4.732,119.934,4.937,5.143,211.685,26.332,0.617,396.626
141,102302,16.071,1.557,75.238,1.335,7.563,127.787,13.902,0.278,243.73
142,101204,7.269,2.285,34.268,1.038,1.454,55.244,11.838,0.208,113.603
143,102402,19.085,3.131,91.099,2.982,6.113,139.257,14.164,0.596,276.428
144,105001,15.619,2.884,116.124,2.223,4.926,127.178,18.052,0.39,287.396
145,103503,17.831,2.443,138.617,2.443,5.374,210.674,20.151,0.733,398.266
146,102401,21.29,1.897,61.973,1.054,2.319,102.234,21.079,0.632,212.479
147,104701,8.584,0.853,28.994,0.625,1.137,38.999,8.755,0.398,88.346
148,101504,24.903,11.673,158.755,7.782,7.004,254.475,25.681,0.778,491.051
149,101203,30.753,5.003,82.107,3.384,3.973,167.893,22.955,0.736,316.804
150,101804,19.387,8.13,54.409,3.127,2.502,115.697,18.136,0.625,222.014
151,101503,18.888,19.937,165.792,5.247,2.099,252.886,37.775,1.049,503.673
152,102803,19.537,5.789,65.847,3.98,3.98,191.751,19.899,1.447,312.229
153,103502,27.089,6.486,102.251,4.96,3.434,194.201,17.169,0.382,355.971
154,104902,9.299,0.791,52.28,0.643,1.335,78.297,7.469,0.297,150.411
155,104301,25.84,2.364,85.543,1.858,6.249,149.384,13.342,0.338,284.918
156,104602,2.416,0.299,7.149,0.075,0.872,14.224,4.409,0.025,29.47
157,104504,81.575,9.606,237.165,5.354,8.976,320.315,39.685,0.787,703.465
158,104901,17.938,1.64,66.641,1.061,2.411,92.487,10.03,0.289,192.497
