,addrcode,bin,bowl,bucket,misc_short,jar,pottedplant,tire,misc_tall,total
148,101504,0.199,0.094,1.272,0.062,0.056,2.039,0.206,0.006,3.934
149,101203,0.442,0.072,1.179,0.049,0.057,2.411,0.33,0.011,4.549
150,101804,0.168,0.071,0.472,0.027,0.022,1.004,0.157,0.005,1.926
151,101503,0.084,0.088,0.736,0.023,0.009,1.122,0.168,0.005,2.236
152,102803,0.293,0.087,0.986,0.06,0.06,2.873,0.298,0.022,4.678
153,103502,0.202,0.048,0.764,0.037,0.026,1.451,0.128,0.003,2.66
154,104902,0.288,0.025,1.621,0.02,0.041,2.428,0.232,0.009,4.664
155,104301,0.82,0.075,2.715,0.059,0.198,4.741,0.423,0.011,9.043
156,104602,0.379,0.047,1.122,0.012,0.137,2.232,0.692,0.004,4.624
157,104504,1.155,0.136,3.359,0.076,0.127,4.537,0.562,0.011,9.964
158,104901,0.343,0.031,1.274,0.02,0.046,1.768,0.192,0.006,3.681
