,addrcode,bin,bowl,bucket,misc_short,jar,pottedplant,tire,misc_tall,total
122,800910,1,4,30,4,4,60,18,1,122
123,800908,18,6,266,1,8,160,71,1,531
124,800701,37,5,329,7,14,200,46,1,639
125,801901,42,2,142,3,1,100,101,0,391
126,800709,81,6,327,5,15,201,131,0,766
127,800704,4,4,332,3,12,166,33,1,555
128,801604,0,0,1,0,0,2,0,0,3
129,801605,3,0,36,4,17,95,23,0,178
130,800703,112,7,130,7,8,130,31,1,426
131,801704,3,0,65,1,26,81,20,1,197
132,801602,5,0,101,0,2,54,17,0,179
133,800710,15,2,51,0,0,45,40,0,153
134,801610,2,2,34,2,14,41,17,0,112
135,800705,76,6,178,9,3,146,113,0,531
136,800702,46,5,479,3,12,159,18,2,724
137,800708,15,2,51,0,0,45,40,0,153
138,801609,2,2,55,0,15,130,42,0,246
139,800711,6,4,445,3,5,142,20,0,625
140,800707,3,5,268,4,8,105,29,1,423
141,801502,62,3,790,4,37,292,95,1,1284
142,801501,110,6,523,4,18,344,75,0,1080
143,801409,129,3,170,1,15,132,28,1,479
144,801406,18,0,19,0,0,8,3,0,48
145,801401,175,1,161,1,15,218,42,0,613
146,801402,9,2,78,3,13,130,76,1,312
147,801408,2,0,37,0,3,59,25,1,127
148,801403,25,2,79,3,10,122,38,0,279
149,801404,152,1,148,2,15,154,59,0,531
150,802102,0,0,34,1,15,67,17,0,134
151,801407,28,3,64,2,6,82,23,0,208
152,800802,53,2,304,2,10,145,50,1,567
153,801405,165,1,105,2,12,130,40,0,455
154,800811,17,6,408,0,18,101,24,0,574
155,802101,77,2,115,1,4,84,31,0,314
156,800806,18,0,66,4,4,155,56,1,304
157,800803,16,2,66,4,3,168,41,0,300
158,802103,56,7,89,1,4,139,32,1,329
159,800502,26,11,238,4,10,160,32,2,483
160,800503,27,0,293,2,6,94,31,4,457
161,802104,112,9,189,4,5,155,42,0,516
162,800801,202,4,401,7,13,369,118,0,1114
163,800809,18,3,49,2,1,111,36,0,220
164,800813,59,2,279,5,3,142,35,0,525
165,800409,48,1,229,6,8,114,28,0,434
166,800804,32,1,54,2,3,61,14,1,168
