,addrcode,bin,bowl,bucket,misc_short,jar,pottedplant,tire,misc_tall,total
127,101507,25,19,136,13,12,235,30,1,471
128,101803,48,14,193,6,13,372,37,0,683
129,101301,10,5,51,4,2,85,15,2,174
130,102801,95,28,356,17,16,920,125,6,1563
131,100803,13,10,117,2,5,272,34,0,453
132,100105,11,11,61,11,2,156,14,2,268
133,100804,10,12,68,10,2,156,17,1,276
134,100106,5,3,17,9,0,54,1,0,89
135,103903,129,24,358,21,15,644,81,4,1276
136,103303,137,13,233,13,17,702,85,2,1202
137,102201,122,26,711,20,43,1068,123,7,2120
138,101505,25,12,108,8,12,341,21,0,527
139,103101,20,8,114,5,4,233,13,2,399
140,103504,113,23,583,24,25,1029,128,3,1928
141,102302,289,28,1353,24,136,2298,250,5,4383
142,101204,35,11,165,5,7,266,57,1,547
143,102402,128,21,611,20,41,934,95,4,1854
144,105001,520,96,3866,74,164,4234,601,13,9568
145,103503,146,20,1135,20,44,1725,165,6,3261
146,102401,101,9,294,5,11,485,100,3,1008
147,104701,151,15,510,11,20,686,154,7,1554
148,101504,32,15,204,10,9,327,33,1,631
149,101203,209,34,558,23,27,1141,156,5,2153
150,101804,31,13,87,5,4,185,29,1,355
151,101503,18,19,158,5,2,241,36,1,480
152,102803,54,16,182,11,11,530,55,4,863
153,103502,71,17,268,13,9,509,45,1,933
154,104902,188,16,1057,13,27,1583,151,6,3041
155,104301,306,28,1013,22,74,1769,158,4,3374
156,104602,97,12,287,3,35,571,177,1,1183
157,104504,518,61,1506,34,57,2034,252,5,4467
158,104901,186,17,691,11,25,959,104,3,1996
