,addrcode,Year,temperature
318,101907,2016,35.288017113095236
319,101907,2017,35.22708258928571
320,102004,2014,35.816890625
321,102004,2015,36.386160714285715
322,102004,2016,36.09728422619048
323,102004,2017,35.69977380952381
324,102005,2014,35.816890625
325,102005,2015,36.386160714285715
326,102005,2016,36.09728422619048
327,102005,2017,35.69977380952381
328,102006,2014,35.816890625
329,102006,2015,36.386160714285715
330,102006,2016,36.09728422619048
331,102006,2017,35.69977380952381
332,102007,2014,35.816890625
333,102007,2015,36.386160714285715
334,102007,2016,36.09728422619048
335,102007,2017,35.69977380952381
336,102009,2014,35.816890625
337,102009,2015,36.386160714285715
338,102009,2016,36.09728422619048
339,102009,2017,35.69977380952381
340,102105,2014,32.13112946428572
341,102105,2015,32.97002356150794
342,102105,2016,31.59720461309524
343,102105,2017,31.549843005952383
344,102107,2014,32.072264136904764
345,102107,2015,33.878492311507934
346,102107,2016,32.18623065476191
347,102107,2017,30.537683035714284
348,102201,2014,36.669877976190485
349,102201,2015,36.905636904761906
350,102201,2016,36.052578869047615
351,102201,2017,35.920246279761905
352,102202,2014,36.225757440476194
353,102202,2015,36.16177380952381
354,102202,2016,35.55873809523809
355,102202,2017,35.873113839285715
356,102206,2014,36.669877976190485
357,102206,2015,36.905636904761906
358,102206,2016,36.052578869047615
359,102206,2017,35.920246279761905
360,102207,2014,36.225757440476194
361,102207,2015,36.16177380952381
362,102207,2016,35.55873809523809
363,102207,2017,35.873113839285715
364,102208,2014,36.225757440476194
365,102208,2015,36.16177380952381
366,102208,2016,35.55873809523809
367,102208,2017,35.873113839285715
368,102209,2014,36.669877976190485
369,102209,2015,36.905636904761906
370,102209,2016,36.052578869047615
371,102209,2017,35.920246279761905
372,102210,2014,36.669877976190485
373,102210,2015,36.905636904761906
374,102210,2016,36.052578869047615
375,102210,2017,35.920246279761905
376,102302,2014,35.49388913690476
377,102302,2015,35.705554563492065
378,102302,2016,35.144344494047616
379,102302,2017,34.84125892857143
380,102303,2014,35.417753720238096
381,102303,2015,35.914465773809525
382,102303,2016,34.97021949404762
383,102303,2017,35.519749255952384
384,102401,2014,34.338777529761906
385,102401,2015,34.58268030753968
386,102401,2016,33.70669047619048
387,102401,2017,33.53975148809524
388,102402,2014,35.84129017857143
389,102402,2015,35.59873859126984
390,102402,2016,35.06335416666667
391,102402,2017,35.04768154761905
392,102501,2014,35.816890625
393,102501,2015,36.386160714285715
394,102501,2016,36.09728422619048
395,102501,2017,35.69977380952381
396,102502,2014,35.57377976190476
397,102502,2015,36.44175744047619
398,102502,2016,36.30946130952381
399,102502,2017,36.0488162202381
400,102503,2014,35.816890625
401,102503,2015,36.386160714285715
402,102503,2016,36.09728422619048
403,102503,2017,35.69977380952381
404,102504,2014,35.816890625
405,102504,2015,36.386160714285715
406,102504,2016,36.09728422619048
407,102504,2017,35.69977380952381
408,102601,2014,36.03525
409,102601,2015,36.418473462301584
410,102601,2016,35.84619940476191
411,102601,2017,36.18279613095238
412,102701,2014,34.89683407738095
413,102701,2015,35.08769841269841
414,102701,2016,34.576822916666664
415,102701,2017,35.03362425595238
416,102704,2014,36.0409806547619
417,102704,2015,36.67316071428572
418,102704,2016,36.14149330357143
419,102704,2017,36.336786458333336
420,102705,2014,35.37388913690477
421,102705,2015,35.99243998015873
422,102705,2016,35.42579464285714
423,102705,2017,35.50654241071429
424,102801,2014,36.0744568452381
425,102801,2015,36.18627083333333
426,102801,2016,35.1669962797619
427,102801,2017,35.43348660714286
428,102802,2014,36.0744568452381
429,102802,2015,36.18627083333333
430,102802,2016,35.1669962797619
431,102802,2017,35.43348660714286
432,102803,2014,36.17558854166666
433,102803,2015,36.225635912698415
434,102803,2016,35.35880133928571
435,102803,2017,35.46085788690477
436,102901,2014,35.57377976190476
437,102901,2015,36.44175744047619
438,102901,2016,36.30946130952381
439,102901,2017,36.0488162202381
440,102902,2014,35.57377976190476
441,102902,2015,36.44175744047619
442,102902,2016,36.30946130952381
443,102902,2017,36.0488162202381
444,103001,2014,35.92977901785714
445,103001,2015,36.80862202380953
446,103001,2016,36.452952380952375
447,103001,2017,36.35870982142857
448,103002,2014,35.92977901785714
449,103002,2015,36.80862202380953
450,103002,2016,36.452952380952375
451,103002,2017,36.35870982142857
452,103003,2014,35.92977901785714
453,103003,2015,36.80862202380953
454,103003,2016,36.452952380952375
455,103003,2017,36.35870982142857
456,103004,2014,35.92977901785714
457,103004,2015,36.80862202380953
458,103004,2016,36.452952380952375
459,103004,2017,36.35870982142857
460,103005,2014,35.92977901785714
461,103005,2015,36.80862202380953
462,103005,2016,36.452952380952375
463,103005,2017,36.35870982142857
464,103101,2014,35.84129017857143
465,103101,2015,35.59873859126984
466,103101,2016,35.06335416666667
467,103101,2017,35.04768154761905
468,103102,2014,36.0744568452381
469,103102,2015,36.18627083333333
470,103102,2016,35.1669962797619
471,103102,2017,35.43348660714286
472,103103,2014,34.338777529761906
473,103103,2015,34.58268030753968
474,103103,2016,33.70669047619048
475,103103,2017,33.53975148809524
476,103201,2014,34.56543898809524
477,103201,2015,34.83281597222223
478,103201,2016,34.37245163690476
479,103201,2017,34.11308556547619
480,103202,2014,35.06858110119048
481,103202,2015,35.32141542658731
482,103202,2016,34.37611979166667
483,103202,2017,34.68677678571429
484,103203,2014,35.06858110119048
485,103203,2015,35.32141542658731
486,103203,2016,34.37611979166667
487,103203,2017,34.68677678571429
488,103301,2014,36.17558854166666
489,103301,2015,36.225635912698415
490,103301,2016,35.35880133928571
491,103301,2017,35.46085788690477
492,103302,2014,36.17558854166666
493,103302,2015,36.225635912698415
494,103302,2016,35.35880133928571
495,103302,2017,35.46085788690477
496,103303,2014,36.17558854166666
497,103303,2015,36.225635912698415
498,103303,2016,35.35880133928571
499,103303,2017,35.46085788690477
500,103401,2014,35.91006696428571
501,103401,2015,35.85954017857143
502,103401,2016,34.928783482142855
503,103401,2017,35.27221056547619
504,103501,2014,35.80049553571428
505,103501,2015,35.589074652777775
506,103501,2016,35.01906101190476
507,103501,2017,35.454328124999996
508,103502,2014,36.669877976190485
509,103502,2015,36.905636904761906
510,103502,2016,36.052578869047615
511,103502,2017,35.920246279761905
512,103503,2014,35.84129017857143
513,103503,2015,35.59873859126984
514,103503,2016,35.06335416666667
515,103503,2017,35.04768154761905
516,103504,2014,35.84129017857143
517,103504,2015,35.59873859126984
518,103504,2016,35.06335416666667
519,103504,2017,35.04768154761905
520,103602,2014,35.62002306547619
521,103602,2015,36.67985119047619
522,103602,2016,36.24392410714285
523,103602,2017,35.42629315476191
524,103604,2014,35.62002306547619
525,103604,2015,36.67985119047619
526,103604,2016,36.24392410714285
527,103604,2017,35.42629315476191
528,103605,2014,36.01525148809523
529,103605,2015,36.9297537202381
530,103605,2016,36.200926339285715
531,103605,2017,36.05695461309524
532,103701,2014,36.15526636904762
533,103701,2015,36.48431646825397
534,103701,2016,35.93172544642858
535,103701,2017,35.852604166666666
