,addrcode,Year,Week,temperature
2784,1014,2015,16,38.73982142857143
2785,1014,2015,17,39.68214285714286
2786,1014,2015,18,38.785535714285714
2787,1014,2015,19,37.10124999999999
2788,1014,2015,20,38.185
2789,1014,2015,21,40.055
2790,1014,2015,22,40.06875
2791,1014,2015,23,38.291785714285716
2792,1014,2015,24,37.46589285714286
2793,1014,2015,25,38.8275
2794,1014,2015,26,39.33714285714285
2795,1014,2015,27,37.738571428571426
2796,1014,2015,28,36.6925
2797,1014,2015,29,36.46
2798,1014,2015,30,36.46
2799,1014,2015,31,37.14571428571429
2800,1014,2015,32,38.882857142857155
2801,1014,2015,33,38.745714285714286
2802,1014,2015,34,36.972321428571426
2803,1014,2015,35,37.23767857142858
2804,1014,2015,36,38.31500000000001
2805,1014,2015,37,39.52
2806,1014,2015,38,39.735
2807,1014,2015,39,38.277321428571426
2808,1014,2015,40,36.51625000000001
2809,1014,2015,41,36.065714285714286
2810,1014,2015,42,35.82732142857143
2811,1014,2015,43,34.97732142857142
2812,1014,2015,44,34.7625
2813,1014,2015,45,35.195
2814,1014,2015,46,34.88125000000001
2815,1014,2015,47,33.76625
2816,1014,2015,48,33.723571428571425
2817,1014,2015,49,33.64785714285714
2818,1014,2015,50,32.43267857142857
2819,1014,2015,51,32.89214285714286
2820,1014,2015,52,33.955535714285716
2821,1014,2015,53,34.191250000000004
2822,1014,2016,1,32.66625
2823,1014,2016,2,31.335000000000004
2824,1014,2016,3,30.5625
2825,1014,2016,4,31.615892857142853
2826,1014,2016,5,33.77982142857143
2827,1014,2016,6,34.71857142857143
2828,1014,2016,7,34.87964285714286
2829,1014,2016,8,35.00714285714285
2830,1014,2016,9,35.39
2831,1014,2016,10,36.615
2832,1014,2016,11,37.97875000000001
2833,1014,2016,12,38.24875000000001
2834,1014,2016,13,37.45821428571429
2835,1014,2016,14,37.24964285714286
2836,1014,2016,15,37.92625
2837,1014,2016,16,39.22089285714287
2838,1014,2016,17,38.9625
2839,1014,2016,18,37.21999999999999
2840,1014,2016,19,35.92000000000001
2841,1014,2016,20,35.92000000000001
2842,1014,2016,21,35.92000000000001
2843,1014,2016,22,35.92000000000001
2844,1014,2016,23,35.92000000000001
2845,1014,2016,24,35.940892857142856
2846,1014,2016,25,36.65125000000001
2847,1014,2016,26,37.52
2848,1014,2016,27,38.5725
2849,1014,2016,28,39.35
2850,1014,2016,29,38.29071428571429
2851,1014,2016,30,36.44714285714286
2852,1014,2016,31,37.636785714285715
2853,1014,2016,32,37.97267857142858
2854,1014,2016,33,36.70375
2855,1014,2016,34,35.92000000000001
2856,1014,2016,35,35.92000000000001
2857,1014,2016,36,36.53339285714286
2858,1014,2016,37,38.087321428571435
2859,1014,2016,38,37.965714285714284
2860,1014,2016,39,36.33714285714286
2861,1014,2016,40,35.94982142857143
2862,1014,2016,41,36.62375000000001
2863,1014,2016,42,36.925
2864,1014,2016,43,36.72000000000001
2865,1014,2016,44,36.18857142857143
2866,1014,2016,45,34.95
2867,1014,2016,46,33.830357142857146
2868,1014,2016,47,33.60892857142857
2869,1014,2016,48,33.910892857142855
2870,1014,2016,49,34.02125
2871,1014,2016,50,33.565000000000005
2872,1014,2016,51,33.496785714285714
2873,1014,2016,52,33.29696428571429
2874,1014,2017,1,33.43999999999999
2875,1014,2017,2,33.3875
2876,1014,2017,3,33.776964285714286
2877,1014,2017,4,34.96017857142857
2878,1014,2017,5,35.39821428571428
2879,1014,2017,6,35.03107142857142
2880,1014,2017,7,35.27571428571428
2881,1014,2017,8,36.0775
2882,1014,2017,9,36.76
2883,1014,2017,10,37.4275
2884,1014,2017,11,38.19696428571429
2885,1014,2017,12,38.37767857142858
2886,1014,2017,13,37.90714285714286
2887,1014,2017,14,38.714642857142856
2888,1014,2017,15,39.11714285714286
2889,1014,2017,16,38.43250000000001
2890,1014,2017,17,37.08
2891,1014,2017,18,35.89625
2892,1014,2017,19,35.53839285714285
2893,1014,2017,20,35.863214285714285
2894,1014,2017,21,35.98964285714286
2895,1014,2017,22,36.74500000000001
2896,1014,2017,23,38.04803571428572
2897,1014,2017,24,37.93875000000001
2898,1014,2017,25,36.74
2899,1014,2017,26,35.88999999999999
2900,1014,2017,27,35.88999999999999
2901,1014,2017,28,36.16857142857143
2902,1014,2017,29,37.28285714285714
2903,1014,2017,30,37.36642857142857
2904,1014,2017,31,36.33517857142857
2905,1014,2017,32,36.84625000000001
2906,1014,2017,33,36.46
2907,1014,2017,34,34.975
2908,1014,2017,35,34.95
2909,1014,2017,36,37.4025
2910,1014,2017,37,38.993214285714295
2911,1014,2017,38,38.27392857142858
2912,1014,2017,39,36.51357142857143
2913,1014,2017,40,36.1525
2914,1014,2017,41,36.04
2915,1014,2017,42,35.43625000000001
2916,1014,2017,43,35.01642857142857
2917,1014,2017,44,35.09875
2918,1014,2017,45,34.190357142857145
2919,1014,2017,46,33.42892857142857
2920,1014,2017,47,33.948035714285716
2921,1014,2017,48,33.77125
2922,1014,2017,49,32.305
2923,1014,2017,50,31.34875000000001
2924,1014,2017,51,32.153035714285714
2925,1014,2017,52,32.684642857142855
2926,1015,2014,1,33.5225
2927,1015,2014,2,31.81035714285715
2928,1015,2014,3,31.80035714285714
2929,1015,2014,4,33.08267857142857
2930,1015,2014,5,32.93125
2931,1015,2014,6,32.45499999999999
2932,1015,2014,7,32.73250000000001
2933,1015,2014,8,33.512142857142855
2934,1015,2014,9,34.39214285714286
2935,1015,2014,10,35.87892857142857
2936,1015,2014,11,36.75428571428571
2937,1015,2014,12,36.300714285714285
2938,1015,2014,13,37.49
2939,1015,2014,14,39.53000000000001
2940,1015,2014,15,40.21625
2941,1015,2014,16,39.0717857142857
2942,1015,2014,17,38.37982142857144
2943,1015,2014,18,39.95464285714286
2944,1015,2014,19,41.41107142857144
2945,1015,2014,20,41.72625
2946,1015,2014,21,41.93875000000002
2947,1015,2014,22,40.615
2948,1015,2014,23,38.24874999999998
2949,1015,2014,24,37.11089285714285
2950,1015,2014,25,38.27428571428572
2951,1015,2014,26,39.61392857142857
2952,1015,2014,27,38.81946428571428
2953,1015,2014,28,37.25767857142858
2954,1015,2014,29,36.73
2955,1015,2014,30,37.339999999999996
