,addrcode,Year,Month,temperature
409,1009,2016,2,32.88142857142857
410,1009,2016,3,35.58660714285714
411,1009,2016,4,35.47357142857143
412,1009,2016,5,35.38160714285715
413,1009,2016,6,34.96464285714286
414,1009,2016,7,35.215428571428575
415,1009,2016,8,35.66397321428571
416,1009,2016,9,34.81901785714285
417,1009,2016,10,34.99092857142857
418,1009,2016,11,32.323125
419,1009,2016,12,32.454866071428576
420,1009,2017,1,32.686571428571426
421,1009,2017,2,32.989821428571425
422,1009,2017,3,35.389375
423,1009,2017,4,36.93467857142857
424,1009,2017,5,33.87366071428571
425,1009,2017,6,34.623437499999994
426,1009,2017,7,34.67221428571428
427,1009,2017,8,35.17008928571428
428,1009,2017,9,35.614
429,1009,2017,10,33.85125000000001
430,1009,2017,11,31.49375
431,1009,2017,12,30.12375
432,1010,2014,1,29.545267857142854
433,1010,2014,2,31.951138392857143
434,1010,2014,3,34.51741071428571
435,1010,2014,4,37.07803571428572
436,1010,2014,5,37.796285714285716
437,1010,2014,6,34.5665625
438,1010,2014,7,33.64566964285714
439,1010,2014,8,33.28392857142857
440,1010,2014,9,33.01919642857143
441,1010,2014,10,33.90252232142858
442,1010,2014,11,33.02105357142857
443,1010,2014,12,30.083526785714287
444,1010,2015,1,30.626800595238098
445,1010,2015,2,33.236964285714286
446,1010,2015,3,34.104107142857146
447,1010,2015,4,36.747455357142854
448,1010,2015,5,35.67730357142857
449,1010,2015,6,35.19069196428571
450,1010,2015,7,34.02183035714285
451,1010,2015,8,34.9149642857143
452,1010,2015,9,34.64178571428572
453,1010,2015,10,33.00617857142857
454,1010,2015,11,33.11584821428572
455,1010,2015,12,30.715848214285717
456,1010,2016,1,30.337
457,1010,2016,2,33.61741071428571
458,1010,2016,3,36.0628125
459,1010,2016,4,36.22139285714285
460,1010,2016,5,33.415
461,1010,2016,6,33.792857142857144
462,1010,2016,7,33.5825
463,1010,2016,8,32.777410714285715
464,1010,2016,9,33.8975
465,1010,2016,10,33.95555357142857
466,1010,2016,11,32.31988839285714
467,1010,2016,12,31.3196875
468,1010,2017,1,31.93371428571429
469,1010,2017,2,33.07758928571428
470,1010,2017,3,35.980044642857145
471,1010,2017,4,36.16123214285714
472,1010,2017,5,33.73314732142857
473,1010,2017,6,33.52580357142857
474,1010,2017,7,33.43092857142857
475,1010,2017,8,34.41100446428572
476,1010,2017,9,33.48169642857143
477,1010,2017,10,31.33357142857143
478,1010,2017,11,31.59
479,1010,2017,12,29.35017857142857
480,1011,2014,1,27.825818452380954
481,1011,2014,2,30.626227678571432
482,1011,2014,3,32.903113095238105
483,1011,2014,4,36.45680059523809
484,1011,2014,5,37.62560714285714
485,1011,2014,6,33.366860119047615
486,1011,2014,7,32.716949404761905
487,1011,2014,8,32.236285714285714
488,1011,2014,9,32.198578869047616
489,1011,2014,10,32.78338541666667
490,1011,2014,11,31.412535714285713
491,1011,2014,12,27.65294642857143
492,1011,2015,1,29.578948412698413
493,1011,2015,2,32.65839285714286
494,1011,2015,3,33.02333333333333
495,1011,2015,4,35.23885416666666
496,1011,2015,5,34.68517857142857
497,1011,2015,6,34.6396130952381
498,1011,2015,7,33.008184523809526
499,1011,2015,8,33.676458333333336
500,1011,2015,9,33.785967261904766
501,1011,2015,10,32.4233869047619
502,1011,2015,11,31.533898809523812
503,1011,2015,12,29.91375
504,1011,2016,1,29.505255952380953
505,1011,2016,2,33.071800595238095
506,1011,2016,3,35.66880952380953
507,1011,2016,4,35.513214285714284
508,1011,2016,5,32.55056547619047
509,1011,2016,6,32.73982142857143
510,1011,2016,7,32.70545238095237
511,1011,2016,8,32.55767857142857
512,1011,2016,9,32.11056547619047
513,1011,2016,10,32.060375
514,1011,2016,11,30.20075148809524
515,1011,2016,12,29.433563988095237
516,1011,2017,1,29.88747619047619
517,1011,2017,2,32.232529761904765
518,1011,2017,3,33.99306547619048
519,1011,2017,4,34.579363095238094
520,1011,2017,5,31.07558035714286
521,1011,2017,6,31.799650297619046
522,1011,2017,7,31.681738095238096
523,1011,2017,8,32.40777529761905
524,1011,2017,9,32.180351190476195
525,1011,2017,10,30.966056547619047
526,1011,2017,11,29.934866071428573
527,1011,2017,12,27.26940476190476
528,1012,2014,1,30.356205357142862
529,1012,2014,2,30.92888392857143
530,1012,2014,3,33.34835714285715
531,1012,2014,4,36.52928571428572
532,1012,2014,5,37.13814285714286
533,1012,2014,6,35.5925
534,1012,2014,7,34.74178571428571
535,1012,2014,8,34.489285714285714
536,1012,2014,9,36.65017857142857
537,1012,2014,10,36.72571428571429
538,1012,2014,11,34.19360714285715
539,1012,2014,12,31.37138392857143
540,1012,2015,1,31.2335119047619
541,1012,2015,2,32.621696428571425
542,1012,2015,3,33.75901785714286
543,1012,2015,4,35.94651785714285
544,1012,2015,5,36.711
545,1012,2015,6,36.035267857142856
546,1012,2015,7,35.86785714285714
547,1012,2015,8,35.60057142857143
