,addrcode,Year,rainfall
233,101501,2015,32.25256944444444
234,101501,2016,37.020291666666665
235,101501,2017,25.829375
236,101502,2014,31.883699999999997
237,101502,2015,32.25256944444444
238,101502,2016,37.020291666666665
239,101502,2017,25.829375
240,101503,2014,31.883699999999997
241,101503,2015,32.25256944444444
242,101503,2016,37.020291666666665
243,101503,2017,25.829375
244,101504,2014,31.883699999999997
245,101504,2015,32.25256944444444
246,101504,2016,37.020291666666665
247,101504,2017,25.829375
248,101505,2014,31.883699999999997
249,101505,2015,32.25256944444444
250,101505,2016,37.020291666666665
251,101505,2017,25.829375
252,101506,2014,31.883699999999997
253,101506,2015,32.25256944444444
254,101506,2016,37.020291666666665
255,101506,2017,25.829375
256,101507,2014,31.883699999999997
257,101507,2015,32.25256944444444
258,101507,2016,37.020291666666665
259,101507,2017,25.829375
260,101601,2014,31.883699999999997
261,101601,2015,32.25256944444444
262,101601,2016,37.020291666666665
263,101601,2017,25.829375
264,101602,2014,31.883699999999994
265,101602,2015,32.25256944444444
266,101602,2016,37.020291666666665
267,101602,2017,25.829375
268,101701,2014,30.801800000000004
269,101701,2015,33.86376388888889
270,101701,2016,37.959458333333345
271,101701,2017,25.833333333333332
272,101702,2014,30.801800000000004
273,101702,2015,33.86376388888889
274,101702,2016,37.959458333333345
275,101702,2017,25.833333333333332
276,101704,2014,30.801800000000004
277,101704,2015,33.86376388888889
278,101704,2016,37.959458333333345
279,101704,2017,25.833333333333332
280,101801,2014,31.883699999999997
281,101801,2015,32.25256944444444
282,101801,2016,37.020291666666665
283,101801,2017,25.829375
284,101802,2014,30.801800000000004
285,101802,2015,33.86376388888889
286,101802,2016,37.959458333333345
287,101802,2017,25.833333333333332
288,101803,2014,30.801800000000004
289,101803,2015,33.86376388888889
290,101803,2016,37.959458333333345
291,101803,2017,25.833333333333332
292,101804,2014,30.801800000000004
293,101804,2015,33.86376388888889
294,101804,2016,37.959458333333345
295,101804,2017,25.833333333333332
296,101901,2014,31.883699999999997
297,101901,2015,32.25256944444444
298,101901,2016,37.020291666666665
299,101901,2017,25.829375
300,101902,2014,31.883699999999997
301,101902,2015,32.25256944444444
302,101902,2016,37.020291666666665
303,101902,2017,25.829375
304,101903,2014,31.883699999999997
305,101903,2015,32.25256944444444
306,101903,2016,37.020291666666665
307,101903,2017,25.829375
308,101904,2014,31.883699999999997
309,101904,2015,32.25256944444444
310,101904,2016,37.020291666666665
