,code,Year,DF,Season,MIN_LST,MAX_LST,AVG_LST,AVG_RF,SUM_RF,Population,Bin,Bowl,Bucket,Misc_Short,Jar,Pottedplant,Tire,Misc_Tall,Total
770,A3801,2016,62,True,36.06,37.339285714285715,36.730244047619045,64.40125000000002,1654.29,91763,623,69,2278,65,120,5411,445,23,9034
771,A3801,2016,71,False,32.339285714285715,38.25008928571428,35.55274255952381,10.847833333333334,65.087,91763,623,69,2278,65,120,5411,445,23,9034
772,A3801,2017,153,True,35.750267857142866,37.94075892857143,36.92344494047619,35.64091666666667,922.96,91763,623,69,2278,65,120,5411,445,23,9034
773,A3801,2017,40,False,32.373571428571424,37.97542857142857,35.75012797619048,15.289416666666668,91.7365,91763,623,69,2278,65,120,5411,445,23,9034
774,A3802,2015,75,True,36.320928571428574,38.939428571428564,37.80940178571428,59.76066666666668,1565.4,27538,270,15,829,9,71,2246,165,4,3609
775,A3802,2015,24,False,33.424107142857146,38.85205357142858,35.53691964285715,5.143194444444444,30.859166666666667,27538,270,15,829,9,71,2246,165,4,3609
776,A3802,2016,12,True,36.06,37.339285714285715,36.730244047619045,64.40125000000002,1654.29,27538,270,15,829,9,71,2246,165,4,3609
777,A3802,2016,16,False,32.339285714285715,38.25008928571428,35.55274255952381,10.847833333333334,65.087,27538,270,15,829,9,71,2246,165,4,3609
778,A3802,2017,21,True,35.750267857142866,37.94075892857143,36.92344494047619,35.64091666666667,922.96,27538,270,15,829,9,71,2246,165,4,3609
779,A3802,2017,12,False,32.373571428571424,37.97542857142857,35.75012797619048,15.289416666666668,91.7365,27538,270,15,829,9,71,2246,165,4,3609
780,A3901,2015,32,True,36.09496428571428,38.538964285714286,37.729148809523814,61.20058333333333,1607.75,7478,59,18,135,14,9,436,38,9,718
781,A3901,2015,18,False,32.60089285714286,38.39517857142857,34.72212301587302,6.526944444444443,39.16166666666666,7478,59,18,135,14,9,436,38,9,718
782,A3901,2016,16,True,35.32,37.28714285714286,36.19621279761905,65.058,1678.31,7478,59,18,135,14,9,436,38,9,718
783,A3901,2016,9,False,31.758857142857146,37.29421428571428,34.52138988095238,10.860916666666666,65.1655,7478,59,18,135,14,9,436,38,9,718
784,A3901,2017,17,True,35.05397321428571,37.83044642857144,36.377400297619054,35.411833333333334,920.61,7478,59,18,135,14,9,436,38,9,718
785,A3901,2017,13,False,31.48142857142857,37.51875,34.544315476190484,16.254833333333334,97.529,7478,59,18,135,14,9,436,38,9,718
786,A3902,2015,177,True,36.09496428571428,38.538964285714286,37.729148809523814,61.20058333333333,1607.75,38383,286,39,563,27,14,1283,140,16,2368
787,A3902,2015,53,False,32.60089285714286,38.39517857142857,34.72212301587302,6.526944444444443,39.16166666666666,38383,286,39,563,27,14,1283,140,16,2368
788,A3902,2016,14,True,35.32,37.28714285714286,36.19621279761905,65.05799999999999,1678.31,38383,286,39,563,27,14,1283,140,16,2368
789,A3902,2016,33,False,31.758857142857146,37.29421428571428,34.52138988095238,10.860916666666666,65.1655,38383,286,39,563,27,14,1283,140,16,2368
790,A3902,2017,76,True,35.05397321428571,37.83044642857144,36.377400297619054,35.41183333333333,920.6099999999999,38383,286,39,563,27,14,1283,140,16,2368
791,A3902,2017,22,False,31.48142857142857,37.51875,34.544315476190484,16.254833333333334,97.529,38383,286,39,563,27,14,1283,140,16,2368
792,A3903,2015,139,True,35.27532142857142,38.43513392857143,37.36297916666667,61.20058333333333,1607.75,22060,129,24,358,21,15,644,81,4,1276
