,addrcode,Year,Month,Cases
527,100110,2017,6,0
528,100110,2017,7,2
529,100110,2017,8,4
530,100110,2017,9,0
531,100110,2017,10,1
532,100110,2017,11,0
533,100110,2017,12,0
534,100110,2018,1,0
535,100110,2018,2,0
536,100110,2018,3,0
537,100110,2018,4,0
538,100110,2018,5,1
539,100110,2018,6,0
540,100111,2014,1,0
541,100111,2014,2,0
542,100111,2014,3,0
543,100111,2014,4,0
544,100111,2014,5,1
545,100111,2014,6,0
546,100111,2014,7,0
547,100111,2014,8,2
548,100111,2014,9,0
549,100111,2014,10,1
550,100111,2014,11,1
551,100111,2014,12,1
552,100111,2015,1,0
553,100111,2015,2,0
554,100111,2015,3,1
555,100111,2015,4,1
556,100111,2015,5,0
557,100111,2015,6,0
558,100111,2015,7,0
559,100111,2015,8,1
560,100111,2015,9,0
561,100111,2015,10,2
562,100111,2015,11,6
563,100111,2015,12,3
564,100111,2016,1,0
565,100111,2016,2,0
566,100111,2016,3,0
567,100111,2016,4,1
568,100111,2016,5,0
569,100111,2016,6,0
570,100111,2016,7,0
571,100111,2016,8,0
572,100111,2016,9,0
573,100111,2016,10,0
574,100111,2016,11,1
575,100111,2016,12,2
576,100111,2017,1,0
577,100111,2017,2,0
578,100111,2017,3,0
579,100111,2017,4,1
580,100111,2017,5,0
581,100111,2017,6,0
582,100111,2017,7,2
583,100111,2017,8,1
584,100111,2017,9,2
585,100111,2017,10,1
586,100111,2017,11,3
587,100111,2017,12,0
588,100111,2018,1,1
589,100111,2018,2,0
590,100111,2018,3,0
591,100111,2018,4,0
592,100111,2018,5,1
593,100111,2018,6,0
594,100112,2014,1,0
595,100112,2014,2,0
596,100112,2014,3,0
597,100112,2014,4,0
598,100112,2014,5,0
599,100112,2014,6,0
600,100112,2014,7,0
601,100112,2014,8,0
602,100112,2014,9,0
603,100112,2014,10,0
604,100112,2014,11,1
605,100112,2014,12,1
606,100112,2015,1,0
607,100112,2015,2,2
608,100112,2015,3,0
609,100112,2015,4,0
610,100112,2015,5,1
611,100112,2015,6,0
612,100112,2015,7,0
613,100112,2015,8,0
614,100112,2015,9,1
615,100112,2015,10,1
616,100112,2015,11,4
617,100112,2015,12,1
618,100112,2016,1,0
619,100112,2016,2,0
620,100112,2016,3,0
621,100112,2016,4,0
622,100112,2016,5,0
623,100112,2016,6,0
624,100112,2016,7,2
625,100112,2016,8,0
626,100112,2016,9,0
627,100112,2016,10,0
628,100112,2016,11,0
629,100112,2016,12,0
630,100112,2017,1,1
631,100112,2017,2,1
632,100112,2017,3,0
633,100112,2017,4,0
634,100112,2017,5,0
635,100112,2017,6,1
636,100112,2017,7,1
637,100112,2017,8,1
638,100112,2017,9,0
639,100112,2017,10,0
640,100112,2017,11,1
641,100112,2017,12,0
642,100112,2018,1,1
643,100112,2018,2,0
644,100112,2018,3,0
645,100112,2018,4,0
646,100112,2018,5,1
647,100112,2018,6,0
648,100201,2014,1,1
649,100201,2014,2,3
650,100201,2014,3,2
651,100201,2014,4,1
652,100201,2014,5,2
653,100201,2014,6,1
654,100201,2014,7,3
655,100201,2014,8,3
656,100201,2014,9,2
657,100201,2014,10,1
658,100201,2014,11,9
659,100201,2014,12,1
660,100201,2015,1,1
661,100201,2015,2,0
662,100201,2015,3,0
663,100201,2015,4,3
664,100201,2015,5,2
665,100201,2015,6,3
666,100201,2015,7,2
667,100201,2015,8,9
668,100201,2015,9,12
669,100201,2015,10,22
670,100201,2015,11,34
671,100201,2015,12,13
672,100201,2016,1,10
673,100201,2016,2,1
674,100201,2016,3,0
675,100201,2016,4,0
676,100201,2016,5,1
677,100201,2016,6,0
678,100201,2016,7,0
679,100201,2016,8,2
680,100201,2016,9,2
681,100201,2016,10,0
682,100201,2016,11,2
683,100201,2016,12,2
684,100201,2017,1,1
685,100201,2017,2,0
686,100201,2017,3,0
687,100201,2017,4,1
688,100201,2017,5,1
689,100201,2017,6,2
690,100201,2017,7,4
691,100201,2017,8,3
692,100201,2017,9,5
693,100201,2017,10,5
694,100201,2017,11,4
695,100201,2017,12,2
696,100201,2018,1,1
697,100201,2018,2,0
698,100201,2018,3,0
699,100201,2018,4,1
700,100201,2018,5,0
701,100201,2018,6,0
702,100202,2014,1,0
703,100202,2014,2,0
704,100202,2014,3,0
705,100202,2014,4,0
706,100202,2014,5,0
707,100202,2014,6,0
708,100202,2014,7,0
709,100202,2014,8,0
710,100202,2014,9,1
711,100202,2014,10,1
712,100202,2014,11,0
713,100202,2014,12,0
714,100202,2015,1,0
715,100202,2015,2,0
716,100202,2015,3,1
717,100202,2015,4,0
718,100202,2015,5,0
719,100202,2015,6,4
720,100202,2015,7,1
721,100202,2015,8,3
722,100202,2015,9,2
723,100202,2015,10,6
724,100202,2015,11,22
725,100202,2015,12,14
726,100202,2016,1,6
727,100202,2016,2,3
728,100202,2016,3,0
729,100202,2016,4,0
730,100202,2016,5,0
731,100202,2016,6,0
732,100202,2016,7,0
733,100202,2016,8,3
734,100202,2016,9,0
735,100202,2016,10,0
736,100202,2016,11,1
737,100202,2016,12,1
738,100202,2017,1,1
739,100202,2017,2,0
740,100202,2017,3,0
741,100202,2017,4,0
742,100202,2017,5,0
743,100202,2017,6,0
744,100202,2017,7,3
745,100202,2017,8,2
746,100202,2017,9,2
747,100202,2017,10,1
748,100202,2017,11,1
749,100202,2017,12,1
750,100202,2018,1,2
751,100202,2018,2,0
752,100202,2018,3,3
753,100202,2018,4,0
754,100202,2018,5,0
755,100202,2018,6,0
756,100203,2014,1,4
757,100203,2014,2,2
758,100203,2014,3,0
759,100203,2014,4,1
760,100203,2014,5,5
761,100203,2014,6,3
762,100203,2014,7,0
763,100203,2014,8,1
764,100203,2014,9,1
765,100203,2014,10,1
766,100203,2014,11,0
767,100203,2014,12,0
768,100203,2015,1,1
769,100203,2015,2,0
770,100203,2015,3,0
771,100203,2015,4,0
772,100203,2015,5,1
773,100203,2015,6,1
774,100203,2015,7,10
775,100203,2015,8,8
776,100203,2015,9,11
777,100203,2015,10,16
778,100203,2015,11,9
779,100203,2015,12,5
780,100203,2016,1,12
781,100203,2016,2,1
782,100203,2016,3,1
783,100203,2016,4,2
784,100203,2016,5,0
785,100203,2016,6,0
786,100203,2016,7,0
787,100203,2016,8,1
788,100203,2016,9,2
789,100203,2016,10,2
790,100203,2016,11,0
791,100203,2016,12,0
792,100203,2017,1,0
793,100203,2017,2,0
794,100203,2017,3,0
