,code,Year,DF,Season,MIN_LST,MAX_LST,AVG_LST,AVG_RF,SUM_RF,Population,Bin,Bowl,Bucket,Misc_Short,Jar,Pottedplant,Tire,Misc_Tall,Total
272,B0606,2016,1,True,28.716383928571428,32.68294642857143,30.89602827380952,72.1345,1827.64,4358,2,1,30,0,16,89,25,0,163
273,B0606,2016,1,False,28.974,32.82330357142857,31.084540178571434,72.39525,434.3715,4358,2,1,30,0,16,89,25,0,163
274,B0606,2017,1,True,29.001160714285717,30.929714285714283,30.038438988095237,42.82441666666666,1075.9899999999998,4358,2,1,30,0,16,89,25,0,163
275,B0606,2017,1,False,25.544357142857145,30.479330357142853,28.253114583333332,31.496250000000003,188.97750000000002,4358,2,1,30,0,16,89,25,0,163
276,B0607,2015,2,True,29.51535714285714,32.38558035714286,31.42933035714286,66.69116666666666,1702.0,4443,36,1,56,0,10,53,21,0,177
277,B0607,2015,9,False,27.604880952380963,33.813125,30.758816468253972,31.018333333333334,186.11,4443,36,1,56,0,10,53,21,0,177
278,B0607,2016,2,True,28.490491071428572,32.39142857142857,30.886364583333332,72.8575,1846.33,4443,36,1,56,0,10,53,21,0,177
279,B0607,2016,2,False,28.616821428571434,33.96741071428571,31.367449404761903,69.15916666666666,414.955,4443,36,1,56,0,10,53,21,0,177
280,B0607,2017,0,True,27.80125,30.48330357142857,29.489700892857144,43.794916666666666,1102.75,4443,36,1,56,0,10,53,21,0,177
281,B0607,2017,4,False,25.673357142857146,30.334151785714287,28.463727678571434,32.035,192.20999999999998,4443,36,1,56,0,10,53,21,0,177
282,B0610,2015,2,True,29.292142857142853,31.414250000000006,30.313183035714285,64.1655,1636.7099999999998,2742,5,0,63,2,21,93,19,0,203
283,B0610,2015,4,False,27.70607142857143,31.523125,29.887106150793645,27.673388888888883,166.0403333333333,2742,5,0,63,2,21,93,19,0,203
284,B0610,2016,2,True,28.542035714285717,31.726142857142854,30.343997023809525,71.4255,1814.26,2742,5,0,63,2,21,93,19,0,203
285,B0610,2016,1,False,28.690669642857145,33.060785714285714,31.326421130952383,68.78891666666668,412.73350000000005,2742,5,0,63,2,21,93,19,0,203
286,B0610,2017,4,True,27.600044642857146,29.993839285714287,28.779538690476198,42.161750000000005,1059.83,2742,5,0,63,2,21,93,19,0,203
287,B0610,2017,2,False,25.29982142857143,30.552723214285717,28.17606398809524,30.342249999999996,182.05349999999999,2742,5,0,63,2,21,93,19,0,203
288,B0611,2015,1,True,27.10839285714286,32.17285714285714,30.529138392857146,66.69116666666666,1702.0,7048,29,2,212,4,4,49,25,0,325
289,B0611,2015,6,False,26.99607142857143,33.25241071428571,30.378656746031748,31.01833333333333,186.10999999999999,7048,29,2,212,4,4,49,25,0,325
290,B0611,2016,8,True,27.73808035714286,31.893214285714283,30.53555357142857,72.8575,1846.3300000000002,7048,29,2,212,4,4,49,25,0,325
291,B0611,2016,7,False,27.82464285714286,33.201071428571424,30.587273809523808,69.15916666666666,414.955,7048,29,2,212,4,4,49,25,0,325
292,B0611,2017,2,True,27.89205357142857,30.195580357142855,28.77633630952381,43.794916666666666,1102.75,7048,29,2,212,4,4,49,25,0,325
293,B0611,2017,5,False,25.75107142857143,30.231294642857147,28.27647172619048,32.035,192.20999999999998,7048,29,2,212,4,4,49,25,0,325
294,B0612,2015,1,True,27.611607142857146,32.43282142857142,30.838863095238093,72.45091666666667,1877.99,6328,33,3,236,5,13,118,44,0,452
295,B0612,2015,2,False,27.46690476190476,32.771339285714284,30.39842757936508,36.88569444444445,221.3141666666667,6328,33,3,236,5,13,118,44,0,452
296,B0612,2016,6,True,27.712607142857145,32.182857142857145,30.294821428571428,79.13408333333334,1998.3000000000002,6328,33,3,236,5,13,118,44,0,452
297,B0612,2016,5,False,27.97950892857143,33.323660714285715,30.73823363095238,71.01283333333333,426.077,6328,33,3,236,5,13,118,44,0,452
298,B0612,2017,5,True,28.052946428571428,29.851607142857148,28.936872023809528,47.980833333333344,1208.39,6328,33,3,236,5,13,118,44,0,452
299,B0612,2017,13,False,25.697142857142858,30.19491071428572,28.49379910714286,35.649166666666666,213.89499999999998,6328,33,3,236,5,13,118,44,0,452
300,B0613,2015,5,True,28.103125,31.48017857142857,30.550191964285716,71.84933333333333,1841.8200000000002,7574,53,0,165,0,18,136,51,1,424
301,B0613,2015,10,False,27.477976190476195,32.747589285714284,30.02983531746032,40.135,240.81,7574,53,0,165,0,18,136,51,1,424
302,B0613,2016,7,True,28.291071428571428,32.16620535714286,30.916072916666668,81.88925,2071.28,7574,53,0,165,0,18,136,51,1,424
303,B0613,2016,2,False,28.601285714285712,32.45321428571429,31.010296130952383,79.85291666666666,479.11749999999995,7574,53,0,165,0,18,136,51,1,424
304,B0613,2017,2,True,28.091339285714287,30.14138392857143,29.07584523809524,52.19299999999999,1317.96,7574,53,0,165,0,18,136,51,1,424
305,B0613,2017,4,False,25.73407142857143,30.271875,28.330011904761903,51.226916666666675,307.36150000000004,7574,53,0,165,0,18,136,51,1,424
306,B0701,2015,7,True,27.77017857142857,30.95200892857143,30.105639880952385,74.77108333333332,1938.0100000000002,12455,37,5,329,7,14,200,46,1,639
307,B0701,2015,3,False,27.552857142857146,33.23553571428571,30.71074603174603,30.809777777777782,184.8586666666667,12455,37,5,329,7,14,200,46,1,639
308,B0701,2016,13,True,26.836607142857147,30.882321428571423,29.56056994047619,90.10133333333333,2267.24,12455,37,5,329,7,14,200,46,1,639
309,B0701,2016,2,False,29.478392857142854,32.747946428571424,31.160671130952384,65.71708333333333,394.3025,12455,37,5,329,7,14,200,46,1,639
310,B0701,2017,4,True,28.45007142857143,30.25058035714286,29.339058035714288,54.412416666666665,1380.45,12455,37,5,329,7,14,200,46,1,639
311,B0701,2017,2,False,27.02857142857143,31.20207142857143,29.238502976190478,36.802916666666675,220.81750000000005,12455,37,5,329,7,14,200,46,1,639
312,B0702,2015,1,True,27.9125,30.599071428571428,29.617752976190477,74.77108333333332,1938.0100000000002,4781,46,5,479,3,12,159,18,2,724
313,B0702,2015,1,False,28.331488095238093,32.86133928571429,30.69915277777778,30.809777777777782,184.8586666666667,4781,46,5,479,3,12,159,18,2,724
314,B0702,2016,4,True,27.746473214285718,30.49160714285714,29.42476041666667,90.10133333333333,2267.24,4781,46,5,479,3,12,159,18,2,724
315,B0702,2016,2,False,27.58589285714286,32.146142857142856,30.550276785714285,65.71708333333333,394.3025,4781,46,5,479,3,12,159,18,2,724
316,B0702,2017,2,True,28.260178571428572,30.05700892857143,29.18105505952381,54.412416666666665,1380.45,4781,46,5,479,3,12,159,18,2,724
317,B0702,2017,5,False,27.358357142857145,30.85553571428572,29.10620833333333,36.802916666666675,220.81750000000005,4781,46,5,479,3,12,159,18,2,724
318,B0703,2015,2,True,27.815982142857145,30.732053571428576,30.06504166666667,68.55524999999999,1773.4099999999999,7206,112,7,130,7,8,130,31,1,426
319,B0703,2015,3,False,27.62116071428572,33.25866071428572,30.73227083333333,24.252916666666664,145.51749999999998,7206,112,7,130,7,8,130,31,1,426
320,B0703,2016,2,True,26.61299107142857,30.449419642857148,29.25444047619048,76.58525000000002,1924.4300000000003,7206,112,7,130,7,8,130,31,1,426
321,B0703,2016,5,False,29.402285714285718,32.720178571428576,31.321138392857147,61.32908333333333,367.9745,7206,112,7,130,7,8,130,31,1,426
322,B0703,2017,8,True,28.723464285714282,30.354821428571434,29.677404761904768,50.560083333333345,1292.9,7206,112,7,130,7,8,130,31,1,426
323,B0703,2017,9,False,27.42792857142857,31.553642857142854,29.639986607142855,31.137083333333333,186.8225,7206,112,7,130,7,8,130,31,1,426
324,B0704,2015,2,True,27.734107142857145,30.81165178571429,30.00487648809524,72.15033333333334,1859.9099999999999,7432,4,4,332,3,12,166,33,1,555
325,B0704,2015,0,False,26.154464285714283,32.46669642857143,29.643995039682537,38.510222222222225,231.06133333333335,7432,4,4,332,3,12,166,33,1,555
326,B0704,2016,6,True,26.521428571428572,32.081875000000004,29.990107142857145,80.51158333333333,2034.79,7432,4,4,332,3,12,166,33,1,555
327,B0704,2016,3,False,26.639017857142854,32.18671428571428,29.96744345238095,75.43283333333333,452.597,7432,4,4,332,3,12,166,33,1,555
328,B0704,2017,4,True,27.458035714285717,29.65294642857143,28.712471726190476,50.087583333333335,1263.19,7432,4,4,332,3,12,166,33,1,555
329,B0704,2017,2,False,25.49721428571429,29.54321428571429,27.858308035714288,43.438750000000006,260.63250000000005,7432,4,4,332,3,12,166,33,1,555
330,B0705,2015,3,True,27.623285714285718,28.94424107142857,28.196497023809528,65.32433333333333,1682.86,10357,76,6,178,9,3,146,113,0,531
331,B0705,2015,0,False,26.274375,32.66339285714286,29.4595505952381,22.802555555555557,136.81533333333334,10357,76,6,178,9,3,146,113,0,531
332,B0705,2016,4,True,26.580357142857146,29.325312500000006,27.656247023809527,73.38141666666667,1844.6,10357,76,6,178,9,3,146,113,0,531
333,B0705,2016,3,False,26.82950892857143,31.31571428571429,29.489947916666665,55.05391666666666,330.32349999999997,10357,76,6,178,9,3,146,113,0,531
334,B0705,2017,5,True,26.845535714285717,29.035848214285718,27.80576488095238,48.19041666666667,1233.2400000000002,10357,76,6,178,9,3,146,113,0,531
335,B0705,2017,3,False,26.368392857142855,29.02705357142857,27.44454910714286,31.18325,187.0995,10357,76,6,178,9,3,146,113,0,531
336,B0706,2015,2,True,27.389017857142854,31.1403125,29.95386011904762,64.15366666666667,1641.2499999999998,7126,4,1,170,2,9,122,32,0,340
337,B0706,2015,3,False,27.049910714285716,32.59598214285714,30.117543650793653,26.40211111111111,158.41266666666667,7126,4,1,170,2,9,122,32,0,340
338,B0706,2016,3,True,27.69267857142857,32.15339285714286,30.47402083333333,71.71566666666668,1807.4899999999998,7126,4,1,170,2,9,122,32,0,340
339,B0706,2016,1,False,28.73217857142857,31.86017857142857,30.472668154761905,67.02266666666667,402.13599999999997,7126,4,1,170,2,9,122,32,0,340
340,B0706,2017,5,True,27.826428571428576,29.408705357142853,28.976379464285714,51.682916666666664,1308.02,7126,4,1,170,2,9,122,32,0,340
341,B0706,2017,5,False,26.10478571428572,30.11075,28.55128720238095,32.96725,197.80349999999999,7126,4,1,170,2,9,122,32,0,340
342,B0707,2015,2,True,28.087857142857146,31.26901785714286,30.199284226190475,65.36516666666667,1685.36,5927,3,5,268,4,8,105,29,1,423
343,B0707,2015,1,False,27.201250000000005,32.28991071428571,29.942241071428572,26.84702777777777,161.08216666666664,5927,3,5,268,4,8,105,29,1,423
344,B0707,2016,6,True,29.60977678571428,31.93517857142857,30.7827619047619,90.62016666666666,2283.25,5927,3,5,268,4,8,105,29,1,423
345,B0707,2016,3,False,27.950464285714286,33.28935714285713,30.34861607142857,57.86216666666669,347.1730000000001,5927,3,5,268,4,8,105,29,1,423
346,B0707,2017,3,True,27.153035714285718,30.35825892857143,29.136343749999998,52.37741666666667,1326.1999999999998,5927,3,5,268,4,8,105,29,1,423
347,B0707,2017,3,False,25.804928571428576,29.92557142857143,28.198892857142862,33.685,202.11,5927,3,5,268,4,8,105,29,1,423
