TB_IDN,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
801303,34,2,0.005,15496,15530,34,15513.0,17.0,31026.0,2,15496,15496,15496
802304,35,1,0.0025,15481,15481,0,15481.0,0.0,15481.0,1,15481,15481,15481
801203,36,1,0.0025,15345,15345,0,15345.0,0.0,15345.0,1,15345,15345,15345
801104,37,4,0.01,15270,15375,105,15329.75,40.3817718779,61319.0,4,15270,15270,15317
801214,38,3,0.0075,15108,15385,277,15237.3333333,113.825402359,45712.0,3,15108,15108,15219
800407,39,1,0.0025,15267,15267,0,15267.0,0.0,15267.0,1,15267,15267,15267
800112,40,1,0.0025,15284,15284,0,15284.0,0.0,15284.0,1,15284,15284,15284
800304,41,4,0.01,14999,15283,284,15179.5,109.609534257,60718.0,4,14999,14999,15188
800106,42,2,0.005,15355,15390,35,15372.5,17.5,30745.0,2,15355,15355,15355
800405,43,1,0.0025,15271,15271,0,15271.0,0.0,15271.0,1,15271,15271,15271
800115,44,1,0.0025,15345,15345,0,15345.0,0.0,15345.0,1,15345,15345,15345
801801,45,1,0.0025,15241,15241,0,15241.0,0.0,15241.0,1,15241,15241,15241
800303,46,1,0.0025,15352,15352,0,15352.0,0.0,15352.0,1,15352,15352,15352
801106,47,2,0.005,15232,15280,48,15256.0,24.0,30512.0,2,15232,15232,15232
801103,48,2,0.005,15224,15253,29,15238.5,14.5,30477.0,2,15224,15224,15224
800122,49,2,0.005,15364,15414,50,15389.0,25.0,30778.0,2,15364,15364,15364
802202,50,2,0.005,15143,15224,81,15183.5,40.5,30367.0,2,15143,15143,15143
801210,51,1,0.0025,15291,15291,0,15291.0,0.0,15291.0,1,15291,15291,15291
801002,52,1,0.0025,15269,15269,0,15269.0,0.0,15269.0,1,15269,15269,15269
802004,53,2,0.005,15414,15481,67,15447.5,33.5,30895.0,2,15414,15414,15414
802201,54,7,0.0175,15019,15208,189,15091.0,70.106042128,105637.0,7,15019,15019,15062
801102,55,3,0.0075,15238,15295,57,15260.0,25.0199920064,45780.0,3,15238,15238,15247
800301,56,2,0.005,15141,15281,140,15211.0,70.0,30422.0,2,15141,15141,15141
800101,57,1,0.0025,15484,15484,0,15484.0,0.0,15484.0,1,15484,15484,15484
800119,58,1,0.0025,15362,15362,0,15362.0,0.0,15362.0,1,15362,15362,15362
800416,59,2,0.005,15117,15239,122,15178.0,61.0,30356.0,2,15117,15117,15117
800113,60,1,0.0025,15382,15382,0,15382.0,0.0,15382.0,1,15382,15382,15382
801202,61,3,0.0075,15279,15406,127,15350.0,52.9213252543,46050.0,3,15279,15279,15365
810602,62,4,0.01,15102,15238,136,15169.5,49.3988866271,60678.0,4,15102,15102,15153
810601,63,8,0.02,15146,15222,76,15196.25,25.1134923896,121570.0,8,15146,15146,15203
