addrcode,SMAPE without CD,SMAPE with CD,% improve SMAPE,RMSE without CD,RMSE with CD,% improvve RMSE,MAE without CD,MAE with CD,% improve MAE
103703,114.09,106.12,0.07,0.51,0.55,-0.09,0.36,0.40,-0.10
103704,80.61,75.90,0.06,0.31,0.42,-0.36,0.24,0.28,-0.15
103801,77.77,71.94,0.08,0.47,0.58,-0.23,0.32,0.41,-0.31
103802,111.75,100.46,0.10,0.31,0.26,0.17,0.24,0.21,0.15
103901,105.48,90.83,0.14,1.06,0.83,0.21,0.80,0.62,0.22
103902,94.00,92.84,0.01,0.45,0.48,-0.05,0.36,0.36,-0.01
103903,80.38,77.73,0.03,0.65,0.67,-0.03,0.49,0.50,-0.02
104001,83.76,91.51,-0.09,0.56,0.68,-0.20,0.40,0.48,-0.21
104003,97.30,108.92,-0.12,0.27,0.27,-0.02,0.20,0.20,-0.01
104004,99.39,89.45,0.10,0.30,0.37,-0.22,0.21,0.24,-0.18
104101,74.25,71.52,0.04,0.21,0.22,-0.06,0.15,0.15,0.00
104102,101.95,98.22,0.04,0.33,0.31,0.06,0.27,0.24,0.09
104201,152.24,152.92,0.00,0.18,0.17,0.05,0.14,0.13,0.06
104202,93.74,101.91,-0.09,0.11,0.14,-0.20,0.09,0.10,-0.17
104203,150.15,95.09,0.37,0.20,0.17,0.12,0.15,0.13,0.14
104301,72.97,75.89,-0.04,0.44,0.53,-0.20,0.35,0.39,-0.13
104302,105.70,116.60,-0.10,0.13,0.16,-0.17,0.10,0.13,-0.31
104401,69.90,76.46,-0.09,0.41,0.62,-0.50,0.27,0.39,-0.44
104501,107.57,118.81,-0.10,1.13,3.04,-1.70,0.87,1.94,-1.23
104502,151.86,154.23,-0.02,0.43,0.26,0.39,0.30,0.20,0.34
104503,93.14,92.39,0.01,0.29,0.29,0.00,0.20,0.20,-0.01
104504,69.38,76.16,-0.10,0.45,0.62,-0.37,0.33,0.42,-0.28
104601,107.35,109.03,-0.02,0.63,0.51,0.19,0.40,0.38,0.05
104602,115.49,116.59,-0.01,0.35,0.33,0.07,0.25,0.24,0.02
104603,98.02,84.26,0.14,0.45,0.43,0.04,0.34,0.31,0.08
104604,118.37,127.16,-0.07,0.39,0.51,-0.32,0.29,0.38,-0.29
104605,135.68,128.38,0.05,0.41,0.40,0.03,0.32,0.34,-0.07
104701,73.78,77.14,-0.05,0.16,0.18,-0.16,0.13,0.14,-0.11
104801,131.54,124.22,0.06,0.94,0.68,0.27,0.60,0.42,0.30
104802,108.41,97.62,0.10,0.35,0.37,-0.06,0.26,0.28,-0.07
104901,75.56,66.43,0.12,0.17,0.18,-0.01,0.13,0.13,0.06
104902,83.96,75.70,0.10,0.14,0.15,-0.03,0.12,0.12,0.00
105001,98.61,86.50,0.12,0.30,0.30,0.00,0.23,0.24,-0.04
,112.42,110.85,1%,0.44,0.47,-9%,0.31,0.33,-9%
