,addrcode,code
319,802201,B2201
320,802202,B2202
321,802203,B2203
322,802301,B2301
323,802302,B2302
324,802303,B2303
325,802304,B2304
326,810103,C0103
327,810105,C0105
328,810106,C0106
329,810111,C0111
330,810115,C0115
331,810116,C0116
332,810117,C0117
333,810118,C0118
334,810201,C0201
335,810202,C0202
336,810203,C0203
337,810204,C0204
338,810205,C0205
339,810206,C0206
340,810303,C0303
341,810304,C0304
342,810305,C0305
343,810401,C0401
344,810402,C0402
345,810403,C0403
346,810404,C0404
347,810405,C0405
348,810406,C0406
349,810407,C0407
350,810501,C0501
351,810503,C0503
352,810504,C0504
353,810505,C0505
354,810506,C0506
355,810507,C0507
356,810508,C0508
357,810509,C0509
358,810601,C0601
359,810602,C0602
360,810603,C0603
361,810604,C0604
362,810701,C0701
363,810702,C0702
364,810703,C0703
365,810704,C0704
366,810801,C0801
367,810803,C0803
368,810804,C0804
369,810805,C0805
370,810806,C0806
371,810807,C0807
372,810808,C0808
