addrcode,SMAPE without CD,SMAPE with CD,% improve SMAPE,RMSE without CD,RMSE with CD,% improvve RMSE,MAE without CD,MAE with CD,% improve MAE,
103801,77.77,68.34,0.12,0.47,0.41,0.12,0.32,0.30,0.05,
103802,111.75,95.55,0.15,0.31,0.28,0.09,0.24,0.22,0.10,
103901,105.48,87.80,0.17,1.06,0.67,0.36,0.80,0.51,0.36,
103902,94.00,75.25,0.20,0.45,0.35,0.22,0.36,0.28,0.21,
103903,80.38,79.84,0.01,0.65,0.52,0.19,0.49,0.42,0.15,
104001,83.76,111.92,-0.34,0.56,0.67,-0.18,0.40,0.52,-0.30,
104003,97.30,91.16,0.06,0.27,0.26,0.01,0.20,0.21,-0.09,
104004,99.39,86.75,0.13,0.30,0.29,0.04,0.21,0.23,-0.13,
104101,74.25,79.18,-0.07,0.21,0.18,0.15,0.15,0.14,0.10,
104102,101.95,97.15,0.05,0.33,0.31,0.05,0.27,0.24,0.11,
104201,152.24,113.61,0.25,0.18,0.21,-0.16,0.14,0.15,-0.08,
104202,93.74,91.56,0.02,0.11,0.16,-0.36,0.09,0.12,-0.37,
104203,150.15,83.38,0.44,0.20,0.15,0.23,0.15,0.10,0.29,
104301,72.97,61.60,0.16,0.44,0.45,-0.01,0.35,0.34,0.01,
104302,105.70,92.16,0.13,0.13,0.16,-0.17,0.10,0.12,-0.14,
104401,69.90,82.67,-0.18,0.41,0.42,-0.01,0.27,0.31,-0.12,
104501,107.57,92.72,0.14,1.13,0.95,0.15,0.87,0.70,0.19,
104502,151.86,163.07,-0.07,0.43,0.31,0.27,0.30,0.25,0.18,
104503,93.14,95.22,-0.02,0.29,0.26,0.11,0.20,0.20,0.01,
104504,69.38,90.39,-0.30,0.45,0.56,-0.23,0.33,0.41,-0.26,
104601,107.35,97.92,0.09,0.63,0.45,0.28,0.40,0.32,0.19,
104602,115.49,98.71,0.15,0.35,0.24,0.32,0.25,0.18,0.29,
104603,98.02,66.24,0.32,0.45,0.31,0.31,0.34,0.22,0.35,
104604,118.37,122.30,-0.03,0.39,0.40,-0.03,0.29,0.29,0.00,
104605,135.68,135.88,0.00,0.41,0.45,-0.10,0.32,0.35,-0.09,
104701,73.78,74.86,-0.01,0.16,0.22,-0.38,0.13,0.14,-0.09,
104801,131.54,115.50,0.12,0.94,0.69,0.26,0.60,0.42,0.31,
104802,108.41,92.28,0.15,0.35,0.33,0.06,0.26,0.25,0.05,
104901,75.56,82.06,-0.09,0.17,0.30,-0.70,0.13,0.19,-0.41,
104902,83.96,64.62,0.23,0.14,0.21,-0.52,0.12,0.14,-0.24,
105001,98.61,88.88,0.10,0.30,0.34,-0.14,0.23,0.28,-0.22,
,112.42,107.54,3%,0.44,0.40,-2%,0.31,0.29,-1%,
