"","addrcode","date","NumberCases","normalized_cases","hi","ci","bi","bin","bowl","bucket","cup","jar","pottedplant","tire","vase","total"
"72",801701,"2016-12-01",1,0.715665927145209,7.5,0.82,7.5,1,0,125,57,188,21,3,38,433
"73",801702,"2016-01-01",4,2.45639891918448,5,0.49,5,1,3,454,90,285,24,5,56,918
"74",801702,"2016-02-01",1,0.614099729796119,7.5,0.6,7.5,1,3,454,90,285,24,5,56,918
"75",801702,"2016-02-01",1,0.614099729796119,7.5,0.77,7.5,1,3,454,90,285,24,5,56,918
"76",801702,"2016-03-01",2,1.22819945959224,7.5,0.65,7.5,1,3,454,90,285,24,5,56,918
"77",801702,"2016-03-01",2,1.22819945959224,10,0.87,10,1,3,454,90,285,24,5,56,918
"78",801702,"2016-04-01",1,0.614099729796119,7.5,0.87,7.5,1,3,454,90,285,24,5,56,918
"79",801702,"2016-04-01",1,0.614099729796119,7.5,0.7,7.5,1,3,454,90,285,24,5,56,918
"80",801702,"2016-04-01",1,0.614099729796119,5,0.5,5,1,3,454,90,285,24,5,56,918
"81",801702,"2016-05-01",3,1.84229918938836,7.5,0.86,7.5,1,3,454,90,285,24,5,56,918
"82",801702,"2016-07-01",8,4.91279783836895,5,0.5,5,1,3,454,90,285,24,5,56,918
"83",801702,"2016-08-01",15,9.21149594694178,5,0.55,5,1,3,454,90,285,24,5,56,918
"84",801702,"2016-08-01",15,9.21149594694178,7.5,0.96,7.5,1,3,454,90,285,24,5,56,918
"85",801702,"2016-09-01",12,7.36919675755343,5,0.66,5,1,3,454,90,285,24,5,56,918
"86",801703,"2016-06-01",1,1.11086425238836,7.5,0.84,7.5,1,1,86,76,130,15,2,16,327
"87",801703,"2016-09-01",1,1.11086425238836,10,1.09,10,1,1,86,76,130,15,2,16,327
"88",801704,"2016-02-01",1,1.30633572828217,5,0.36,5,0,1,65,20,81,3,1,26,197
"89",801704,"2016-03-01",2,2.61267145656434,15,0.96,15,0,1,65,20,81,3,1,26,197
"90",801704,"2016-03-01",2,2.61267145656434,7.5,0.63,7.5,0,1,65,20,81,3,1,26,197
"91",801704,"2016-06-01",1,1.30633572828217,5,0.53,5,0,1,65,20,81,3,1,26,197
"92",801704,"2016-09-01",8,10.4506858262573,7.5,0.72,7.5,0,1,65,20,81,3,1,26,197
"93",801904,"2016-03-01",2,2.04582651391162,8.75,1.81,15,4,0,386,125,241,145,8,10,919
"94",801904,"2016-08-01",2,2.04582651391162,10,3.47,28.75,4,0,386,125,241,145,8,10,919
"95",801904,"2016-08-01",2,2.04582651391162,8.75,2.77,22.5,4,0,386,125,241,145,8,10,919
"96",801904,"2016-08-01",2,2.04582651391162,10,3.59,28.75,4,0,386,125,241,145,8,10,919
"97",802001,"2016-01-01",1,1.19445771619685,12,7.57,52,2,1,413,90,235,52,4,15,812
"98",810115,"2016-07-01",8,5.71877904067482,20,8.91,30,171,2,1,10,16,41,1,97,339
"99",810115,"2016-07-01",8,5.71877904067482,33.33,12.55,96.67,171,2,1,10,16,41,1,97,339
"100",810116,"2016-01-01",2,1.54810743865624,14,6.14,37,81,3,2,6,7,23,1,100,223
"101",810304,"2016-03-01",3,4.91803278688525,27.5,8.46,42.5,426,7,1,10,15,25,1,98,583
"102",810403,"2016-01-01",1,0.591821033319524,15,8.18,32.5,287,6,1,31,91,96,6,264,782
"103",810403,"2016-01-01",1,3.36700336700337,15,8.18,32.5,287,6,1,31,91,96,6,264,782
"104",810403,"2016-08-01",2,1.18364206663905,20,6.34,22.5,287,6,1,31,91,96,6,264,782
"105",810403,"2016-08-01",2,1.18364206663905,17.5,4.76,17.5,287,6,1,31,91,96,6,264,782
"106",810403,"2016-08-01",2,6.73400673400673,20,6.34,22.5,287,6,1,31,91,96,6,264,782
"107",810403,"2016-08-01",2,6.73400673400673,17.5,4.76,17.5,287,6,1,31,91,96,6,264,782
"108",810406,"2016-04-01",5,4.70278404815651,7.5,2.45,10,412,3,2,17,48,55,3,134,674
"109",810407,"2016-04-01",3,4.76493011435832,7.5,1.75,7.5,351,2,0,8,34,62,3,129,589
"110",810504,"2016-02-01",1,1.43575017946877,15,2.47,20,394,4,1,26,76,105,3,190,799
