date,addrcode,bin,bowl,bucket,misc_short,jar,pottedplant,tire,misc_tall,total
1/4/2016,802002,48,4,431,3,32,192,67,1,778
1/5/2016,801210,22,9,442,2,27,279,59,0,840
1/3/2016,802202,15,3,296,6,6,98,31,0,455
1/5/2016,802004,7,3,349,3,6,164,50,0,582
1/12/2016,801002,19,2,778,6,8,156,56,0,1025
1/4/2016,800305,40,2,213,2,16,134,39,0,446
1/4/2016,802001,52,2,413,4,15,235,90,1,812
1/5/2016,801212,138,7,438,7,65,214,65,3,937
1/3/2016,801105,58,6,920,9,19,264,95,0,1371
1/5/2016,800302,68,0,87,0,5,81,5,0,246
1/3/2016,801003,53,5,237,3,3,136,67,0,504
1/5/2016,801208,2,2,67,0,12,68,18,0,169
1/5/2016,801205,11,1,259,2,31,164,72,0,540
1/3/2016,801101,83,5,912,13,13,228,46,0,1300
1/4/2016,801204,3,1,31,1,10,44,19,0,109
1/4/2016,802003,102,1,195,7,32,279,91,1,708
1/5/2016,801206,1,2,31,0,6,75,32,0,147
1/4/2016,801215,4,0,47,0,19,50,17,0,137
1/4/2016,801217,6,2,78,1,34,102,22,0,245
1/5/2016,801207,2,0,49,3,21,58,17,0,150
1/5/2016,801216,15,5,292,2,32,114,26,0,486
1/3/2016,800906,40,1,116,2,4,117,17,0,297
1/4/2016,801303,85,4,146,3,30,259,63,0,590
1/3/2016,801001,119,0,149,3,8,130,48,0,457
1/5/2016,801203,0,0,32,0,13,64,17,0,126
1/5/2016,802304,16,3,241,3,42,290,123,0,718
1/5/2016,801211,2,1,30,1,18,50,16,0,118
1/12/2016,801104,15,2,560,4,11,140,25,0,757
1/12/2016,801107,26,4,664,6,19,163,21,0,903
1/3/2016,800911,105,9,746,7,11,362,152,0,1392
1/5/2016,801213,0,0,17,1,8,52,12,0,90
1/5/2016,802302,3,5,99,4,17,98,49,0,275
1/5/2016,801218,13,5,301,5,24,128,23,0,499
1/3/2016,800912,154,4,196,4,10,177,76,0,621
1/3/2016,801301,19,2,59,0,0,47,46,0,173
1/4/2016,802301,0,0,2,0,0,9,1,0,12
1/12/2016,800913,52,3,690,9,12,185,40,0,991
1/4/2016,800606,2,1,30,0,16,89,25,0,163
1/3/2016,800903,112,2,164,3,3,128,58,0,470
1/4/2016,800601,66,0,56,1,10,114,22,1,270
1/5/2016,801306,28,2,104,1,11,119,38,0,303
1/4/2016,801305,4,1,55,1,12,209,44,2,328
1/5/2016,800605,2,1,30,1,8,54,22,0,118
1/3/2016,800902,322,9,518,13,11,615,198,0,1686
1/5/2016,800610,5,0,63,2,21,93,19,0,203
1/5/2016,802303,31,3,138,1,35,135,90,2,435
1/3/2016,800901,98,3,236,5,2,216,121,0,681
1/3/2016,800904,1,0,0,0,0,0,1,0,2
1/5/2016,800604,4,0,21,1,5,39,11,0,81
1/5/2016,800607,36,1,56,0,10,53,21,0,177
1/5/2016,801608,2,0,24,1,13,49,11,0,100
1/5/2016,801611,68,6,537,7,25,262,42,0,947
1/5/2016,800603,3,1,19,1,1,33,5,0,63
1/5/2016,801304,18,2,54,0,1,24,8,0,107
1/3/2016,800905,7,1,120,5,15,209,19,2,378
1/3/2016,801904,145,4,386,8,10,241,125,0,919
1/3/2016,801701,21,1,125,3,38,188,57,0,433
1/3/2016,800909,21,1,473,4,4,145,75,0,723
1/5/2016,800611,29,2,212,4,4,49,25,0,325
1/3/2016,801903,6,0,27,0,5,72,13,0,123
1/5/2016,801607,0,1,51,1,9,67,17,0,146
1/5/2016,800612,33,3,236,5,13,118,44,0,452
1/5/2016,800613,53,0,165,0,18,136,51,1,424
1/3/2016,801906,24,2,78,2,0,60,61,0,227
1/3/2016,800706,4,1,170,2,9,122,32,0,340
1/5/2016,801606,0,3,100,0,16,96,16,1,232
1/5/2016,801601,13,1,95,2,5,41,13,0,170
1/3/2016,800907,7,0,46,1,5,159,26,0,244
1/3/2016,801902,1,0,11,0,2,25,5,0,44
1/3/2016,801702,24,1,454,5,56,285,90,3,918
1/5/2016,801603,29,3,353,6,10,110,56,1,568
1/3/2016,801703,15,1,86,2,16,130,76,1,327
1/3/2016,801905,50,4,190,4,6,161,112,0,527
1/4/2016,800910,1,4,30,4,4,60,18,1,122
1/3/2016,800908,18,6,266,1,8,160,71,1,531
1/3/2016,800701,37,5,329,7,14,200,46,1,639
1/3/2016,801901,42,2,142,3,1,100,101,0,391
1/3/2016,800709,81,6,327,5,15,201,131,0,766
1/4/2016,800704,4,4,332,3,12,166,33,1,555
1/5/2016,801604,0,0,1,0,0,2,0,0,3
1/7/2016,801605,3,0,36,4,17,95,23,0,178
1/3/2016,800703,112,7,130,7,8,130,31,1,426
1/3/2016,801704,3,0,65,1,26,81,20,1,197
1/5/2016,801602,5,0,101,0,2,54,17,0,179
1/3/2016,800710,15,2,51,0,0,45,40,0,153
1/7/2016,801610,2,2,34,2,14,41,17,0,112
1/3/2016,800705,76,6,178,9,3,146,113,0,531
1/4/2016,800702,46,5,479,3,12,159,18,2,724
1/3/2016,800708,15,2,51,0,0,45,40,0,153
1/4/2016,801609,2,2,55,0,15,130,42,0,246
1/4/2016,800711,6,4,445,3,5,142,20,0,625
1/3/2016,800707,3,5,268,4,8,105,29,1,423
1/6/2016,801502,62,3,790,4,37,292,95,1,1284
1/6/2016,801501,110,6,523,4,18,344,75,0,1080
1/6/2016,801409,129,3,170,1,15,132,28,1,479
1/4/2016,801406,18,0,19,0,0,8,3,0,48
1/6/2016,801401,175,1,161,1,15,218,42,0,613
1/6/2016,801402,9,2,78,3,13,130,76,1,312
1/5/2016,801408,2,0,37,0,3,59,25,1,127
1/5/2016,801403,25,2,79,3,10,122,38,0,279
1/5/2016,801404,152,1,148,2,15,154,59,0,531
1/6/2016,802102,0,0,34,1,15,67,17,0,134
1/5/2016,801407,28,3,64,2,6,82,23,0,208
1/5/2016,800802,53,2,304,2,10,145,50,1,567
1/5/2016,801405,165,1,105,2,12,130,40,0,455
1/5/2016,800811,17,6,408,0,18,101,24,0,574
1/5/2016,802101,77,2,115,1,4,84,31,0,314
1/5/2016,800806,18,0,66,4,4,155,56,1,304
1/5/2016,800803,16,2,66,4,3,168,41,0,300
1/5/2016,802103,56,7,89,1,4,139,32,1,329
1/3/2016,800502,26,11,238,4,10,160,32,2,483
1/3/2016,800503,27,0,293,2,6,94,31,4,457
1/6/2016,802104,112,9,189,4,5,155,42,0,516
1/5/2016,800801,202,4,401,7,13,369,118,0,1114
1/5/2016,800809,18,3,49,2,1,111,36,0,220
1/5/2016,800813,59,2,279,5,3,142,35,0,525
1/3/2016,800409,48,1,229,6,8,114,28,0,434
1/5/2016,800804,32,1,54,2,3,61,14,1,168
1/2/2016,810503,32,1,307,10,9,104,38,1,502
1/2/2016,810507,80,2,253,3,16,146,55,0,555
1/3/2016,810604,87,1,160,5,35,175,31,2,496
1/2/2016,810205,33,1,263,2,21,112,28,0,460
1/2/2016,810508,48,1,214,2,18,143,36,0,462
1/3/2016,810506,136,1,367,12,36,236,103,2,893
1/3/2016,810501,155,6,575,10,33,439,108,2,1328
1/3/2016,810509,18,2,223,1,10,85,61,0,400
1/3/2016,810202,98,2,566,8,46,303,80,0,1103
1/2/2016,810504,76,3,394,4,26,190,105,1,799
1/2/2016,810505,64,3,366,5,26,148,35,1,648
1/3/2016,810203,48,0,254,5,32,260,60,1,660
1/3/2016,810204,24,1,251,3,14,165,68,0,526
1/3/2016,810111,12,1,68,2,4,31,27,1,146
1/3/2016,810201,49,0,186,5,13,86,30,1,370
1/3/2016,810105,2,0,38,1,3,16,16,0,76
1/3/2016,810103,32,8,558,7,22,341,69,2,1039
1/3/2016,810206,28,0,78,1,20,96,25,0,248
1/3/2016,810808,40,3,269,11,12,217,80,2,634
1/3/2016,810106,21,4,153,2,19,138,58,1,396
1/3/2016,810407,34,3,351,2,8,129,62,0,589
1/3/2016,810406,48,3,412,3,17,134,55,2,674
1/3/2016,810805,16,1,640,1,3,169,56,0,886
1/3/2016,810702,16,1,51,0,8,104,21,1,202
1/3/2016,810701,91,2,329,2,15,182,55,1,677
1/3/2016,810117,13,2,114,5,17,154,33,0,338
1/3/2016,810703,68,1,268,3,12,124,46,0,522
1/3/2016,810801,134,11,825,25,31,443,130,2,1601
1/3/2016,810115,16,1,171,2,10,97,41,1,339
1/3/2016,810116,7,1,81,3,6,100,23,2,223
1/3/2016,810118,0,1,16,0,2,16,5,0,40
1/3/2016,810807,41,3,891,7,5,230,83,0,1260
1/3/2016,810804,77,8,536,6,16,223,53,0,919
1/3/2016,810704,25,9,473,7,32,342,76,2,966
1/3/2016,810803,72,4,599,8,20,179,51,1,934
1/3/2016,810402,6,0,131,3,25,112,49,1,327
1/3/2016,810806,9,1,157,4,7,72,10,0,260
1/3/2016,810401,25,7,758,9,21,259,110,0,1189
1/3/2016,810405,16,4,291,4,24,209,118,1,667
1/3/2016,810403,91,6,287,6,31,264,96,1,782
1/3/2016,810304,15,1,426,7,10,98,25,1,583
1/3/2016,810303,17,1,228,4,8,95,41,1,395
1/3/2016,810404,92,3,643,17,9,268,77,2,1111
1/4/2016,810305,15,7,251,10,7,172,31,0,493
1/2/2016,810603,10,2,347,6,12,151,50,1,579
1/3/2016,810601,102,5,605,8,44,378,73,4,1219
1/2/2016,810602,38,2,270,1,35,139,24,0,509
