,addrcode,Week,Year,DF_1,DF_0,DF_wm1,DF_wm2,DF_wm3,DF_wm4,DF_wm5,DF_wm6,DFma_1,DFma_0,DFma_wm1,DFma_wm2,DFma_wm3,DFma_wm4,DFma_wm5,DFma_wm6,RF_wm6,LST_wm4,bin_pop9s,bowl_pop9s,bucket_pop9s,misc_short_pop9s,jar_pop9s,pottedplant_pop9s,tire_pop9s,misc_tall_pop9s,total_pop9s,bin,bowl,bucket,misc_short,jar,pottedplant,tire,misc_tall,total
1435,1012,30,2014,0.389428319,0.649047199,0.12980944,0.12980944,0.259618879,0,0.12980944,0.12980944,0.486785399,0.454333039,0.324523599,0.292071239,0.12980944,0.12980944,0.12980944,0.12980944,0.597060563,4.393413069,0.035588206,0.006563399,0.105451938,0.004083892,0.004959012,0.205215597,0.031066754,0.00087512,0.393803918,21.015,3.876,62.269,2.412,2.928,121.178,18.345,0.517,232.538
1436,1012,31,2014,0.649047199,0.389428319,0.649047199,0.12980944,0.12980944,0.259618879,0,0.12980944,0.454333039,0.486785399,0.454333039,0.324523599,0.292071239,0.12980944,0.12980944,0.12980944,0.400463172,4.243451123,0.035588206,0.006563399,0.105451938,0.004083892,0.004959012,0.205215597,0.031066754,0.00087512,0.393803918,21.015,3.876,62.269,2.412,2.928,121.178,18.345,0.517,232.538
1437,1012,32,2014,0.259618879,0.649047199,0.389428319,0.649047199,0.12980944,0.12980944,0.259618879,0,0.421880679,0.454333039,0.486785399,0.454333039,0.324523599,0.292071239,0.12980944,0.12980944,0.062508146,4.121933901,0.035588206,0.006563399,0.105451938,0.004083892,0.004959012,0.205215597,0.031066754,0.00087512,0.393803918,21.015,3.876,62.269,2.412,2.928,121.178,18.345,0.517,232.538
1438,1012,33,2014,0.519237759,0.259618879,0.649047199,0.389428319,0.649047199,0.12980944,0.12980944,0.259618879,0.324523599,0.421880679,0.454333039,0.486785399,0.454333039,0.324523599,0.292071239,0.12980944,0.002305834,4.089407423,0.035588206,0.006563399,0.105451938,0.004083892,0.004959012,0.205215597,0.031066754,0.00087512,0.393803918,21.015,3.876,62.269,2.412,2.928,121.178,18.345,0.517,232.538
1439,1012,34,2014,0.259618879,0.519237759,0.259618879,0.649047199,0.389428319,0.649047199,0.12980944,0.12980944,0.454333039,0.324523599,0.421880679,0.454333039,0.486785399,0.454333039,0.324523599,0.292071239,0.052081767,4.089407423,0.035588206,0.006563399,0.105451938,0.004083892,0.004959012,0.205215597,0.031066754,0.00087512,0.393803918,21.015,3.876,62.269,2.412,2.928,121.178,18.345,0.517,232.538
1440,1012,35,2014,0.259618879,0.259618879,0.519237759,0.259618879,0.649047199,0.389428319,0.649047199,0.12980944,0.389428319,0.454333039,0.324523599,0.421880679,0.454333039,0.486785399,0.454333039,0.324523599,0.159603798,4.089407423,0.035588206,0.006563399,0.105451938,0.004083892,0.004959012,0.205215597,0.031066754,0.00087512,0.393803918,21.015,3.876,62.269,2.412,2.928,121.178,18.345,0.517,232.538
1441,1012,36,2014,0.778856638,0.259618879,0.259618879,0.519237759,0.259618879,0.649047199,0.389428319,0.649047199,0.421880679,0.389428319,0.454333039,0.324523599,0.421880679,0.454333039,0.486785399,0.454333039,0.044913631,4.089407423,0.035588206,0.006563399,0.105451938,0.004083892,0.004959012,0.205215597,0.031066754,0.00087512,0.393803918,21.015,3.876,62.269,2.412,2.928,121.178,18.345,0.517,232.538
1442,1012,37,2014,0.259618879,0.778856638,0.259618879,0.259618879,0.519237759,0.259618879,0.649047199,0.389428319,0.421880679,0.421880679,0.389428319,0.454333039,0.324523599,0.421880679,0.454333039,0.486785399,0.476254925,4.089407423,0.035588206,0.006563399,0.105451938,0.004083892,0.004959012,0.205215597,0.031066754,0.00087512,0.393803918,21.015,3.876,62.269,2.412,2.928,121.178,18.345,0.517,232.538
1443,1012,38,2014,0.389428319,0.259618879,0.778856638,0.259618879,0.259618879,0.519237759,0.259618879,0.649047199,0.259618879,0.421880679,0.421880679,0.389428319,0.454333039,0.324523599,0.421880679,0.454333039,0.01293272,4.098974034,0.035588206,0.006563399,0.105451938,0.004083892,0.004959012,0.205215597,0.031066754,0.00087512,0.393803918,21.015,3.876,62.269,2.412,2.928,121.178,18.345,0.517,232.538
1444,1012,39,2014,0.259618879,0.389428319,0.259618879,0.778856638,0.259618879,0.259618879,0.519237759,0.259618879,0.324523599,0.259618879,0.421880679,0.421880679,0.389428319,0.454333039,0.324523599,0.421880679,0.195594855,4.162751442,0.035588206,0.006563399,0.105451938,0.004083892,0.004959012,0.205215597,0.031066754,0.00087512,0.393803918,21.015,3.876,62.269,2.412,2.928,121.178,18.345,0.517,232.538
