"","TAM_NAME","Year","Week","Humidity","Rainfall","Temperature","Wind_Speed"
"104","ทอนหงส์","2017",1,95.3333333333333,32.0166666666667,25,17.6666666666667
"105","ปากพูน","2017",1,95.3333333333333,32.0166666666667,25,17.6666666666667
"106","ดอนตะโก","2017",1,95.3333333333333,32.0166666666667,25,17.6666666666667
"107","อินคีรี","2017",1,95.3333333333333,32.0166666666667,25,17.6666666666667
"108","บ้านเกาะ","2017",1,95.3333333333333,32.0166666666667,25,17.6666666666667
"109","พรหมโลก","2017",1,95.3333333333333,32.0166666666667,25,17.6666666666667
"110","นาเรียง","2017",1,95.3333333333333,32.0166666666667,25,17.6666666666667
"111","ท่าซัก","2017",1,95.3333333333333,32.0166666666667,25,17.6666666666667
"112","ท่างิ้ว","2017",1,95.3333333333333,32.0166666666667,25,17.6666666666667
"113","นาทราย","2017",1,95.3333333333333,32.0166666666667,25,17.6666666666667
"114","นาเคียน","2017",1,95.3333333333333,32.0166666666667,25,17.6666666666667
"115","กำโลน","2017",1,95.3333333333333,32.0166666666667,25,17.6666666666667
"116","โพธิ์เสด็จ","2017",1,95.3333333333333,32.0166666666667,25,17.6666666666667
"117","กำแพงเซา","2017",1,95.3333333333333,32.0166666666667,25,17.6666666666667
"118","ท่าดี","2017",1,95.3333333333333,32.0166666666667,25,17.6666666666667
"119","เขาแก้ว","2017",1,95.3333333333333,32.0166666666667,25,17.6666666666667
"120","ลานสกา","2017",1,95.3333333333333,32.0166666666667,25,17.6666666666667
"121","ท้องเนียน","2018",1,90.5,4.2,25.9333333333333,12.8333333333333
"122","ควนทอง","2018",1,90.5,4.2,25.9333333333333,12.8333333333333
"123","ขนอม","2018",1,90.5,4.2,25.9333333333333,12.8333333333333
"124","สิชล","2018",1,90.5,4.2,25.9333333333333,12.8333333333333
"125","สี่ขีด","2018",1,90.5,4.2,25.9333333333333,12.8333333333333
"126","ทุ่งปรัง","2018",1,90.5,4.2,25.9333333333333,12.8333333333333
"127","เขาน้อย","2018",1,90.5,4.2,25.9333333333333,12.8333333333333
"128","ฉลอง","2018",1,90.5,4.2,25.9333333333333,12.8333333333333
"129","เสาเภา","2018",1,90.5,4.2,25.9333333333333,12.8333333333333
"130","เทพราช","2018",1,90.5,4.2,25.9333333333333,12.8333333333333
"131","เปลี่ยน","2018",1,90.5,4.2,25.9333333333333,12.8333333333333
"132","กราย","2018",1,90.5,4.2,25.9333333333333,12.8333333333333
"133","ตลิ่งชัน","2018",1,90.5,4.2,25.9333333333333,12.8333333333333
"134","สระแก้ว","2018",1,90.5,4.2,25.9333333333333,12.8333333333333
"135","นบพิตำ","2018",1,90.5,4.2,25.9333333333333,12.8333333333333
"136","ท่าขึ้น","2018",1,90.5,4.2,25.9333333333333,12.8333333333333
"137","นาเหรง","2018",1,90.5,4.2,25.9333333333333,12.8333333333333
"138","กะหรอ","2018",1,90.5,4.2,25.9333333333333,12.8333333333333
"139","ไทยบุรี","2018",1,90.5,4.2,25.9333333333333,12.8333333333333
"140","ท่าศาลา","2018",1,90.5,4.2,25.9333333333333,12.8333333333333
"141","หัวตะพาน","2018",1,90.5,4.2,25.9333333333333,12.8333333333333
"142","โพธิ์ทอง","2018",1,90.5,4.2,25.9333333333333,12.8333333333333
"143","โมคลาน","2018",1,90.5,4.2,25.9333333333333,12.8333333333333
"144","ทอนหงส์","2018",1,90.5,4.2,25.9333333333333,12.8333333333333
"145","ปากพูน","2018",1,90.5,4.2,25.9333333333333,12.8333333333333
"146","ดอนตะโก","2018",1,90.5,4.2,25.9333333333333,12.8333333333333
"147","อินคีรี","2018",1,90.5,4.2,25.9333333333333,12.8333333333333
"148","บ้านเกาะ","2018",1,90.5,4.2,25.9333333333333,12.8333333333333
"149","พรหมโลก","2018",1,90.5,4.2,25.9333333333333,12.8333333333333
"150","นาเรียง","2018",1,90.5,4.2,25.9333333333333,12.8333333333333
"151","ท่าซัก","2018",1,90.5,4.2,25.9333333333333,12.8333333333333
"152","ท่างิ้ว","2018",1,90.5,4.2,25.9333333333333,12.8333333333333
"153","นาทราย","2018",1,90.5,4.2,25.9333333333333,12.8333333333333
"154","นาเคียน","2018",1,90.5,4.2,25.9333333333333,12.8333333333333
"155","กำโลน","2018",1,90.5,4.2,25.9333333333333,12.8333333333333
"156","โพธิ์เสด็จ","2018",1,90.5,4.2,25.9333333333333,12.8333333333333
"157","กำแพงเซา","2018",1,90.5,4.2,25.9333333333333,12.8333333333333
"158","ท่าดี","2018",1,90.5,4.2,25.9333333333333,12.8333333333333
"159","เขาแก้ว","2018",1,90.5,4.2,25.9333333333333,12.8333333333333
"160","ลานสกา","2018",1,90.5,4.2,25.9333333333333,12.8333333333333
"161","ท้องเนียน","2015",40,83.5714285714286,0.342857142857143,27.6428571428571,12.1428571428571
"162","ควนทอง","2015",40,83.5714285714286,0.342857142857143,27.6428571428571,12.1428571428571
"163","ขนอม","2015",40,83.5714285714286,0.342857142857143,27.6428571428571,12.1428571428571
"164","สิชล","2015",40,83.5714285714286,0.342857142857143,27.6428571428571,12.1428571428571
"165","สี่ขีด","2015",40,83.5714285714286,0.342857142857143,27.6428571428571,12.1428571428571
"166","ทุ่งปรัง","2015",40,83.5714285714286,0.342857142857143,27.6428571428571,12.1428571428571
"167","เขาน้อย","2015",40,83.5714285714286,0.342857142857143,27.6428571428571,12.1428571428571
"168","ฉลอง","2015",40,83.5714285714286,0.342857142857143,27.6428571428571,12.1428571428571
"169","เสาเภา","2015",40,83.5714285714286,0.342857142857143,27.6428571428571,12.1428571428571
"170","เทพราช","2015",40,83.5714285714286,0.342857142857143,27.6428571428571,12.1428571428571
"171","เปลี่ยน","2015",40,83.5714285714286,0.342857142857143,27.6428571428571,12.1428571428571
"172","กราย","2015",40,83.5714285714286,0.342857142857143,27.6428571428571,12.1428571428571
"173","ตลิ่งชัน","2015",40,83.5714285714286,0.342857142857143,27.6428571428571,12.1428571428571
"174","สระแก้ว","2015",40,83.5714285714286,0.342857142857143,27.6428571428571,12.1428571428571
"175","นบพิตำ","2015",40,83.5714285714286,0.342857142857143,27.6428571428571,12.1428571428571
"176","ท่าขึ้น","2015",40,83.5714285714286,0.342857142857143,27.6428571428571,12.1428571428571
"177","นาเหรง","2015",40,83.5714285714286,0.342857142857143,27.6428571428571,12.1428571428571
"178","กะหรอ","2015",40,83.5714285714286,0.342857142857143,27.6428571428571,12.1428571428571
"179","ไทยบุรี","2015",40,83.5714285714286,0.342857142857143,27.6428571428571,12.1428571428571
"180","ท่าศาลา","2015",40,83.5714285714286,0.342857142857143,27.6428571428571,12.1428571428571
"181","หัวตะพาน","2015",40,83.5714285714286,0.342857142857143,27.6428571428571,12.1428571428571
"182","โพธิ์ทอง","2015",40,83.5714285714286,0.342857142857143,27.6428571428571,12.1428571428571
"183","โมคลาน","2015",40,83.5714285714286,0.342857142857143,27.6428571428571,12.1428571428571
"184","ทอนหงส์","2015",40,83.5714285714286,0.342857142857143,27.6428571428571,12.1428571428571
"185","ปากพูน","2015",40,83.5714285714286,0.342857142857143,27.6428571428571,12.1428571428571
"186","ดอนตะโก","2015",40,83.5714285714286,0.342857142857143,27.6428571428571,12.1428571428571
"187","อินคีรี","2015",40,83.5714285714286,0.342857142857143,27.6428571428571,12.1428571428571
"188","บ้านเกาะ","2015",40,83.5714285714286,0.342857142857143,27.6428571428571,12.1428571428571
"189","พรหมโลก","2015",40,83.5714285714286,0.342857142857143,27.6428571428571,12.1428571428571
