"","Station_Code","Date","Location","Province","Humidity","Rainfall","Temperature","Wind_Speed","Year"
"78",552201,"10/8/2017","นครศรีธรรมราช","นครศรีธรรมราช",82,0,28.3,NA,"2017"
"79",552201,"10/9/2015","นครศรีธรรมราช","นครศรีธรรมราช",84,0,26.9,13,"2015"
"80",552201,"10/9/2016","นครศรีธรรมราช","นครศรีธรรมราช",86,15,27.1,14,"2016"
"81",552201,"10/9/2017","นครศรีธรรมราช","นครศรีธรรมราช",85,2.4,27.2,NA,"2017"
"82",552201,"11/1/2015","นครศรีธรรมราช","นครศรีธรรมราช",84,5.8,26.4,16,"2015"
"83",552201,"11/1/2016","นครศรีธรรมราช","นครศรีธรรมราช",85,0,26.6,14,"2016"
"84",552201,"11/1/2017","นครศรีธรรมราช","นครศรีธรรมราช",91,0.5,25.8,10,"2017"
"85",552201,"11/1/2018","นครศรีธรรมราช","นครศรีธรรมราช",94,28.2,24.5,13,"2018"
"86",552201,"11/10/2015","นครศรีธรรมราช","นครศรีธรรมราช",89,38,26.4,15,"2015"
"87",552201,"11/10/2016","นครศรีธรรมราช","นครศรีธรรมราช",81,0,28.6,12,"2016"
"88",552201,"11/10/2017","นครศรีธรรมราช","นครศรีธรรมราช",85,0,27.9,NA,"2017"
"89",552201,"11/11/2015","นครศรีธรรมราช","นครศรีธรรมราช",95,18.4,25.3,7,"2015"
"90",552201,"11/11/2016","นครศรีธรรมราช","นครศรีธรรมราช",90,0,26.9,0,"2016"
"91",552201,"11/11/2017","นครศรีธรรมราช","นครศรีธรรมราช",90,24,26.1,NA,"2017"
"92",552201,"11/12/2015","นครศรีธรรมราช","นครศรีธรรมราช",86,9,27.7,12,"2015"
"93",552201,"11/12/2016","นครศรีธรรมราช","นครศรีธรรมราช",90,0,26.3,12,"2016"
"94",552201,"11/12/2017","นครศรีธรรมราช","นครศรีธรรมราช",82,0,26.7,NA,"2017"
"95",552201,"11/2/2015","นครศรีธรรมราช","นครศรีธรรมราช",78,0,25.6,14,"2015"
"96",552201,"11/2/2016","นครศรีธรรมราช","นครศรีธรรมราช",84,0,26.8,15,"2016"
"97",552201,"11/2/2017","นครศรีธรรมราช","นครศรีธรรมราช",89,5,25.8,22,"2017"
"98",552201,"11/2/2018","นครศรีธรรมราช","นครศรีธรรมราช",80,0,25.9,10,"2018"
"99",552201,"11/3/2015","นครศรีธรรมราช","นครศรีธรรมราช",78,0,27.5,14,"2015"
"100",552201,"11/3/2016","นครศรีธรรมราช","นครศรีธรรมราช",80,0,27.7,12,"2016"
"101",552201,"11/3/2017","นครศรีธรรมราช","นครศรีธรรมราช",81,0,26.4,15,"2017"
"102",552201,"11/3/2018","นครศรีธรรมราช","นครศรีธรรมราช",83,0,27.3,18,"2018"
"103",552201,"11/4/2015","นครศรีธรรมราช","นครศรีธรรมราช",76,0,28.8,15,"2015"
"104",552201,"11/4/2016","นครศรีธรรมราช","นครศรีธรรมราช",75,0,31,14,"2016"
"105",552201,"11/4/2017","นครศรีธรรมราช","นครศรีธรรมราช",84,0,28.9,12,"2017"
"106",552201,"11/4/2018","นครศรีธรรมราช","นครศรีธรรมราช",83,0,28.3,13,"2018"
"107",552201,"11/5/2015","นครศรีธรรมราช","นครศรีธรรมราช",78,0.6,28.9,13,"2015"
"108",552201,"11/5/2016","นครศรีธรรมราช","นครศรีธรรมราช",73,0,31.1,15,"2016"
"109",552201,"11/5/2017","นครศรีธรรมราช","นครศรีธรรมราช",91,18.4,26.7,0,"2017"
"110",552201,"11/6/2015","นครศรีธรรมราช","นครศรีธรรมราช",81,0,29,11,"2015"
"111",552201,"11/6/2016","นครศรีธรรมราช","นครศรีธรรมราช",79,0,30,20,"2016"
"112",552201,"11/6/2017","นครศรีธรรมราช","นครศรีธรรมราช",78,0,29.2,NA,"2017"
"113",552201,"11/7/2015","นครศรีธรรมราช","นครศรีธรรมราช",75,0,28.7,17,"2015"
"114",552201,"11/7/2016","นครศรีธรรมราช","นครศรีธรรมราช",88,19,27.2,13,"2016"
"115",552201,"11/7/2017","นครศรีธรรมราช","นครศรีธรรมราช",84,12,27.7,NA,"2017"
"116",552201,"11/8/2015","นครศรีธรรมราช","นครศรีธรรมราช",81,0,28.2,10,"2015"
"117",552201,"11/8/2016","นครศรีธรรมราช","นครศรีธรรมราช",80,0,27.9,13,"2016"
"118",552201,"11/8/2017","นครศรีธรรมราช","นครศรีธรรมราช",81,0.2,28.1,NA,"2017"
"119",552201,"11/9/2015","นครศรีธรรมราช","นครศรีธรรมราช",81,2.9,27.8,15,"2015"
"120",552201,"11/9/2016","นครศรีธรรมราช","นครศรีธรรมราช",85,1.4,26.9,20,"2016"
"121",552201,"11/9/2017","นครศรีธรรมราช","นครศรีธรรมราช",87,0.9,27.3,NA,"2017"
"122",552201,"12/1/2015","นครศรีธรรมราช","นครศรีธรรมราช",83,8.1,26.9,16,"2015"
"123",552201,"12/1/2016","นครศรีธรรมราช","นครศรีธรรมราช",80,0,27,14,"2016"
