,addrcode,Week,Year,DF_6,DF_5,DF_4,DF_3,DF_2,DF_1,DF_0,DF_wm1,DF_wm2,DF_wm3,DFma_6,DFma_5,DFma_4,DFma_3,DFma_2,DFma_1,DFma_0,DFma_wm1,DFma_wm2,DFma_wm3,RF_wm6,LST_wm4,bin_pop9s,bowl_pop9s,bucket_pop9s,misc_short_pop9s,jar_pop9s,pottedplant_pop9s,tire_pop9s,misc_tall_pop9s,total_pop9s
215,8102,41,2015,0.0,0.36621317299999995,0.0,0.18310658600000002,0.18310658600000002,0.9155329320000001,1.281746104,0.36621317299999995,1.098639518,0.549319759,0.18310658600000002,0.12207105800000001,0.18310658600000002,0.12207105800000001,0.427248701,0.793461874,0.854497403,0.9155329320000001,0.671390817,0.9155329320000001,0.6817701709999999,4.418781362,1.0253968835259004,0.014648526907512862,5.852086499551389,0.08789116144507718,0.5346712321242195,3.7426986248695364,1.0656803325215607,0.007324263453756431,12.330397524398952
216,8102,42,2015,0.18310658600000002,0.0,0.36621317299999995,0.0,0.18310658600000002,0.18310658600000002,0.9155329320000001,1.281746104,0.36621317299999995,1.098639518,0.06103552900000001,0.18310658600000002,0.12207105800000001,0.18310658600000002,0.12207105800000001,0.427248701,0.793461874,0.854497403,0.9155329320000001,0.671390817,1.268191228,4.363615591,1.0253968835259004,0.014648526907512862,5.852086499551389,0.08789116144507718,0.5346712321242195,3.7426986248695364,1.0656803325215607,0.007324263453756431,12.330397524398952
217,8102,43,2015,0.0,0.18310658600000002,0.0,0.36621317299999995,0.0,0.18310658600000002,0.18310658600000002,0.9155329320000001,1.281746104,0.36621317299999995,0.12207105800000001,0.06103552900000001,0.18310658600000002,0.12207105800000001,0.18310658600000002,0.12207105800000001,0.427248701,0.793461874,0.854497403,0.9155329320000001,0.301065068,4.3340546589999995,1.0253968835259004,0.014648526907512862,5.852086499551389,0.08789116144507718,0.5346712321242195,3.7426986248695364,1.0656803325215607,0.007324263453756431,12.330397524398952
218,8102,44,2015,0.18310658600000002,0.0,0.18310658600000002,0.0,0.36621317299999995,0.0,0.18310658600000002,0.18310658600000002,0.9155329320000001,1.281746104,0.12207105800000001,0.12207105800000001,0.06103552900000001,0.18310658600000002,0.12207105800000001,0.18310658600000002,0.12207105800000001,0.427248701,0.793461874,0.854497403,1.066162491,4.391102151,1.0253968835259004,0.014648526907512862,5.852086499551389,0.08789116144507718,0.5346712321242195,3.7426986248695364,1.0656803325215607,0.007324263453756431,12.330397524398952
219,8102,45,2015,0.18310658600000002,0.18310658600000002,0.0,0.18310658600000002,0.0,0.36621317299999995,0.0,0.18310658600000002,0.18310658600000002,0.9155329320000001,0.12207105800000001,0.12207105800000001,0.12207105800000001,0.06103552900000001,0.18310658600000002,0.12207105800000001,0.18310658600000002,0.12207105800000001,0.427248701,0.793461874,0.8810334959999999,4.30438172,1.0253968835259004,0.014648526907512862,5.852086499551389,0.08789116144507718,0.5346712321242195,3.7426986248695364,1.0656803325215607,0.007324263453756431,12.330397524398952
220,8102,46,2015,0.0,0.18310658600000002,0.18310658600000002,0.0,0.18310658600000002,0.0,0.36621317299999995,0.0,0.18310658600000002,0.18310658600000002,0.06103552900000001,0.12207105800000001,0.12207105800000001,0.12207105800000001,0.06103552900000001,0.18310658600000002,0.12207105800000001,0.18310658600000002,0.12207105800000001,0.427248701,0.8373630259999999,4.20015681,1.0253968835259004,0.014648526907512862,5.852086499551389,0.08789116144507718,0.5346712321242195,3.7426986248695364,1.0656803325215607,0.007324263453756431,12.330397524398952
221,8102,47,2015,0.0,0.0,0.18310658600000002,0.18310658600000002,0.0,0.18310658600000002,0.0,0.36621317299999995,0.0,0.18310658600000002,0.12207105800000001,0.06103552900000001,0.12207105800000001,0.12207105800000001,0.12207105800000001,0.06103552900000001,0.18310658600000002,0.12207105800000001,0.18310658600000002,0.12207105800000001,0.505436724,4.264784946,1.0253968835259004,0.014648526907512862,5.852086499551389,0.08789116144507718,0.5346712321242195,3.7426986248695364,1.0656803325215607,0.007324263453756431,12.330397524398952
222,8102,48,2015,0.36621317299999995,0.0,0.0,0.18310658600000002,0.18310658600000002,0.0,0.18310658600000002,0.0,0.36621317299999995,0.0,0.18310658600000002,0.12207105800000001,0.06103552900000001,0.12207105800000001,0.12207105800000001,0.12207105800000001,0.06103552900000001,0.18310658600000002,0.12207105800000001,0.18310658600000002,1.057635803,4.282513441,1.0253968835259004,0.014648526907512862,5.852086499551389,0.08789116144507718,0.5346712321242195,3.7426986248695364,1.0656803325215607,0.007324263453756431,12.330397524398952
223,8102,49,2015,0.18310658600000002,0.36621317299999995,0.0,0.0,0.18310658600000002,0.18310658600000002,0.0,0.18310658600000002,0.0,0.36621317299999995,0.18310658600000002,0.18310658600000002,0.12207105800000001,0.06103552900000001,0.12207105800000001,0.12207105800000001,0.12207105800000001,0.06103552900000001,0.18310658600000002,0.12207105800000001,0.8775575259999999,4.236129032,1.0253968835259004,0.014648526907512862,5.852086499551389,0.08789116144507718,0.5346712321242195,3.7426986248695364,1.0656803325215607,0.007324263453756431,12.330397524398952
224,8102,50,2015,0.0,0.18310658600000002,0.36621317299999995,0.0,0.0,0.18310658600000002,0.18310658600000002,0.0,0.18310658600000002,0.0,0.244142115,0.18310658600000002,0.18310658600000002,0.12207105800000001,0.06103552900000001,0.12207105800000001,0.12207105800000001,0.12207105800000001,0.06103552900000001,0.18310658600000002,1.2924846079999999,4.181653226,1.0253968835259004,0.014648526907512862,5.852086499551389,0.08789116144507718,0.5346712321242195,3.7426986248695364,1.0656803325215607,0.007324263453756431,12.330397524398952
225,8102,51,2015,0.549319759,0.0,0.18310658600000002,0.36621317299999995,0.0,0.0,0.18310658600000002,0.18310658600000002,0.0,0.18310658600000002,0.244142115,0.244142115,0.18310658600000002,0.18310658600000002,0.12207105800000001,0.06103552900000001,0.12207105800000001,0.12207105800000001,0.12207105800000001,0.06103552900000001,0.37377236799999997,4.128418459,1.0253968835259004,0.014648526907512862,5.852086499551389,0.08789116144507718,0.5346712321242195,3.7426986248695364,1.0656803325215607,0.007324263453756431,12.330397524398952
226,8102,52,2015,0.18310658600000002,0.549319759,0.0,0.18310658600000002,0.36621317299999995,0.0,0.0,0.18310658600000002,0.18310658600000002,0.0,0.549319759,0.244142115,0.244142115,0.18310658600000002,0.18310658600000002,0.12207105800000001,0.06103552900000001,0.12207105800000001,0.12207105800000001,0.12207105800000001,0.42750586700000004,4.053333333,1.0253968835259004,0.014648526907512862,5.852086499551389,0.08789116144507718,0.5346712321242195,3.7426986248695364,1.0656803325215607,0.007324263453756431,12.330397524398952
227,8102,53,2015,0.9155329320000001,0.18310658600000002,0.549319759,0.0,0.18310658600000002,0.36621317299999995,0.0,0.0,0.18310658600000002,0.18310658600000002,0.36621317299999995,0.549319759,0.244142115,0.244142115,0.18310658600000002,0.18310658600000002,0.12207105800000001,0.06103552900000001,0.12207105800000001,0.12207105800000001,0.767805223,3.975439068,1.0253968835259004,0.014648526907512862,5.852086499551389,0.08789116144507718,0.5346712321242195,3.7426986248695364,1.0656803325215607,0.007324263453756431,12.330397524398952
228,8102,1,2016,0.0,0.9155329320000001,0.18310658600000002,0.549319759,0.0,0.18310658600000002,0.36621317299999995,0.0,0.0,0.18310658600000002,0.427248701,0.36621317299999995,0.549319759,0.244142115,0.244142115,0.18310658600000002,0.18310658600000002,0.12207105800000001,0.06103552900000001,0.12207105800000001,2.4289538680000002,3.9566621860000004,1.0253968835259004,0.014648526907512862,5.852086499551389,0.08789116144507718,0.5346712321242195,3.7426986248695364,1.0656803325215607,0.007324263453756431,12.330397524398952
229,8102,2,2016,0.36621317299999995,0.0,0.9155329320000001,0.18310658600000002,0.549319759,0.0,0.18310658600000002,0.36621317299999995,0.0,0.0,0.427248701,0.427248701,0.36621317299999995,0.549319759,0.244142115,0.244142115,0.18310658600000002,0.18310658600000002,0.12207105800000001,0.06103552900000001,0.29791557,4.0889605730000005,1.0253968835259004,0.014648526907512862,5.852086499551389,0.08789116144507718,0.5346712321242195,3.7426986248695364,1.0656803325215607,0.007324263453756431,12.330397524398952
230,8102,3,2016,0.9155329320000001,0.36621317299999995,0.0,0.9155329320000001,0.18310658600000002,0.549319759,0.0,0.18310658600000002,0.36621317299999995,0.0,0.6103552879999999,0.427248701,0.427248701,0.36621317299999995,0.549319759,0.244142115,0.244142115,0.18310658600000002,0.18310658600000002,0.12207105800000001,0.235655384,4.20280914,1.0253968835259004,0.014648526907512862,5.852086499551389,0.08789116144507718,0.5346712321242195,3.7426986248695364,1.0656803325215607,0.007324263453756431,12.330397524398952
231,8102,4,2016,0.549319759,0.9155329320000001,0.36621317299999995,0.0,0.9155329320000001,0.18310658600000002,0.549319759,0.0,0.18310658600000002,0.36621317299999995,0.48828423,0.6103552879999999,0.427248701,0.427248701,0.36621317299999995,0.549319759,0.244142115,0.244142115,0.18310658600000002,0.18310658600000002,0.599134272,4.221482975,1.0253968835259004,0.014648526907512862,5.852086499551389,0.08789116144507718,0.5346712321242195,3.7426986248695364,1.0656803325215607,0.007324263453756431,12.330397524398952
232,8102,5,2016,0.0,0.549319759,0.9155329320000001,0.36621317299999995,0.0,0.9155329320000001,0.18310658600000002,0.549319759,0.0,0.18310658600000002,0.244142115,0.48828423,0.6103552879999999,0.427248701,0.427248701,0.36621317299999995,0.549319759,0.244142115,0.244142115,0.18310658600000002,0.333865931,4.32218638,1.0253968835259004,0.014648526907512862,5.852086499551389,0.08789116144507718,0.5346712321242195,3.7426986248695364,1.0656803325215607,0.007324263453756431,12.330397524398952
233,8102,6,2016,0.18310658600000002,0.0,0.549319759,0.9155329320000001,0.36621317299999995,0.0,0.9155329320000001,0.18310658600000002,0.549319759,0.0,0.06103552900000001,0.244142115,0.48828423,0.6103552879999999,0.427248701,0.427248701,0.36621317299999995,0.549319759,0.244142115,0.244142115,0.0,4.243781362,1.0253968835259004,0.014648526907512862,5.852086499551389,0.08789116144507718,0.5346712321242195,3.7426986248695364,1.0656803325215607,0.007324263453756431,12.330397524398952
234,8102,7,2016,0.0,0.18310658600000002,0.0,0.549319759,0.9155329320000001,0.36621317299999995,0.0,0.9155329320000001,0.18310658600000002,0.549319759,0.06103552900000001,0.06103552900000001,0.244142115,0.48828423,0.6103552879999999,0.427248701,0.427248701,0.36621317299999995,0.549319759,0.244142115,3.07266121,4.278561828,1.0253968835259004,0.014648526907512862,5.852086499551389,0.08789116144507718,0.5346712321242195,3.7426986248695364,1.0656803325215607,0.007324263453756431,12.330397524398952
235,8102,8,2016,0.0,0.0,0.18310658600000002,0.0,0.549319759,0.9155329320000001,0.36621317299999995,0.0,0.9155329320000001,0.18310658600000002,0.0,0.06103552900000001,0.06103552900000001,0.244142115,0.48828423,0.6103552879999999,0.427248701,0.427248701,0.36621317299999995,0.549319759,0.58801501,4.4659005380000005,1.0253968835259004,0.014648526907512862,5.852086499551389,0.08789116144507718,0.5346712321242195,3.7426986248695364,1.0656803325215607,0.007324263453756431,12.330397524398952
