,addrcode,Week,Year,DF_6,DF_5,DF_4,DF_3,DF_2,DF_1,DF_0,DF_wm1,DF_wm2,DF_wm3,DFma_6,DFma_5,DFma_4,DFma_3,DFma_2,DFma_1,DFma_0,DFma_wm1,DFma_wm2,DFma_wm3,RF_wm6,LST_wm4,bin,bowl,bucket,misc_short,jar,pottedplant,tire,misc_tall,total
606,8105,21,2015,1.831091941,1.220727961,0.8138186409999999,1.220727961,0.40690932,0.8138186409999999,0.20345466,0.61036398,0.8138186409999999,0.40690932,1.220727961,1.322455291,1.271591626,0.915545971,0.8138186409999999,0.661227645,0.50863665,0.61036398,0.50863665,0.50863665,0.0,4.405080645,0.845,0.026000000000000002,3.7439999999999998,0.065,0.24100000000000002,2.068,0.75,0.01,7.749
607,8105,22,2015,1.424182621,1.831091941,1.220727961,0.8138186409999999,1.220727961,0.40690932,0.8138186409999999,0.20345466,0.61036398,0.8138186409999999,1.627637281,1.220727961,1.322455291,1.271591626,0.915545971,0.8138186409999999,0.661227645,0.50863665,0.61036398,0.50863665,1.039891073,4.247530242,0.845,0.026000000000000002,3.7439999999999998,0.065,0.24100000000000002,2.068,0.75,0.01,7.749
608,8105,23,2015,0.40690932,1.424182621,1.831091941,1.220727961,0.8138186409999999,1.220727961,0.40690932,0.8138186409999999,0.20345466,0.61036398,1.373318956,1.627637281,1.220727961,1.322455291,1.271591626,0.915545971,0.8138186409999999,0.661227645,0.50863665,0.61036398,0.0438049,4.255248656,0.845,0.026000000000000002,3.7439999999999998,0.065,0.24100000000000002,2.068,0.75,0.01,7.749
609,8105,24,2015,2.848365242,0.40690932,1.424182621,1.831091941,1.220727961,0.8138186409999999,1.220727961,0.40690932,0.8138186409999999,0.20345466,1.475046286,1.373318956,1.627637281,1.220727961,1.322455291,1.271591626,0.915545971,0.8138186409999999,0.661227645,0.50863665,0.475766154,4.441118952,0.845,0.026000000000000002,3.7439999999999998,0.065,0.24100000000000002,2.068,0.75,0.01,7.749
610,8105,25,2015,0.8138186409999999,2.848365242,0.40690932,1.424182621,1.831091941,1.220727961,0.8138186409999999,1.220727961,0.40690932,0.8138186409999999,1.7293646109999998,1.475046286,1.373318956,1.627637281,1.220727961,1.322455291,1.271591626,0.915545971,0.8138186409999999,0.661227645,0.35276291600000004,4.487526882,0.845,0.026000000000000002,3.7439999999999998,0.065,0.24100000000000002,2.068,0.75,0.01,7.749
611,8105,26,2015,1.831091941,0.8138186409999999,2.848365242,0.40690932,1.424182621,1.831091941,1.220727961,0.8138186409999999,1.220727961,0.40690932,1.271591626,1.7293646109999998,1.475046286,1.373318956,1.627637281,1.220727961,1.322455291,1.271591626,0.915545971,0.8138186409999999,1.048340945,4.417715053999999,0.845,0.026000000000000002,3.7439999999999998,0.065,0.24100000000000002,2.068,0.75,0.01,7.749
612,8105,27,2015,1.424182621,1.831091941,0.8138186409999999,2.848365242,0.40690932,1.424182621,1.831091941,1.220727961,0.8138186409999999,1.220727961,1.271591626,1.271591626,1.7293646109999998,1.475046286,1.373318956,1.627637281,1.220727961,1.322455291,1.271591626,0.915545971,5.0,4.4322043010000005,0.845,0.026000000000000002,3.7439999999999998,0.065,0.24100000000000002,2.068,0.75,0.01,7.749
613,8105,28,2015,1.017273301,1.424182621,1.831091941,0.8138186409999999,2.848365242,0.40690932,1.424182621,1.831091941,1.220727961,0.8138186409999999,0.864682306,1.271591626,1.271591626,1.7293646109999998,1.475046286,1.373318956,1.627637281,1.220727961,1.322455291,1.271591626,1.820063835,4.510813172,0.845,0.026000000000000002,3.7439999999999998,0.065,0.24100000000000002,2.068,0.75,0.01,7.749
614,8105,29,2015,0.8138186409999999,1.017273301,1.424182621,1.831091941,0.8138186409999999,2.848365242,0.40690932,1.424182621,1.831091941,1.220727961,0.661227645,0.864682306,1.271591626,1.271591626,1.7293646109999998,1.475046286,1.373318956,1.627637281,1.220727961,1.322455291,0.26419290300000003,4.48141129,0.845,0.026000000000000002,3.7439999999999998,0.065,0.24100000000000002,2.068,0.75,0.01,7.749
615,8105,30,2015,0.20345466,0.8138186409999999,1.017273301,1.424182621,1.831091941,0.8138186409999999,2.848365242,0.40690932,1.424182621,1.831091941,0.61036398,0.661227645,0.864682306,1.271591626,1.271591626,1.7293646109999998,1.475046286,1.373318956,1.627637281,1.220727961,2.413590465,4.278830645,0.845,0.026000000000000002,3.7439999999999998,0.065,0.24100000000000002,2.068,0.75,0.01,7.749
616,8105,31,2015,0.61036398,0.20345466,0.8138186409999999,1.017273301,1.424182621,1.831091941,0.8138186409999999,2.848365242,0.40690932,1.424182621,0.40690932,0.61036398,0.661227645,0.864682306,1.271591626,1.271591626,1.7293646109999998,1.475046286,1.373318956,1.627637281,0.890674031,4.164391801,0.845,0.026000000000000002,3.7439999999999998,0.065,0.24100000000000002,2.068,0.75,0.01,7.749
617,8105,32,2015,0.8138186409999999,0.61036398,0.20345466,0.8138186409999999,1.017273301,1.424182621,1.831091941,0.8138186409999999,2.848365242,0.40690932,0.559500315,0.40690932,0.61036398,0.661227645,0.864682306,1.271591626,1.271591626,1.7293646109999998,1.475046286,1.373318956,1.163047945,4.1825235219999986,0.845,0.026000000000000002,3.7439999999999998,0.065,0.24100000000000002,2.068,0.75,0.01,7.749
618,8105,33,2015,0.0,0.8138186409999999,0.61036398,0.20345466,0.8138186409999999,1.017273301,1.424182621,1.831091941,0.8138186409999999,2.848365242,0.50863665,0.559500315,0.40690932,0.61036398,0.661227645,0.864682306,1.271591626,1.271591626,1.7293646109999998,1.475046286,1.738080881,4.141384409,0.845,0.026000000000000002,3.7439999999999998,0.065,0.24100000000000002,2.068,0.75,0.01,7.749
